#time(s),GeodLatitude(degs),GeodLongitude(degs),GeodAltitude(m),alpha deg,beta(pitch)  deg,gamma(roll) deg
0,30,-40,10000,127.7240763,60.66544874,21.53495159
0.1,29.99999863,-40.0002263,10010.16729,127.9438919,60.56957379,21.7867323
0.2,29.99999724,-40.0004552,10020.35485,128.1949246,60.4586395,22.07466459
0.3,29.99999583,-40.0006867,10030.56026,128.4207204,60.35734922,22.33395669
0.4,29.99999441,-40.00092081,10040.78291,128.6260551,60.26434226,22.56982867
0.5,29.99999298,-40.00115754,10051.02228,128.8143596,60.17828053,22.78630116
0.6,29.99999153,-40.00139689,10061.27788,128.9880194,60.09784508,22.98621441
0.7,29.99999007,-40.00163887,10071.5493,129.1498055,60.02253594,23.17233762
0.8,29.99998859,-40.00188347,10081.83614,129.3008026,59.9514026,23.34644947
0.9,29.9999871,-40.00213071,10092.13806,129.4430487,59.88407552,23.51023424
1,29.99998559,-40.00238058,10102.45475,129.5769249,59.81996166,23.66481652
1.1,29.99998407,-40.00263309,10112.78592,129.6969333,59.76234173,23.80304349
1.2,29.99998253,-40.00288824,10123.13135,129.7983238,59.71334059,23.92004892
1.3,29.99998098,-40.00314604,10133.49086,129.8840523,59.67167221,24.01894615
1.4,29.99997941,-40.00340648,10143.86437,129.9568046,59.63628911,24.10274503
1.5,29.99997783,-40.00366958,10154.25185,130.0182442,59.60626542,24.17352851
1.6,29.99997623,-40.00393532,10164.65329,130.0699284,59.58102098,24.23300515
1.7,29.99997462,-40.00420372,10175.06877,130.1131037,59.55986646,24.28253908
1.8,29.999973,-40.00447477,10185.49838,130.1486154,59.54245507,24.32325144
1.9,29.99997136,-40.00474848,10195.94225,130.1773086,59.52844204,24.35613449
2,29.9999697,-40.00502484,10206.40049,130.1998801,59.5174843,24.38180461
2.1,29.99996803,-40.00530385,10216.87322,130.2167454,59.50935302,24.40083836
2.2,29.99996635,-40.00558552,10227.36058,130.2280238,59.50382035,24.41356213
2.3,29.99996465,-40.00586984,10237.86275,130.2346028,59.50088502,24.42059865
2.4,29.99996293,-40.0061568,10248.37994,130.2361581,59.50032056,24.42214727
2.5,29.99996121,-40.00644642,10258.91237,130.2332669,59.50201396,24.41824524
2.6,29.99995946,-40.00673868,10269.46029,130.2259149,59.50585265,24.40930078
2.7,29.9999577,-40.00703358,10280.02399,130.2143978,59.51183737,24.39531228
2.8,29.99995593,-40.00733112,10290.60373,130.1985534,59.51985629,24.37656233
2.9,29.99995415,-40.0076313,10301.19985,130.1788251,59.52991088,24.35317177
3,29.99995234,-40.00793411,10311.8127,130.1550651,59.54200294,24.32513667
3.1,29.99995053,-40.00823955,10322.44265,130.1272587,59.55602161,24.29248949
3.2,29.9999487,-40.00854763,10333.09021,130.0955537,59.57196929,24.25510082
3.3,29.99994686,-40.00885833,10343.75597,130.0598018,59.58984872,24.21321267
3.4,29.999945,-40.00917166,10354.44054,130.0201506,59.60966299,24.16669407
3.5,29.99994312,-40.00948762,10365.14455,129.9765997,59.63141552,24.11578564
3.6,29.99994124,-40.00980621,10375.86868,129.9288242,59.65488327,24.06005764
3.7,29.99993934,-40.01012743,10386.61363,129.877458,59.68041033,24.00000893
3.8,29.99993742,-40.01045127,10397.38016,129.8218659,59.70766065,23.93524606
3.9,29.99993549,-40.01077774,10408.16903,129.7626672,59.73686582,23.8659311
4,29.99993355,-40.01110684,10418.98102,129.699241,59.76780338,23.7921288
4.1,29.99993159,-40.01143856,10429.81698,129.6318962,59.80059208,23.71378898
4.2,29.99992962,-40.0117729,10440.67775,129.5604694,59.83512336,23.63068825
4.3,29.99992763,-40.01210986,10451.56424,129.4851214,59.87151682,23.5430231
4.4,29.99992563,-40.01244945,10462.47737,129.4056884,59.9096643,23.45069302
4.5,29.99992361,-40.01279165,10473.41813,129.3221687,59.94957187,23.35368258
4.6,29.99992159,-40.01313646,10484.38749,129.2345602,59.99124593,23.25197537
4.7,29.99991954,-40.01348389,10495.3865,129.1427128,60.03469317,23.14555396
4.8,29.99991749,-40.01383394,10506.4162,129.0467578,60.07980575,23.03431505
4.9,29.99991542,-40.01418659,10517.47769,128.9465584,60.12670557,22.91832435
5,29.99991333,-40.01454184,10528.57212,128.8420976,60.17528513,22.79747679
5.1,29.99991123,-40.01489971,10539.70066,128.742219,60.22162925,22.68176554
5.2,29.99990912,-40.01526017,10550.86446,128.6532077,60.26260956,22.57870055
5.3,29.99990699,-40.01562323,10562.06464,128.5722901,60.29970923,22.48516694
5.4,29.99990485,-40.01598889,10573.30226,128.497375,60.33395687,22.39844589
5.5,29.9999027,-40.01635715,10584.57834,128.426638,60.36615465,22.31663985
5.6,29.99990053,-40.016728,10595.89382,128.3588317,60.39699239,22.23813459
5.7,29.99989835,-40.01710144,10607.24962,128.2926804,60.42693063,22.16164349
5.8,29.99989615,-40.01747747,10618.64665,128.2274993,60.45643165,22.08600046
5.9,29.99989394,-40.01785608,10630.08585,128.1619846,60.4857269,22.01049603
6,29.99989172,-40.01823729,10641.56811,128.0963379,60.51528144,21.93445867
6.1,29.99988949,-40.01862108,10653.09439,128.0295233,60.54509601,21.85713306
6.2,29.99988724,-40.01900745,10664.66559,127.961271,60.57540457,21.77843026
6.3,29.99988497,-40.01939641,10676.28268,127.8914455,60.60632527,21.69767464
6.4,29.99988269,-40.01978795,10687.9466,127.8196152,60.63797672,21.61481706
6.5,29.9998804,-40.02018206,10699.65833,127.7457919,60.67047807,21.52968156
6.6,29.9998781,-40.02057875,10711.41885,127.669665,60.70371481,21.4418011
6.7,29.99987578,-40.02097801,10723.22917,127.5911112,60.73792365,21.35133132
6.8,29.99987345,-40.02137985,10735.09032,127.5099804,60.77310773,21.25788514
6.9,29.99987111,-40.02178425,10747.00336,127.4264184,60.80927028,21.16157826
7,29.99986875,-40.02219123,10758.96937,127.3398181,60.846297,21.06206689
7.1,29.99986638,-40.02260076,10770.98943,127.2506467,60.88442644,20.95950232
7.2,29.99986399,-40.02301286,10783.06466,127.1587406,60.92354467,20.85379134
7.3,29.99986159,-40.02342752,10795.19618,127.063801,60.96365534,20.74479541
7.4,29.99985918,-40.02384473,10807.38515,126.9661332,61.00488045,20.63258184
7.5,29.99985676,-40.0242645,10819.63274,126.8654128,61.04698764,20.51697621
7.6,29.99985432,-40.02468682,10831.94013,126.7616489,61.09009897,20.39791853
7.7,29.99985187,-40.02511168,10844.30852,126.655146,61.13433725,20.27559995
7.8,29.9998494,-40.02553909,10856.73918,126.5452835,61.17946956,20.14971923
7.9,29.99984692,-40.02596903,10869.23335,126.4322175,61.22561879,20.02046672
8,29.99984443,-40.02640152,10881.79235,126.3160914,61.27278944,19.88744559
8.1,29.99984193,-40.02683653,10894.41747,126.1969003,61.32098616,19.75101841
8.2,29.99983941,-40.02727408,10907.11007,126.0743315,61.37009415,19.61096228
8.3,29.99983688,-40.02771415,10919.87149,125.9485394,61.42023751,19.46720998
8.4,29.99983434,-40.02815674,10932.7031,125.8195068,61.47130131,19.31979137
8.5,29.99983178,-40.02860184,10945.60629,125.68708,61.52329012,19.16868708
8.6,29.99982921,-40.02904946,10958.58246,125.551401,61.57620864,19.01374974
8.7,29.99982663,-40.02949957,10971.63305,125.4121672,61.63006167,18.85508558
8.8,29.99982404,-40.02995219,10984.75949,125.2696679,61.68485416,18.69267297
8.9,29.99982143,-40.03040731,10997.96331,125.123452,61.74059116,18.52610652
9,29.99981881,-40.03086491,11011.24609,124.9736699,61.79739909,18.35556466
9.1,29.99981618,-40.03132499,11024.60946,124.819849,61.85504104,18.18074411
9.2,29.99981353,-40.03178755,11038.05506,124.662435,61.91364347,18.00169407
9.3,29.99981087,-40.03225258,11051.58456,124.5009653,61.97309004,17.81831361
9.4,29.9998082,-40.03272007,11065.19963,124.3358934,62.03363011,17.63085032
9.5,29.99980552,-40.03319001,11078.90198,124.1667375,62.09490302,17.43892743
9.6,29.99980282,-40.03366241,11092.69334,123.9936451,62.15703596,17.24258958
9.7,29.99980011,-40.03413724,11106.57547,123.816614,62.22015723,17.04187821
9.8,29.99979739,-40.03461451,11120.55014,123.6354681,62.28402675,16.83674718
9.9,29.99979466,-40.0350942,11134.61916,123.4500485,62.34864936,16.62690849
10,29.99979192,-40.03557631,11148.78434,123.2604991,62.41415375,16.41265762
10.1,29.99978916,-40.03606083,11163.04753,123.0823384,62.47521413,16.21112969
