# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191241642550e+01,-2.967566248497007564e+00,9.999999984977766871e+02,1.003981302501551198e+02,1.929623773198413600e-03,6.743317128243893344e-03,-7.606173774852198390e-05,-1.167828251587618021e-02,-9.800004766983610338e+00,8.902525352725520236e+01,3.832250073846685430e-03,7.838108640623630196e-04,-1.089477380399765313e-02,3.104181487150765514e-02,9.136118336563811559e-02
3.900000000000000133e-01,5.340758497733290966e+01,-2.967264405115217052e+00,9.999999907845631242e+02,1.003979829806847874e+02,-4.756258414434715682e-04,7.154335316773109861e-03,4.861220343833970274e-05,-1.180585649563408931e-02,-9.800078365610660924e+00,8.902685688922379370e+01,4.047404064763031849e-03,-3.185455662114055220e-03,6.205727467068684194e-02,-4.856487270480596558e-02,4.807139692743308407e-02
5.919999999999999707e-01,5.340758807223962634e+01,-2.966959543773149743e+00,9.999999764002859592e+02,1.003977877925645572e+02,6.240441216201344317e-05,8.383042211318034523e-03,-1.736257672838931653e-04,-1.178316986838373083e-02,-9.800398685657544462e+00,8.902674653826579743e+01,4.731534790147866321e-03,-2.865543395686329098e-03,-4.326757059000615330e-02,-1.493214080188798830e-02,-4.189625868330611180e-02
7.900000000000000355e-01,5.340759110526747122e+01,-2.966660719828341897e+00,9.999999564867466688e+02,1.003975904325610173e+02,4.207765628978882245e-04,1.137792462522521121e-02,-4.653384908330266030e-05,-1.177434763868698275e-02,-9.800153814272775321e+00,8.902671389223272058e+01,6.424532489336850713e-03,-4.894087678135023919e-03,1.919997211174070267e-02,-4.274870472673546196e-02,-1.517260010883363444e-02
9.899999999999999911e-01,5.340759416842638529e+01,-2.966358878035331159e+00,9.999999309303238988e+02,1.003973969826130457e+02,1.320341876482422931e-03,8.969145897374755649e-03,-1.501916395711674424e-04,-1.173074608910303768e-02,-9.800005002400343557e+00,8.902635192941025366e+01,5.034442575055939582e-03,-5.626297075009585938e-03,-2.758685794171464659e-02,-1.399332368005884626e-02,3.678787517067331342e-02
1.191999999999999948e+00,5.340759726173831723e+01,-2.966054018351508947e+00,9.999998991740867496e+02,1.003972156930879436e+02,-7.203151656969778577e-04,7.735828057886669565e-03,-8.337755982281834944e-05,-1.158609806641558784e-02,-9.799705144992501005e+00,8.902766323587218267e+01,4.312166464966918356e-03,-5.929802371973115147e-03,1.076776923644646761e-04,-2.456464073475050913e-02,5.600883226221285704e-02
1.389999999999999902e+00,5.340760029334191472e+01,-2.965755195984303150e+00,9.999998620022088289e+02,1.003970273300357405e+02,-1.620420323242273246e-03,1.069824785593902032e-02,-7.909984047143074279e-05,-1.174783066074732221e-02,-9.799916335798702249e+00,8.902832063749845304e+01,5.985624987214843880e-03,-4.535814743602499012e-03,2.296596644602135265e-03,-2.063972238996489642e-02,7.940721215780571773e-02
1.590000000000000080e+00,5.340760335507678036e+01,-2.965453355834919424e+00,9.999998175343498588e+02,1.003967893849317647e+02,-4.974370832118405091e-03,1.091019451592870580e-02,7.927763509881858087e-05,-1.180797482150978094e-02,-9.800148945992619431e+00,8.903039528010272363e+01,6.086997083683382513e-03,-4.344549413978536848e-03,6.817282903635685232e-02,-5.642437633362672351e-03,2.458301116543307879e-02
1.790000000000000036e+00,5.340760641628178007e+01,-2.965151516337015458e+00,9.999997669141739607e+02,1.003965661998417573e+02,-4.189640148463671596e-03,1.142941289968873314e-02,5.257278842132006268e-05,-1.157602654233200190e-02,-9.800051291210497340e+00,8.903011674067852255e+01,6.366501855684159050e-03,-5.328684933645477101e-03,4.599382230420939049e-02,6.181327128241493468e-02,6.059422199806112352e-02
1.989999999999999991e+00,5.340760947699158123e+01,-2.964849677469483247e+00,9.999997103810310364e+02,1.003963576937306073e+02,-5.042939211716080186e-03,1.069791796975411158e-02,-1.352824366541690096e-05,-1.158348691117490684e-02,-9.800048219338499678e+00,8.903075318777339930e+01,5.931146021648625588e-03,-4.902392147272091431e-03,1.614156343082286116e-02,6.295939376179850167e-02,1.184995500532614182e-01
2.189999999999999947e+00,5.340761253721271373e+01,-2.964547839213496072e+00,9.999996470250189304e+02,1.003961337316047633e+02,-9.447444770168809958e-03,9.574283938073762171e-03,2.752495196132976815e-07,-1.159423286059177785e-02,-9.800081039508860670e+00,8.903341266691408862e+01,5.269161197503126337e-03,-5.496664891166591974e-03,2.601412226918002613e-02,3.796037489472468829e-02,6.902551828231413833e-02
2.389999999999999680e+00,5.340761559696449723e+01,-2.964246001547734100e+00,9.999995770445093513e+02,1.003959442374085285e+02,-7.941301072681074269e-03,9.662230484804704145e-03,3.017185606570333594e-04,-1.172725776605481121e-02,-9.800130607495740165e+00,8.903271558516850348e+01,5.302534413207151028e-03,-2.968240010157858089e-03,1.595114178871809563e-01,4.249929849382343139e-02,6.181471299121221036e-02
