# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757899999999836e+01,-2.967852999999999852e+00,1.000000000000000000e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191243516961e+01,-2.967566248427880637e+00,1.000000000008226721e+03,1.003981979691019717e+02,1.443289932012703503e-15,2.117582368135750613e-22,1.617149574353912588e-07,-1.182752594242035722e-02,-9.800360804037083540e+00,8.902633718460259615e+01,-1.916493444033352905e-06,-3.315751254765653939e-15,4.232264189916132584e-05,-3.364180535775042422e-03,-3.390821342221375830e-03
3.900000000000000133e-01,5.340758497741428812e+01,-2.967264404625341800e+00,1.000000000008381903e+03,1.003981980267099772e+02,-3.176278684513533790e-15,4.235164736271501695e-22,-2.397071661370899105e-06,-1.175055312356619759e-02,-9.800340173346794970e+00,8.902657882558911240e+01,-1.938439544274771796e-06,-2.739827460251777437e-15,4.231213583053628272e-05,-3.375955683468788871e-03,-3.346893944030420332e-03
5.919999999999999707e-01,5.340758807227064864e+01,-2.966959542340632527e+00,1.000000000007450581e+03,1.003981980732944521e+02,4.440892098500626162e-15,0.000000000000000000e+00,2.172075028014582064e-06,-1.185348097519010185e-02,-9.800448237542873642e+00,8.902682295705314175e+01,-1.875882885124153612e-06,1.895758319773387158e-22,4.230152511968319725e-05,-3.314286561682062895e-03,-3.405633223378465822e-03
7.900000000000000355e-01,5.340759110508924579e+01,-2.966660716889804927e+00,1.000000000005122274e+03,1.003981981281755935e+02,-3.330669073875493287e-16,4.701977403289150032e-38,8.560806194297453907e-07,-1.175545661796848808e-02,-9.800260896459166204e+00,8.902706234504124438e+01,-1.665908907152407087e-06,-8.760454932218790110e-15,4.229113283190306846e-05,-3.421200866109114225e-03,-3.349692024337259239e-03
9.899999999999999911e-01,5.340759416778509916e+01,-2.966358872956827319e+00,1.000000000004656613e+03,1.003981981878199718e+02,1.665334536937734811e-15,-2.117582368135750848e-22,-3.115428134418609240e-06,-1.179044974945604382e-02,-9.800225002553904829e+00,8.902730409408368928e+01,-1.629221856076713110e-06,-1.052794065158926632e-14,4.228062394448628940e-05,-3.441686513933105932e-03,-3.369661952240329047e-03
1.191999999999999948e+00,5.340759726033537191e+01,-2.966054010540408736e+00,1.000000000003725290e+03,1.003981982259373495e+02,-9.325873406851314940e-15,0.000000000000000000e+00,8.903662328779270857e-07,-1.161149313662513706e-02,-9.799975430278831112e+00,8.902754821425362763e+01,-1.504521263458533984e-06,9.478791598866934614e-23,4.227001955335389063e-05,-3.584115277205089743e-03,-3.267533903250177760e-03
1.389999999999999902e+00,5.340760029089354788e+01,-2.965755184960511048e+00,1.000000000001862645e+03,1.003981982855701460e+02,-2.703525234369949459e-15,7.058607893785835532e-22,6.684726843506476568e-07,-1.177883866023887206e-02,-9.800244616625036542e+00,8.902778767097268542e+01,-1.636357890071724466e-06,7.462822580521304900e-15,4.225959901399745154e-05,-3.430496081094584065e-03,-3.363035402350963640e-03
1.590000000000000080e+00,5.340760335130612901e+01,-2.965453340897192369e+00,1.000000000000000000e+03,1.003981983378539695e+02,-4.415754973414772876e-15,-2.646977960169688560e-22,-3.422569801691227266e-07,-1.184880377521246170e-02,-9.800352159587694345e+00,8.902802954788117518e+01,-1.814731274132187658e-06,2.088810024630030261e-15,4.224906990171066240e-05,-3.369124395793681500e-03,-3.402963330251590132e-03
1.790000000000000036e+00,5.340760641095763361e+01,-2.965151496790448871e+00,9.999999999995343387e+02,1.003981983920687213e+02,6.118369699770198622e-15,4.235164736271501695e-22,-1.267617793785100445e-06,-1.177395724636131312e-02,-9.800337348403701299e+00,8.902827127006221986e+01,-1.870307500053065563e-06,-2.081421875306209243e-15,4.223855977959880469e-05,-3.377578428772831914e-03,-3.360249375216644695e-03
1.989999999999999991e+00,5.340760946984804036e+01,-2.964849652640291655e+00,9.999999999977105745e+02,1.003981984372525744e+02,-2.366582715663035416e-30,4.701977403289150032e-38,1.015230020240828499e-06,-1.180103296905066906e-02,-9.800464120092776454e+00,8.902851294625227752e+01,-1.976254577194999595e-06,-1.343992495807297845e-14,4.222804616371008492e-05,-3.305233206724300307e-03,-3.375700957951603166e-03
2.189999999999999947e+00,5.340761252797738479e+01,-2.964547808446729160e+00,9.999999999981373549e+02,1.003981984942424788e+02,5.884182030514124836e-15,-4.235164736271501695e-22,-4.516140689474163489e-08,-1.174899295030714698e-02,-9.800388498013388627e+00,8.902875474459678173e+01,-1.985887366209549206e-06,1.186690205126446834e-14,4.221753292938554373e-05,-3.348391132554941890e-03,-3.346002346685683030e-03
2.390000000000000124e+00,5.340761558534560294e+01,-2.964245964209774264e+00,9.999999999948777258e+02,1.003981985439270233e+02,2.109423746789073015e-15,2.117582368134694313e-22,1.015106652131109497e-06,-1.184318063206014557e-02,-9.800424922133352368e+00,8.902899662402961667e+01,-1.844688734217783496e-06,-9.215175598680024281e-15,4.220702467012877782e-05,-3.327605926830132146e-03,-3.399753737672177832e-03
2.589999999999999858e+00,5.340761864195275876e+01,-2.963944119929437626e+00,9.999999999934807420e+02,1.003981985940874182e+02,2.664535259100893979e-15,-7.052966104933725048e-35,1.111439087929099298e-06,-1.187723033538490465e-02,-9.800430938012203441e+00,8.902923854877079179e+01,-1.854408295643407394e-06,-6.594047254104217315e-15,4.219650505056033373e-05,-3.324174264259735674e-03,-3.419185268394768582e-03
2.790000000000000036e+00,5.340762169779880963e+01,-2.963642275605729015e+00,9.999999999939464033e+02,1.003981986540473201e+02,-6.096777928846004587e-15,2.117582368135398199e-22,-1.694718834123497380e-06,-1.176629646864403751e-02,-9.800410756930073575e+00,8.902948005663941444e+01,-1.882530276242548419e-06,-5.480670478235457670e-15,4.218600485688506858e-05,-3.335692816031707395e-03,-3.355876802688200888e-03
2.990000000000000213e+00,5.340762475288377686e+01,-2.963340431238659534e+00,9.999999999925494194e+02,1.003981987088643848e+02,3.996802888649861459e-15,1.410593220986745010e-34,-3.589335979775633844e-06,-1.170279429587264136e-02,-9.800270105628850814e+00,8.902972177673092347e+01,-1.845020656770612666e-06,-2.019733330853287744e-16,4.217550177351352223e-05,-3.415961967692574854e-03,-3.319636905185550588e-03
3.189999999999999947e+00,5.340762780720765335e+01,-2.963038586828239840e+00,9.999999999916180968e+02,1.003981987513083425e+02,4.537816330810238953e-15,-2.117582368135398199e-22,-5.888932142843952692e-07,-1.181269256669476540e-02,-9.800470945673039225e+00,8.902996369393804343e+01,-1.891179339386248409e-06,-1.707687321792701194e-14,4.216497775025413136e-05,-3.301347006517717838e-03,-3.382354099818950157e-03
3.390000000000000124e+00,5.340763086077043198e+01,-2.962736742374482368e+00,9.999999999873107299e+02,1.003981988042276896e+02,-2.376219189209299800e-15,2.646977960169394686e-22,8.233309211033058923e-07,-1.174461970471985493e-02,-9.800308070502653734e+00,8.903020528853713245e+01,-1.657227124396197034e-06,7.984794325497339070e-15,4.215449024108370023e-05,-3.394298991156380948e-03,-3.343505781438397152e-03
3.589999999999999858e+00,5.340763391357215539e+01,-2.962434897877397333e+00,9.999999999883584678e+02,1.003981988574285680e+02,5.662137425587687778e-15,4.235164736271501695e-22,4.415469641563169972e-07,-1.180142520193803481e-02,-9.800390905700457012e+00,8.903044725485328570e+01,-1.933490604095203967e-06,-1.764633797426958725e-14,4.214395117439100665e-05,-3.347027671678061943e-03,-3.375923706745187405e-03
3.790000000000000036e+00,5.340763696561275253e+01,-2.962133053336992283e+00,9.999999999878928065e+02,1.003981989028175263e+02,-4.940492459582470409e-15,-2.117582368136103496e-22,2.219880269467976829e-06,-1.172608710850955860e-02,-9.800316710849786617e+00,8.903068901269998037e+01,-1.868220190553874352e-06,-7.040630283189904548e-16,4.213344706112490687e-05,-3.389371090145971380e-03,-3.332929227350058150e-03
3.990000000000000213e+00,5.340764001689228024e+01,-2.961831208753281430e+00,9.999999999869614840e+02,1.003981989560484749e+02,-2.664535259101486413e-15,-1.138200522873063129e-21,-5.347106057416317400e-07,-1.182406380899394573e-02,-9.800296765538407229e+00,8.903093089744666599e+01,-1.917489518777991449e-06,5.478032151381829505e-15,4.212292480515261798e-05,-3.400755095376569587e-03,-3.388842957775546789e-03
4.190000000000000391e+00,5.340764306741070300e+01,-2.961529364126274988e+00,9.999999999856809154e+02,1.003981990099635908e+02,-5.551115123104712227e-16,-4.235164736270092043e-22,1.040097252871875775e-06,-1.184913875545479632e-02,-9.800442460986296567e+00,8.903117255018143794e+01,-1.957779011189448988e-06,-1.625898431026885937e-14,4.211241717457492702e-05,-3.317610344689721560e-03,-3.403152724360634842e-03
