# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758190861355814e+01,-2.967566255079916449e+00,9.999997945632785559e+02,1.003919341037383930e+02,9.347231165539665598e-02,3.364511786678595628e-01,-1.530653983904593785e-02,1.142119293009518158e-02,-9.781847183179875671e+00,8.897578807493458442e+01,1.908154409595355094e-01,3.968833460690723847e-02,-5.419082110598929525e-01,1.546004369758839481e+00,4.528815361493749414e+00
3.900000000000000133e-01,5.340758496151303802e+01,-2.967264442199557539e+00,9.999991127224639058e+02,1.003823958717364349e+02,-3.089207322232158728e-02,3.561398608537563737e-01,-1.140045094791269920e-02,4.280622406379500783e-03,-9.785005628356739038e+00,8.904772417041668575e+01,2.006658711854745480e-01,-1.581340260401588316e-01,3.104649933939934492e+00,-2.433891575186371448e+00,2.362503641697817347e+00
5.919999999999999707e-01,5.340758804365272283e+01,-2.966959643520599155e+00,9.999979295013472438e+02,1.003701499691989767e+02,-6.833183999310613911e-03,4.169209508659709740e-01,-1.873801582390019482e-02,8.770018702955984305e-03,-9.792044053895077482e+00,8.903379028177072030e+01,2.339861316280405223e-01,-1.419295397245172452e-01,-2.161856298297771595e+00,-7.536222605598121849e-01,-2.134236068581055079e+00
7.900000000000000355e-01,5.340759106592753369e+01,-2.966660915781307750e+00,9.999963034708052874e+02,1.003574703489667002e+02,7.596241210490580799e-03,5.661691731479219225e-01,-1.458661047645212067e-02,5.616390451018138386e-03,-9.789909837227501299e+00,8.902351142044014409e+01,3.178715375313582725e-01,-2.431649367365345538e-01,9.612818586451981062e-01,-2.139872299140268996e+00,-8.010555316908185564e-01
9.899999999999999911e-01,5.340759412441551746e+01,-2.966359207709339252e+00,9.999942007167264819e+02,1.003462587097207575e+02,4.981165271438770664e-02,4.453071176026843214e-01,-1.768640729685358459e-02,8.493959233292949773e-03,-9.786061882740286322e+00,8.899724807777603530e+01,2.474634989554733433e-01,-2.796549172055741161e-01,-1.378594936198037413e+00,-7.013190141533893751e-01,1.797535721389987629e+00
1.191999999999999948e+00,5.340759722108195007e+01,-2.966054517343785779e+00,9.999915948864072561e+02,1.003353172001235976e+02,-5.491257791017961631e-02,3.829523374568999938e-01,-1.570327548043495142e-02,7.391014914269349034e-03,-9.784235509825341737e+00,8.905450358855526360e+01,2.107754132205628406e-01,-2.944219972865659840e-01,6.634660696665245147e-03,-1.223074011765858060e+00,2.754435638670555964e+00
1.389999999999999902e+00,5.340760026447104281e+01,-2.965755893211725169e+00,9.999885659497231245e+02,1.003230769910489357e+02,-1.022040921757175203e-01,5.303189714218489170e-01,-1.551084748268380387e-02,7.427680715169693304e-03,-9.782643063461762267e+00,8.907883250388526619e+01,2.936635108742424172e-01,-2.244065529863291386e-01,1.158809216209235465e-01,-1.034597004907760187e+00,3.929650186825733638e+00
1.590000000000000080e+00,5.340760334500706819e+01,-2.965454292231089806e+00,9.999850005861371756e+02,1.003087261440634705e+02,-2.724419673918796470e-01,5.401070734222368497e-01,-1.020464987083347097e-02,7.324304006079047219e-03,-9.786891043368965981e+00,8.917426282587652508e+01,2.982016160962834284e-01,-2.140832461305057222e-01,3.410453536993206747e+00,-2.878690676227971812e-01,1.190130033105129881e+00
1.790000000000000036e+00,5.340760643001483032e+01,-2.965152732096257182e+00,9.999809531439095736e+02,1.002954694797097090e+02,-2.365902297996134440e-01,5.650025192630043769e-01,-1.069188964522316265e-02,1.278520623743450296e-02,-9.784145742123289580e+00,8.915206748697906391e+01,3.111514522179846254e-01,-2.630203362065035022e-01,2.301603416426187376e+00,3.085135888736378895e+00,2.988855891269240228e+00
1.989999999999999991e+00,5.340760952121397054e+01,-2.964851211547654408e+00,9.999764328217133880e+02,1.002830602242437408e+02,-2.819099793603236370e-01,5.277590267428142745e-01,-1.293742147107738993e-02,1.349020248154773199e-02,-9.779944234271948034e+00,8.917580865156448056e+01,2.885827227043856746e-01,-2.412180139127814427e-01,8.087779787094213635e-01,3.139704009763820913e+00,5.884884306920255881e+00
2.189999999999999947e+00,5.340761261900429702e+01,-2.964549729613397577e+00,9.999714093450456858e+02,1.002692833992899608e+02,-5.050719451702592178e-01,4.707633840680483517e-01,-1.260261052817046590e-02,1.143806789273717206e-02,-9.783516326931003704e+00,8.930077740515109497e+01,2.552534388779389984e-01,-2.699448719256732909e-01,1.302552381646499002e+00,1.891466856967132459e+00,3.410016093841135909e+00
2.389999999999999680e+00,5.340761572423878079e+01,-2.964248285262314653e+00,9.999658920839428902e+02,1.002580328619662140e+02,-4.319346841825252858e-01,4.753400412036250522e-01,-2.559046337421828909e-03,9.334809514945177980e-03,-9.784032444193272227e+00,8.925786600476233446e+01,2.558177837857016912e-01,-1.433783804757516878e-01,7.977374922912729538e+00,2.117014547723540474e+00,3.052437376767281663e+00
2.589999999999999858e+00,5.340761883268175580e+01,-2.963946872408244726e+00,9.999598818309605122e+02,1.002495097581324899e+02,-5.051062777232881995e-01,2.401839935094488288e-01,-1.670236047736855731e-02,1.142689242332574004e-02,-9.789173477002986345e+00,8.929889922966275151e+01,1.203264312336838060e-01,-1.807949993297706393e-01,-1.293019012520318922e+00,1.457783815752808243e+00,-4.740669432880353917e-01
2.789999999999999591e+00,5.340762194410942953e+01,-2.963645480913317698e+00,9.999533818960189819e+02,1.002436429518411103e+02,-5.724524491428568673e-01,1.989769276826182931e-01,-1.121791018675001583e-02,1.050282692517172725e-02,-9.789460689315296449e+00,8.933731599241023957e+01,9.490919972536439320e-02,-7.890402870393321832e-02,2.317807039247499645e+00,1.539669710567790339e+00,-6.798213898167356772e-01
2.989999999999999769e+00,5.340762505313796993e+01,-2.963344106052288041e+00,9.999464090215042233e+02,1.002383971561012288e+02,-5.861547131931771348e-01,1.726822167273550923e-01,-1.221953265060329516e-02,1.473600605259705112e-02,-9.783892391306787673e+00,8.934732047660665444e+01,7.769053372404248481e-02,5.966792984470548761e-02,1.042496928830525693e+00,4.074149875405634447e+00,2.850541652633504786e+00
3.189999999999999947e+00,5.340762815130235452e+01,-2.963042744957304020e+00,9.999389220392331481e+02,1.002334961287294135e+02,-6.469834733188845055e-01,1.851781716241905906e-01,-1.739883168676192859e-02,1.173248489294017108e-02,-9.785630632784414473e+00,8.938685348215823012e+01,8.273213745337903990e-02,1.594523904805772718e-01,-1.766933595168669324e+00,1.381773908178126842e+00,1.825314372527200968e+00
