# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191223048357e+01,-2.967566248804376805e+00,9.999999966351315379e+02,1.003978723451580350e+02,5.945431422769313634e-03,2.019372804452106152e-02,-8.524268825372298061e-04,-1.053816564612766564e-02,-9.799546226087166190e+00,8.902309052861777161e+01,1.149724393021404022e-02,2.351406245031885302e-03,-3.268371794021086157e-02,9.306955412188412657e-02,2.717455030045825559e-01
3.900000000000000133e-01,5.340758497656135262e+01,-2.967264406799893894e+00,9.999999820617958903e+02,1.003973081822179836e+02,-1.104646163050239252e-03,2.138718779223727773e-02,-5.187198342179841389e-04,-1.101417588271622061e-02,-9.799778771770531804e+00,8.902741947935651012e+01,1.214197975930208541e-02,-9.556027471264471815e-03,1.861705768462445509e-01,-1.457272082874872532e-01,1.417888727807898874e-01
5.919999999999999707e-01,5.340758807078717041e+01,-2.966959548250793333e+00,9.999999551847577095e+02,1.003965964736128171e+02,6.784468611739562314e-04,2.503504759555054762e-02,-1.113663625612960721e-03,-1.077967789973344713e-02,-9.800445722909937984e+00,8.902660272204337844e+01,1.419327801120478204e-02,-8.596918266511705334e-03,-1.298044268419837610e-01,-4.494941716993136605e-02,-1.279988077030064231e-01
7.900000000000000355e-01,5.340759110315974567e+01,-2.966660728564964433e+00,9.999999185111373663e+02,1.003958815829788307e+02,1.915661729490106486e-03,3.398416767348309137e-02,-7.742540507863714637e-04,-1.092284927667712055e-02,-9.800103448833095143e+00,8.902602687418657013e+01,1.927197154321650535e-02,-1.468317325709558863e-02,5.759777016407527372e-02,-1.281864531484971925e-01,-4.794017837805646803e-02
9.899999999999999911e-01,5.340759416585029840e+01,-2.966358892670396319e+00,9.999998719515278935e+02,1.003951798315504220e+02,4.782346427505748503e-03,2.672295758964027615e-02,-1.037670697805975414e-03,-1.074165006861006223e-02,-9.799764067755786456e+00,8.902446083814723465e+01,1.510078874915236728e-02,-1.688058393671300339e-02,-8.276367341315669923e-02,-4.187972652768819776e-02,1.079804563348474716e-01
1.191999999999999948e+00,5.340759725895986065e+01,-2.966054040451823415e+00,9.999998141843825579e+02,1.003945126212929893e+02,-1.169595135463887339e-03,2.298531338155163431e-02,-8.701553836396196985e-04,-1.065639841256016060e-02,-9.799385342356751849e+00,8.902790827966539666e+01,1.293463985584635684e-02,-1.779114820353496287e-02,3.208167127821455618e-04,-7.330912286463779626e-02,1.654405891152528063e-01
1.389999999999999902e+00,5.340760029065385339e+01,-2.965755226828362012e+00,9.999997465778142214e+02,1.003938227321300047e+02,-3.703529976482569826e-03,3.183478928478274128e-02,-8.569153470724313187e-04,-1.080759543956934417e-02,-9.799503442425777422e+00,8.902940371863046209e+01,1.795376042077492795e-02,-1.360946611649205794e-02,6.887225373582184576e-03,-6.184203284901932524e-02,2.358278194775759729e-01
1.590000000000000080e+00,5.340760335270243786e+01,-2.965453397210800368e+00,9.999996650824323297e+02,1.003929843754361144e+02,-1.359618314248133876e-02,3.243164548463144115e-02,-4.356321178830995823e-04,-1.085812817563159942e-02,-9.799942959871865256e+00,8.903514632793900319e+01,1.825837848410508460e-02,-1.303490245540581127e-02,2.045172721662384674e-01,-1.697315064369109283e-02,7.143459710378531613e-02
1.790000000000000036e+00,5.340760641436875034e+01,-2.965151570000149839e+00,9.999995724409818649e+02,1.003921905943962116e+02,-1.107515426108655193e-02,3.395088908899267233e-02,-4.981762522527563575e-04,-1.036069119706745784e-02,-9.799708731064727729e+00,8.903382940648370436e+01,1.909581248356620464e-02,-1.598785402741229739e-02,1.379804297838820859e-01,1.854105345630742974e-01,1.793832583942366332e-01
1.989999999999999991e+00,5.340760947575707718e+01,-2.964849745131814096e+00,9.999994693426415324e+02,1.003914402819502527e+02,-1.346629258681023532e-02,3.171825383369223511e-02,-6.769514531995046887e-04,-1.033670165883867134e-02,-9.799489286398616272e+00,8.903525823991681420e+01,1.778914402310775855e-02,-1.470897208902312292e-02,4.842328017863861689e-02,1.887056390832541897e-01,3.531301521616312944e-01
2.189999999999999947e+00,5.340761253688967258e+01,-2.964547922550085257e+00,9.999993533361703157e+02,1.003906432866079825e+02,-2.651215613928139744e-02,2.830717649911503736e-02,-6.420297484023749189e-04,-1.045091232003358961e-02,-9.799704507533430586e+00,8.904275599031896604e+01,1.580439128524366299e-02,-1.649051701136422521e-02,7.804121253473859932e-02,1.137941856937710189e-01,2.046491696334906962e-01
2.389999999999999680e+00,5.340761559782239232e+01,-2.964246102192886756e+00,9.999992251060903072e+02,1.003899492437740548e+02,-2.182401799195815562e-02,2.853430190972629579e-02,1.607891994686071538e-04,-1.066168362744576194e-02,-9.799777872980993010e+00,8.904018411884086959e+01,1.590246664541388952e-02,-8.906065061502150063e-03,4.785330212153686702e-01,1.273687153054646193e-01,1.831248340344763803e-01
2.589999999999999858e+00,5.340761865830583588e+01,-2.963944283698843218e+00,9.999990844158455729e+02,1.003894028513409751e+02,-2.585345001297916986e-02,1.444579299516081036e-02,-9.672437892337749140e-04,-1.058973662533828873e-02,-9.800192478217990555e+00,8.904262415681117204e+01,7.826650721771983427e-03,-1.118409836335988727e-02,-7.766841007549979414e-02,8.783659695183165805e-02,-2.852815260027575031e-02
2.789999999999999591e+00,5.340762171833080174e+01,-2.963642466465931768e+00,9.999989312198013067e+02,1.003890622234621475e+02,-2.954667257774398412e-02,1.192828619273359619e-02,-5.303500919900093220e-04,-1.053544822649445448e-02,-9.800196692221863515e+00,8.904491424813511458e+01,6.351315283956457045e-03,-5.094266062396134338e-03,1.389594819450648000e-01,9.271294652092296196e-02,-4.081432713911512661e-02
2.989999999999999769e+00,5.340762477757095894e+01,-2.963340650205305682e+00,9.999987666914239526e+02,1.003887452625796044e+02,-3.001594661250080176e-02,1.030070806728053054e-02,-6.289060625935050716e-04,-1.014828264233878959e-02,-9.799618696394347239e+00,8.904550004207128211e+01,5.383903801672353280e-03,3.201118711924365572e-03,6.242788633298875650e-02,2.447247742084711353e-01,1.709894933779791404e-01
3.189999999999999947e+00,5.340762783551995341e+01,-2.963038834744762262e+00,9.999985875338315964e+02,1.003884685950396261e+02,-3.330525339883325109e-02,1.099723256328240945e-02,-1.023358683187572307e-03,-1.050536699022326138e-02,-9.799942916984290875e+00,8.904785480731318614e+01,5.741730735851115729e-03,9.165757781280084102e-03,-1.061163799693763538e-01,8.323257224316756020e-02,1.094195261477242664e-01
3.389999999999999680e+00,5.340763089188586576e+01,-2.962737020078952010e+00,9.999983955044299364e+02,1.003881944766384748e+02,-3.422845707691566514e-02,3.514754096202412498e-03,-4.928215604163190943e-04,-1.034711315430627589e-02,-9.799865809900611069e+00,8.904888960593787317e+01,1.433788842487184693e-03,9.760055998695027837e-03,1.514228408470450760e-01,1.746724066744647919e-01,6.608291019180718984e-02
3.589999999999999858e+00,5.340763394655081697e+01,-2.962435206063929627e+00,9.999981911517679691e+02,1.003878915353416232e+02,-3.468948596024275938e-02,1.680376694577320057e-02,-2.899270885720387457e-05,-1.103151730201852587e-02,-9.799511680957992965e+00,8.904971255434965371e+01,8.983028806333016522e-03,6.339142451015507794e-03,4.304875906194607915e-01,-9.092201444331972360e-02,2.828869371502613084e-01
3.789999999999999591e+00,5.340763699957142308e+01,-2.962133393198444598e+00,9.999979757657274604e+02,1.003874408174475974e+02,-1.985811711942866986e-02,1.927289914123633124e-02,-1.079861370564921949e-03,-1.031979868426969801e-02,-9.800575905348708261e+00,8.904175237525849695e+01,1.036530979449122765e-02,8.874434106911199133e-03,-1.338989160901908892e-01,1.369674043921980666e-01,-2.921292598837597621e-01
3.989999999999999769e+00,5.340764005085168975e+01,-2.961831581836804617e+00,9.999977488936856389e+02,1.003868092710900726e+02,-1.823019896858139866e-02,2.937648776799112182e-02,-4.994922012763851338e-04,-1.132230090873966033e-02,-9.800334298776387953e+00,8.904140050225105085e+01,1.609506293094151858e-02,1.082739980855990797e-02,2.311238777208106387e-01,-2.604886314516305923e-01,-1.804536163529417148e-01
4.189999999999999503e+00,5.340764310020285421e+01,-2.961529772482781375e+00,9.999975105524063110e+02,1.003860820246195118e+02,-6.867957651075894641e-03,3.316614308779337883e-02,-6.799921185072720607e-04,-1.034320824454426635e-02,-9.799500715024977993e+00,8.903556844884083432e+01,1.822999367562979506e-02,1.363753081208743390e-02,5.577863169061726689e-02,2.089501614589845402e-01,3.119697262221836631e-01
4.391999999999999460e+00,5.340764617789722735e+01,-2.961224947397230522e+00,9.999972597425803542e+02,1.003851856180276201e+02,9.325206253673933368e-03,4.249691730449532689e-02,-1.016043587645329427e-03,-1.067703302654356493e-02,-9.800455236828227612e+00,8.902702356899300185e+01,2.353253988271537117e-02,1.773177736851325875e-02,-7.309568959909705510e-02,7.890651029203218231e-03,-1.833198273745384466e-01
4.589999999999999858e+00,5.340764919240863406e+01,-2.960926161181733463e+00,9.999970033327117562e+02,1.003842454496183478e+02,4.715081466056674463e-03,3.875493675090171952e-02,-7.930379248421467846e-04,-1.088637578191969241e-02,-9.800509541472919750e+00,8.903037164711980722e+01,2.135791531226056972e-02,2.057023234029623990e-02,5.619648285182118896e-02,-7.344863711055381328e-02,-2.329304341840800208e-01
4.790000000000000036e+00,5.340765223490219427e+01,-2.960624359696649055e+00,9.999967304281890392e+02,1.003832047919398747e+02,-9.020541589931086596e-03,4.980483426216290865e-02,-7.906934236101706773e-04,-1.016174792239304611e-02,-9.799249378140533651e+00,8.903903467087532420e+01,2.761860224010951811e-02,2.362839777031401287e-02,6.758870765165185708e-03,2.183089626335030231e-01,3.588319631371667540e-01
4.990000000000000213e+00,5.340765527467306839e+01,-2.960322561336873548e+00,9.999964430080726743e+02,1.003821536737880109e+02,-1.444488160789592079e-02,4.215150548807879843e-02,-9.083388212687941443e-04,-1.058897060512059216e-02,-9.799941303853962893e+00,8.904302264717937021e+01,2.321105538083417796e-02,2.495528379020619039e-02,-3.380460693165196484e-02,3.062287561942949113e-02,3.128741452861059924e-02
5.189999999999999503e+00,5.340765831162659794e+01,-2.960020765818799582e+00,9.999961435878649354e+02,1.003812392033478460e+02,-5.742105907416981785e-03,3.865409409461158935e-02,-9.727166291825036122e-04,-1.027241351897115879e-02,-9.800096372932529221e+00,8.903893422692898696e+01,2.118875867405783237e-02,2.654037704855543439e-02,-8.906953629369773751e-02,1.899939178508982252e-01,2.291102515086612321e-02
5.389999999999999680e+00,5.340766134578687740e+01,-2.959718973035856848e+00,9.999958327170461416e+02,1.003802758380768978e+02,-1.411864638524783916e-02,4.359485059612024788e-02,-1.028212913003425169e-03,-1.056107801435679158e-02,-9.799456990456953065e+00,8.904458125051364448e+01,2.396774701335177213e-02,2.722000324136488944e-02,-9.263432936723016431e-02,4.357602725070693767e-02,2.731352359143454644e-01
5.589999999999999858e+00,5.340766437711646120e+01,-2.959417183074213309e+00,9.999955083942040801e+02,1.003793164901942987e+02,-1.256737844288467916e-02,4.137344973423782990e-02,-1.582308113114180501e-03,-1.057225229126724370e-02,-9.800151289304574576e+00,8.904463011917059134e+01,2.266772143578859450e-02,3.096948399878421757e-02,-3.569350059635796324e-01,-3.354461242965864343e-02,-7.319015231814839095e-02
5.790000000000000036e+00,5.340766740543337221e+01,-2.959115395726013897e+00,9.999951736526563764e+02,1.003784553246602940e+02,-6.414800575717854482e-03,3.569127614837668688e-02,-1.135603841080660200e-03,-1.039535005607329990e-02,-9.800180761380856254e+00,8.904207463477618489e+01,1.939773115530544004e-02,2.954333408581767337e-02,-1.604986295600764334e-01,1.029876608288642220e-01,-4.392896268822060052e-02
5.990000000000000213e+00,5.340767043068355235e+01,-2.958813610763268098e+00,9.999948301641270518e+02,1.003776456918886169e+02,5.612317949620237827e-03,3.807859894112729932e-02,-1.133864866361512964e-03,-1.008763881858843608e-02,-9.800330217021311796e+00,8.903620855686787650e+01,2.074015288119625960e-02,3.727981012653980297e-02,-1.781925041083605166e-01,2.266790115514115134e-01,-1.529050979132142440e-01
6.189999999999999503e+00,5.340767345263486021e+01,-2.958511828357439644e+00,9.999944771267473698e+02,1.003766608595274903e+02,7.289551586990706926e-03,4.551485028431868224e-02,-1.351002568233356654e-03,-1.096848356238714489e-02,-9.800001405522118958e+00,8.903630759763603919e+01,2.495247492898657396e-02,3.707140820609582804e-02,-2.224152048197411413e-01,-1.769208876543179876e-01,2.442185797785033363e-02
6.389999999999999680e+00,5.340767647119380968e+01,-2.958210048796351188e+00,9.999941110732033849e+02,1.003757103628851013e+02,8.201738935077985612e-03,3.959204009176159333e-02,-4.931376237253442055e-04,-1.048130335107761227e-02,-9.800152883085910815e+00,8.903688362438005299e+01,2.153647188059442177e-02,3.901607149988679107e-02,1.529850204328581098e-01,1.494792104556218193e-01,-4.849347881256417525e-02
6.589999999999999858e+00,5.340767948623438599e+01,-2.957908271865755889e+00,9.999937331657856703e+02,1.003748196380750244e+02,1.909816207236024813e-02,3.765642447892203482e-02,-8.780687526690864227e-04,-1.038654907909201605e-02,-9.799898226868425155e+00,8.903176018514822943e+01,2.040488975466931559e-02,3.658935181934204472e-02,-3.189289967289184180e-02,1.226476631031289122e-01,4.499041050072419279e-02
6.790000000000000036e+00,5.340768249782797739e+01,-2.957606497487316854e+00,9.999933446357026696e+02,1.003739193715805698e+02,1.787142253833104780e-02,3.973820487540227070e-02,-1.191488913177872824e-04,-1.142937894226543974e-02,-9.800013365778990959e+00,8.903354180568329923e+01,2.155487756598754856e-02,3.767607436696007728e-02,4.224693774849599404e-01,-2.919163815934390782e-01,9.441045966547481280e-03
6.990000000000000213e+00,5.340768550602126652e+01,-2.957304725713300719e+00,9.999929426321759820e+02,1.003730234841034559e+02,2.792403075643606555e-02,3.769294726894199116e-02,-8.311545678874677004e-04,-1.100043664968103525e-02,-9.799714400516499779e+00,8.902885592539743698e+01,2.036016907858950731e-02,3.429594146846884350e-02,5.052153385633831317e-02,-1.848003923968216666e-01,1.176897898027224748e-01
