# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191241792474e+01,-2.967566248476284141e+00,1.000000000090338290e+03,1.003981542475234505e+02,9.770928257874197161e-04,3.368619971649669358e-03,-8.363988971176106917e-05,-1.169188781413561112e-02,-9.800234111223268485e+00,8.902579479437591203e+01,1.915894038720104397e-03,3.918932548068614118e-04,-5.447475878417949724e-03,1.553414252902939573e-02,4.626758338810507687e-02
3.900000000000000133e-01,5.340758497733308729e+01,-2.967264404925384458e+00,9.999999978551641107e+02,1.003980726389912377e+02,-2.107067607324853179e-04,3.570110066143756308e-03,-4.575921070015500280e-05,-1.168691669683847613e-02,-9.800245696171021592e+00,8.902671722274949673e+01,2.023533507574774848e-03,-1.592764548054547910e-03,3.102865412249411828e-02,-2.427507512686682273e-02,2.464462060356018697e-02
5.919999999999999707e-01,5.340758807215625836e+01,-2.966959543178710135e+00,9.999999930663034320e+02,1.003979659409345970e+02,7.243241576409101582e-05,4.181200779520704430e-03,-1.142107196502947656e-04,-1.174603079298699136e-02,-9.800421485760487883e+00,8.902678388972402956e+01,2.365744769892873332e-03,-1.432787887477159723e-03,-2.163374176790238898e-02,-7.428042028527831291e-03,-2.036845179459296010e-02
7.900000000000000355e-01,5.340759110499779894e+01,-2.966660718570699462e+00,9.999999860590323806e+02,1.003978593766926934e+02,2.647215815802483581e-04,5.676221496525293495e-03,-7.374093951830265614e-05,-1.167968100162154223e-02,-9.800214322262853273e+00,8.902688729697717918e+01,3.212218890509328361e-03,-2.447038816513669949e-03,9.600053239305076508e-03,-2.138971438206736450e-02,-6.978625291720235227e-03
9.899999999999999911e-01,5.340759416781774860e+01,-2.966358875822977748e+00,9.999999766945838928e+02,1.003977542544603239e+02,7.290696867615083883e-04,4.469788310989123055e-03,-1.079934787979992621e-04,-1.168526923131141780e-02,-9.800139782729422322e+00,8.902682689649896020e+01,2.517246870942938756e-03,-2.813114308756977690e-03,-1.379330794387846268e-02,-7.022244335707824789e-03,1.899166903919931315e-02
1.191999999999999948e+00,5.340759726061455126e+01,-2.966054014914055070e+00,9.999999647838994861e+02,1.003976551226700735e+02,-2.765774889279863321e-04,3.850079594614689692e-03,-8.491158466329880045e-05,-1.151891685813903436e-02,-9.799875550442376237e+00,8.902760468699675300e+01,2.155955637980469866e-03,-2.964867535005583175e-03,5.390838778002324060e-05,-1.237910056390994183e-02,2.865312512544226572e-02
1.389999999999999902e+00,5.340760029153884147e+01,-2.965755191103799149e+00,9.999999507265165448e+02,1.003975519564720145e+02,-7.130109026291495166e-04,5.328096532123550999e-03,-8.289689675372612695e-05,-1.168392056591037280e-02,-9.800126917877342692e+00,8.902805284802477104e+01,2.992927132222694426e-03,-2.267865558600963213e-03,1.148388527426349092e-03,-1.033980721246623505e-02,4.030450186354968961e-02
1.590000000000000080e+00,5.340760335242930523e+01,-2.965453349188660326e+00,9.999999338351190090e+02,1.003974241368823499e+02,-2.375266337614397386e-03,5.430312929197007171e-03,-3.177874353571400259e-05,-1.175405002666230457e-02,-9.800275490788024513e+00,8.902921094510068656e+01,3.043552326522576488e-03,-2.172269756290517734e-03,3.408642776107116690e-02,-2.810465906802414680e-03,1.287246440424422329e-02
1.790000000000000036e+00,5.340760641264755293e+01,-2.965151507604632641e+00,9.999999145204201341e+02,1.003973036175171529e+02,-1.968253218507271408e-03,5.686846062985259111e-03,-3.769966586995539878e-05,-1.162509352694047343e-02,-9.800233701230427030e+00,8.902919245478071275e+01,3.183385225822060217e-03,-2.664323167305987332e-03,2.299691427575115479e-02,3.091318092059934866e-02,3.089940078471584833e-02
1.989999999999999991e+00,5.340760947221120603e+01,-2.964849666340478862e+00,9.999998928951099515e+02,1.003971898891498569e+02,-2.380193306457870864e-03,5.317697947414667253e-03,-5.761578714047292920e-05,-1.164590969445301709e-02,-9.800317205774803142e+00,8.902963135310274367e+01,2.965776921184773689e-03,-2.451185334989330368e-03,8.070806647276339979e-03,3.152233287544763118e-02,5.984433857199617651e-02
2.189999999999999947e+00,5.340761253112472673e+01,-2.964547825387270574e+00,9.999998686462640762e+02,1.003970689777591900e+02,-4.567915210050948506e-03,4.751531080220734379e-03,-5.550936000918931619e-05,-1.161437696040268017e-02,-9.800278439521919793e+00,8.903108184765754629e+01,2.634679558822533400e-03,-2.748382542945361148e-03,1.300707097351617297e-02,1.900128492683739873e-02,3.512214287756913050e-02
2.389999999999999680e+00,5.340761558939654918e+01,-2.964245984735324857e+00,9.999998418856412172e+02,1.003969641399462063e+02,-3.800352191990114242e-03,4.791968607189815536e-03,4.604473598277219852e-05,-1.172818817701018305e-02,-9.800320040998713012e+00,8.903085400001926075e+01,2.651649583917544805e-03,-1.484142944091680410e-03,7.975572280463853747e-02,2.128117801643199594e-02,3.148983130627164978e-02
2.589999999999999858e+00,5.340761864698453110e+01,-2.963944144324291319e+00,9.999998126002028584e+02,1.003968846070385439e+02,-4.484279434500694841e-03,2.446338340341659527e-03,-9.477123658293949574e-05,-1.174050829594349907e-02,-9.800378466367062558e+00,8.903146134913468757e+01,1.305790852778630729e-03,-1.863869239780533739e-03,-1.294436422249805284e-02,1.469547732610741210e-02,-3.802161800673506311e-03
2.789999999999999591e+00,5.340762170388700270e+01,-2.963642304053556664e+00,9.999997808467596769e+02,1.003968390187887962e+02,-5.112885675110753064e-03,2.028394591433677844e-03,-4.319361808382144721e-05,-1.164051582032695278e-02,-9.800361342593431502e+00,8.903204365377285967e+01,1.059982504524941901e-03,-8.488697969188437747e-04,2.316013672838245288e-02,1.549842711426027697e-02,-5.797103083655497091e-03
2.989999999999999769e+00,5.340762476005034642e+01,-2.963340463876455999e+00,9.999997467994689941e+02,1.003967970989978511e+02,-5.204169969153962620e-03,1.758705815169710760e-03,-5.541810442212668380e-05,-1.153491451399050842e-02,-9.800167574241614332e+00,8.903234214631987697e+01,8.988140158615406548e-04,5.337647437333146744e-04,1.040478297634938459e-02,4.076696671637059649e-02,2.953337953828025567e-02
3.189999999999999947e+00,5.340762781539012138e+01,-2.963038623764607582e+00,9.999997100727632642e+02,1.003967622316602046e+02,-5.765733380280098526e-03,1.876099505495364096e-03,-1.037239009132716197e-04,-1.167501822590113168e-02,-9.800383762013986200e+00,8.903293528465601980e+01,9.588896608083252553e-04,1.527907872522482006e-03,-1.768578159308696954e-02,1.394672132490433480e-02,1.921947240679080030e-02
3.389999999999999680e+00,5.340763086985808883e+01,-2.962736783715234523e+00,9.999996708882972598e+02,1.003967283635746384e+02,-5.932410399095039942e-03,6.305784663536117803e-04,-3.336695282053611975e-05,-1.159893855290314649e-02,-9.800231657249883099e+00,8.903330848416104004e+01,2.410078575336445221e-04,1.627044564324917975e-03,2.523777178143275443e-02,2.910932638162110758e-02,1.202906458632036282e-02
