# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828279933e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191244014341e+01,-2.967566248427814468e+00,1.000000001102685928e+03,1.003981979531057220e+02,1.102732409782385334e-10,-5.373540167636427526e-12,1.706660685531902923e-07,-1.182752595478601433e-02,-9.800360804030956885e+00,8.902633636843431475e+01,-5.532143330746606174e-07,6.916103432623691078e-09,3.640437936640181423e-08,2.589205016258275876e-05,1.175485980098877692e-03
3.900000000000000133e-01,5.340758497742456967e+01,-2.967264404625349794e+00,1.000000002250075340e+03,1.003981979560889073e+02,4.689428936754117055e-10,-1.095526834864842311e-11,-2.392146617754188342e-06,-1.175055313517003874e-02,-9.800340173340968519e+00,8.902657815204757696e+01,-5.325862731881863286e-07,1.419433209906009243e-08,3.639366235868502147e-08,1.411690174620184338e-05,1.219413733246178322e-03
5.919999999999999707e-01,5.340758807228620242e+01,-2.966959542340848355e+00,1.000000003406777978e+03,1.003981979758318346e+02,1.082703706423879813e-09,-1.668235499844721069e-11,2.198110789037842716e-06,-1.185348098792016538e-02,-9.800448237536411256e+00,8.902682210524893947e+01,-3.399883187853495750e-07,2.154339807936205143e-08,3.637946368830794262e-08,7.578602279405323460e-05,1.160674812310759233e-03
7.900000000000000355e-01,5.340759110511001495e+01,-2.966660716890353378e+00,1.000000004539266229e+03,1.003981979847384309e+02,1.929989692017203107e-09,-2.217033636160720004e-11,8.455108452792882033e-07,-1.175545663083135337e-02,-9.800260896452694936e+00,8.902706175294056834e+01,-4.692481220394604725e-07,2.874531887788077788e-08,3.638547315961213552e-08,-3.112828212700136441e-05,1.216616362688864843e-03
9.899999999999999911e-01,5.340759416781109081e+01,-2.966358872957852277e+00,1.000000005688518286e+03,1.003981979884680555e+02,3.032319313905620691e-09,-2.767622561666985482e-11,-3.133016163728169856e-06,-1.179044976115138470e-02,-9.800225002548350162e+00,8.902730321467171848e+01,-4.298095493225622832e-07,3.601820421245231828e-08,3.636061018227141046e-08,-5.161393078397389153e-05,1.196646789424906949e-03
1.191999999999999948e+00,5.340759726036667843e+01,-2.966054010542046981e+00,1.000000006864778697e+03,1.003981979900116954e+02,4.397495400504178521e-09,-3.312319398683098075e-11,8.240204313673797535e-07,-1.161149315034239703e-02,-9.799975430271935295e+00,8.902754778582824713e+01,-7.781130084893802502e-07,4.336177419426471238e-08,3.637615974877313705e-08,-1.940426947295422963e-04,1.298775196558578067e-03
1.389999999999999902e+00,5.340760029093014083e+01,-2.965755184962882485e+00,1.000000008026137948e+03,1.003981980048057068e+02,5.981522742527016551e-09,-3.852893620497569317e-11,6.547177834937650257e-07,-1.177883867307013242e-02,-9.800244616618682514e+00,8.902778690905560666e+01,-3.725832283830490792e-07,5.055812266098151287e-08,3.634319063335143373e-08,-4.042349924267880262e-05,1.203274048488260336e-03
1.590000000000000080e+00,5.340760335134799419e+01,-2.965453340900437773e+00,1.000000009180977941e+03,1.003981980061502810e+02,7.827339261202355816e-09,-4.395161880212110253e-11,-3.350006668552989326e-07,-1.184880378742018264e-02,-9.800352159581745326e+00,8.902802873549589435e+01,-5.248592555339767170e-07,5.782548655262603910e-08,3.634398942507060458e-08,2.094818544816450838e-05,1.163346475268070774e-03
1.790000000000000036e+00,5.340760641100480655e+01,-2.965151496794696584e+00,1.000000010346993804e+03,1.003981980169292854e+02,9.921056516991014170e-09,-4.915338287424639481e-11,-1.263250449097419562e-06,-1.177395725831061404e-02,-9.800337348397725634e+00,8.902827057612061878e+01,-4.944991308776607139e-07,6.509094211146168595e-08,3.633152764297002672e-08,1.249415183186282336e-05,1.206060784716830913e-03
1.989999999999999991e+00,5.340760946990049973e+01,-2.964849652645690448e+00,1.000000011498108506e+03,1.003981980215053795e+02,1.226182008930860268e-08,-5.436026910982252143e-11,1.044370536121118895e-06,-1.180103298135385011e-02,-9.800464120086404662e+00,8.902851224430733623e+01,-4.400504010636883529e-07,7.235469289298805423e-08,3.632409100863007536e-08,8.483937308861134790e-05,1.190609556235911089e-03
2.189999999999999947e+00,5.340761252803513770e+01,-2.964547808453405153e+00,1.000000012657605112e+03,1.003981980363652298e+02,1.485045237661093969e-08,-5.947185475391924192e-11,-3.079651018654406814e-08,-1.174899296250102136e-02,-9.800388498007086113e+00,8.902875409052644784e+01,-6.191886551655707668e-07,7.961663711945537333e-08,3.632104770858372777e-08,4.168144668297400502e-05,1.220308521905967038e-03
2.389999999999999680e+00,5.340761558540854992e+01,-2.964245964217864682e+00,1.000000013814307749e+03,1.003981980441899680e+02,1.768647125307379573e-08,-6.454082965179795133e-11,1.036581850645077816e-06,-1.184318064445361550e-02,-9.800424922127119132e+00,8.902899580064223528e+01,-1.959982218016957868e-07,8.687657123536399608e-08,3.628650139430415589e-08,6.246665175597297052e-05,1.166557484763216905e-03
2.589999999999999858e+00,5.340761864202088560e+01,-2.963944119939078803e+00,1.000000014967285097e+03,1.003981980461198731e+02,2.076980042104081715e-08,-6.941674928018262523e-11,1.134086756677032479e-06,-1.187723034779029040e-02,-9.800430938006051917e+00,8.902923762782386063e+01,-2.651082400308420489e-07,9.413482601840080444e-08,3.627916286683655324e-08,6.589831367334392980e-05,1.147126308100743100e-03
2.789999999999999591e+00,5.340762169787213764e+01,-2.963642275617050625e+00,1.000000016109086573e+03,1.003981980546175947e+02,2.410074530038297313e-08,-7.409311215398917014e-11,-1.676006723075551165e-06,-1.176629648021479402e-02,-9.800410756924174294e+00,8.902947928883158113e+01,-3.261549414759793872e-07,1.013910961353163740e-07,3.627381856341326170e-08,5.437976111568633419e-05,1.210435127782079562e-03
2.989999999999999769e+00,5.340762475296230605e+01,-2.963340431251798357e+00,1.000000017264857888e+03,1.003981980611674487e+02,2.767937780513297058e-08,-7.883625241105131798e-11,-3.598107164331326314e-06,-1.170279430725798542e-02,-9.800270105623148709e+00,8.902972122163413360e+01,-5.726819230578374257e-07,1.086457123637976000e-07,3.628355847723393390e-08,-2.588939112506404727e-05,1.246675379277786952e-03
3.189999999999999947e+00,5.340762780729136239e+01,-2.963038586843337541e+00,1.000000018418766558e+03,1.003981980607826188e+02,3.150497844767609939e-08,-8.390635710090389341e-11,-5.584227720401663458e-07,-1.181269257843757178e-02,-9.800470945667052902e+00,8.902996295770878987e+01,-2.629829679482506374e-07,1.158985220372197370e-07,3.625914007248978662e-08,8.872556932152594617e-05,1.183958538226198131e-03
3.389999999999999680e+00,5.340763086085935640e+01,-2.962736742391668177e+00,1.000000019569881260e+03,1.003981980761856931e+02,3.557848364165907682e-08,-8.880124286132742888e-11,8.219746972723234611e-07,-1.174461971738550471e-02,-9.800308070496180690e+00,8.903020466430287172e+01,-3.343889395464143181e-07,1.231492707112082891e-07,3.625841866989660021e-08,-4.226416046085057215e-06,1.222807210221279204e-03
3.589999999999999858e+00,5.340763391366623125e+01,-2.962434897896808916e+00,1.000000020707026124e+03,1.003981980777110721e+02,3.989827105154718396e-08,-9.352949201934948956e-11,4.563743887144611063e-07,-1.180142521425393831e-02,-9.800390905694220223e+00,8.903044658526302157e+01,-5.368203293579003659e-07,1.303983909411999419e-07,3.625442778943269717e-08,4.304490287208643081e-05,1.190389638745268730e-03
3.789999999999999591e+00,5.340763696571211483e+01,-2.962133053358765089e+00,1.000000021867454052e+03,1.003981980902098599e+02,4.446531305119959998e-08,-9.818809801272242524e-11,2.220213216866761634e-06,-1.172608712160400427e-02,-9.800316710842968959e+00,8.903068839972847570e+01,-5.427318609554931478e-07,1.376456537272576172e-07,3.624426613040173032e-08,7.014837159759979306e-07,1.233384471596685227e-03
3.989999999999999769e+00,5.340764001699676555e+01,-2.961831208777548241e+00,1.000000023022294044e+03,1.003981980906679325e+02,4.927905715622915468e-08,-1.027136602492672776e-10,-5.382843936367090820e-07,-1.182406382127900064e-02,-9.800296765532433341e+00,8.903093010679602060e+01,-7.740437050521660671e-07,1.448911862915685762e-07,3.624278307073508218e-08,-1.068252216382955170e-05,1.177471094745756409e-03
4.189999999999999503e+00,5.340764306752038237e+01,-2.961529364153165478e+00,1.000000024182721972e+03,1.003981981081782635e+02,5.434001405148918737e-08,-1.071430764529603775e-10,1.064995088724525239e-06,-1.184913876779055721e-02,-9.800442460980084647e+00,8.903117167588179370e+01,-3.834515399517342465e-07,1.521346833008834078e-07,3.621181967492577074e-08,7.246222778818955425e-05,1.163161681353218433e-03
4.391999999999999460e+00,5.340764614777661734e+01,-2.961224501038742574e+00,1.000000025343149900e+03,1.003981980876203579e+02,5.970209434179617519e-08,-1.118695188555069895e-10,-1.398959811713163391e-07,-1.181875156703385971e-02,-9.800401609296748973e+00,8.903141606730629576e+01,-4.477087950700907057e-07,1.594488649574390567e-07,3.621115143744769494e-08,4.914724283732066170e-05,1.180503704288408907e-03
4.589999999999999858e+00,5.340764916628408088e+01,-2.960925674774964822e+00,1.000000026466324925e+03,1.003981981161706472e+02,6.520229254740719599e-08,-1.160994170793021264e-10,-1.169016637641204575e-08,-1.181653591589846425e-02,-9.800339080504887335e+00,8.903165539907524817e+01,-5.848574426006040597e-07,1.666164612098354382e-07,3.620709009903507578e-08,1.346147934009513515e-05,1.181768631094414932e-03
4.790000000000000036e+00,5.340765221452437572e+01,-2.960623830021167358e+00,1.000000027623027563e+03,1.003981981250473297e+02,7.100340892737206514e-08,-1.202383978208227620e-10,-1.331111939301558187e-06,-1.170051090457349501e-02,-9.800261372718148678e+00,8.903189715453466135e+01,-5.006757426246254085e-07,1.738543858873483372e-07,3.619872002139753009e-08,-3.088671895664034503e-05,1.247982890882279100e-03
4.990000000000000213e+00,5.340765526200353719e+01,-2.960321985224255492e+00,1.000000028766691685e+03,1.003981981240660275e+02,7.705105522732108472e-08,-1.245319677588083835e-10,-3.537275018685769316e-08,-1.176108951351672455e-02,-9.800299428595106832e+00,8.903213896220762535e+01,-6.259259859806586824e-07,1.810907330097392123e-07,3.619545700766573845e-08,-9.170292117869226260e-06,1.213412055734246729e-03
5.189999999999999503e+00,5.340765830872160791e+01,-2.960020140384231446e+00,1.000000029919669032e+03,1.003981981264500405e+02,8.334564984574995169e-08,-1.289095990303309086e-10,-3.331424818833195410e-06,-1.178360423614486369e-02,-9.800427749062114557e+00,8.903238063779943445e+01,-6.010388580424553830e-07,1.883250700215714176e-07,3.618311746272527940e-08,6.405880869726529700e-05,1.200563722640000984e-03
5.389999999999999680e+00,5.340766135467861631e+01,-2.959718295501111207e+00,1.000000031088478863e+03,1.003981981431852120e+02,8.988703747760043194e-08,-1.330971704245639872e-10,1.265019364830476315e-06,-1.177281431400800833e-02,-9.800290714810055093e+00,8.903262237489619224e+01,-2.410109583200145993e-07,1.955576768116569065e-07,3.615532465660615579e-08,-1.414613463546914141e-05,1.206721862493136165e-03
