# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191392372112e+01,-2.967566246059696322e+00,9.999998311307281256e+02,1.003999048483067611e+02,-1.272735965398786098e-02,-8.293941393438964554e-03,8.806336400085970975e-03,-2.015193974491161569e-02,-9.791210242460442359e+00,8.903262705420671352e+01,-5.749034750775577213e-03,5.242403866136121672e-03,-1.958569251413715961e-01,2.956458730733993456e-01,-8.237890758043663053e-02
3.900000000000000133e-01,5.340758498343038951e+01,-2.967264394607673772e+00,9.999992895275354385e+02,1.004016307539761357e+02,-2.363616323008073741e-02,1.601101476111160653e-03,9.408599896587434633e-03,-2.207949676878178877e-02,-9.790149199151649384e+00,8.903820426288335455e+01,-1.168859288919013020e-03,4.851770172024325381e-03,3.382960652271798097e-01,-7.288380708951508469e-01,5.168128495293550229e-01
5.919999999999999707e-01,5.340758808606187102e+01,-2.966959519507616605e+00,9.999983647763729095e+02,1.004033778265774970e+02,-2.739832007565565566e-02,4.007061182746959188e-03,9.751884281168238591e-03,-2.159207505860499463e-02,-9.790141289132732183e+00,8.903948555041522184e+01,-8.618514997734965256e-04,-1.241332053568885594e-03,4.510643950689207649e-01,-3.785037505347627063e-01,5.979408182976992947e-01
7.900000000000000355e-01,5.340759113000607528e+01,-2.966660676257275142e+00,9.999970925580710173e+02,1.004051736469061495e+02,-2.330275904281605900e-02,2.319049879280885192e-03,8.099348404827823311e-03,-2.097428504514174327e-02,-9.791803867718696708e+00,8.903629420387520099e+01,-2.862447492612712509e-03,-8.045958693432272296e-03,-4.844823073706835959e-01,-2.579665856829300163e-01,-4.233988827824969325e-01
9.899999999999999911e-01,5.340759420760137033e+01,-2.966358808854260953e+00,9.999954430796205997e+02,1.004071195662744600e+02,-2.756231716711235458e-02,-4.297620719279178145e-03,8.771937865910878207e-03,-2.126773750257491408e-02,-9.790259435178406022e+00,8.903780801227775044e+01,-7.693786519684557741e-03,-5.225639184979343280e-03,-9.661407731027510382e-02,-3.292138004620841496e-01,4.081461372147370259e-01
1.191999999999999948e+00,5.340759731866203452e+01,-2.966053916924259237e+00,9.999934010859578848e+02,1.004089956359962343e+02,-2.404965039406897417e-02,1.368706086510019376e-02,9.385508376880818959e-03,-2.105451270290160243e-02,-9.790524023402998210e+00,8.903508766499413696e+01,1.502602458286344872e-03,8.169226873989245477e-03,2.254166139976378214e-01,-2.519265795460057245e-01,1.223418780182506660e-01
1.389999999999999902e+00,5.340760037035748553e+01,-2.965755057066615130e+00,9.999910351810976863e+02,1.004108852018621008e+02,-1.526676101396737262e-02,6.386175385324422554e-03,8.887026407722441873e-03,-1.968755350420574660e-02,-9.790488946738728160e+00,8.902933827487024132e+01,-3.697420174822369562e-03,2.129098980333428860e-03,-1.954771068118093258e-01,5.200452129116501787e-01,2.947876170453551659e-01
1.590000000000000080e+00,5.340760345527823461e+01,-2.965453172552328098e+00,9.999882795810699463e+02,1.004129384992157554e+02,-1.377796576272828123e-02,-5.308125821856152921e-03,8.938996121816936147e-03,-2.019008532205441089e-02,-9.790965927916500888e+00,8.902774306941239502e+01,-1.141896907601349861e-02,1.193221986009675769e-03,-1.161724782345933266e-01,3.085732406246315396e-01,1.000462184319747677e-01
1.790000000000000036e+00,5.340760654260368767e+01,-2.965151281738105826e+00,9.999851547153666615e+02,1.004150231411144176e+02,-2.849997913375008907e-02,1.590675261675472685e-03,9.153627591923434864e-03,-2.028425363819530078e-02,-9.790457335222981783e+00,8.903542679985569919e+01,-8.541987309724372035e-03,6.103884729562366641e-03,6.547789349634357964e-03,2.265955720274065999e-01,3.697744174042890131e-01
1.989999999999999991e+00,5.340760963229739389e+01,-2.964849384814225886e+00,9.999816611353307962e+02,1.004170529747702716e+02,-2.843974603152550629e-02,4.881015886669972520e-03,8.148336958228981353e-03,-2.035478410430007976e-02,-9.790953730376546815e+00,8.903459314305801797e+01,-7.710796054494932668e-03,-6.967054689730741573e-03,-5.241631991949431413e-01,9.293652920253953065e-02,1.712280982350867231e-01
2.189999999999999947e+00,5.340761272486087563e+01,-2.964547481833614828e+00,9.999777985373511910e+02,1.004190870717477821e+02,-3.985603112586943303e-02,7.937362763146441763e-03,8.401379893790644413e-03,-2.132066618760030535e-02,-9.790193141457130821e+00,8.904015003376669313e+01,-7.017620336591766199e-03,-1.092900570533852402e-02,-2.660985727093608255e-01,-4.234289861080910433e-01,5.781347026189522786e-01
2.389999999999999680e+00,5.340761582046744849e+01,-2.964245572720874744e+00,9.999735670229420066e+02,1.004211514319894292e+02,-4.684571728633020460e-02,7.562141618164449838e-03,8.394344157399586184e-03,-2.080161347436727121e-02,-9.791453811400614882e+00,8.904322361908286609e+01,-8.278843621986957738e-03,-9.242303821778189224e-03,-3.160492386077446425e-01,-1.025499574783338974e-01,-9.761795736130352008e-02
2.589999999999999858e+00,5.340761891904258363e+01,-2.963943657221611350e+00,9.999689704766497016e+02,1.004234297931898396e+02,-4.382151580660789691e-02,-2.538698992038360136e-03,9.208677659135527591e-03,-2.076313095887776308e-02,-9.791259266880318890e+00,8.904058500890235450e+01,-1.508526276224183248e-02,-1.025572630583370878e-03,1.112319527439125655e-01,1.276103664006793086e-02,2.254006516753286407e-02
2.789999999999999591e+00,5.340762202029748096e+01,-2.963641734681824236e+00,9.999640081236138940e+02,1.004259012920538652e+02,-4.965695675406441023e-02,-1.954697573583289924e-02,9.023941141143295569e-03,-2.039234392380408906e-02,-9.792157538573075470e+00,8.904314725675631337e+01,-2.583549180613476867e-02,1.189386142130634694e-03,-2.311382443489790398e-02,1.296019439871833878e-01,-4.940764540486115020e-01
2.989999999999999769e+00,5.340762512398248418e+01,-2.963339804262331345e+00,9.999586769631132483e+02,1.004285281313011637e+02,-7.182603227339949548e-02,-7.449174202107909648e-03,9.741726063481875170e-03,-2.096018644174827555e-02,-9.790767233705917505e+00,8.905505170108483526e+01,-1.998752888405489272e-02,-4.404131771916555129e-04,4.284943452055700597e-01,-1.576039912508586660e-01,2.075763441422222577e-01
3.189999999999999947e+00,5.340762823017645644e+01,-2.963037866412681520e+00,9.999529791874811053e+02,1.004309183098535527e+02,-6.585381382594848731e-02,2.427099311215666355e-03,9.268091458644479169e-03,-2.095455934235589818e-02,-9.791879698516602559e+00,8.905081794792555172e+01,-1.538766898194608192e-02,-5.329468232713763590e-03,1.440157388785006654e-01,-1.306847100293007102e-01,-3.122826215379793102e-01
3.389999999999999680e+00,5.340763133908821203e+01,-2.962735921256995919e+00,9.999469150714576244e+02,1.004334721358506641e+02,-8.103372704667965998e-02,-5.565475234355476281e-03,9.139499303220249837e-03,-2.196001895401454920e-02,-9.791918923146655018e+00,8.905870727181174118e+01,-2.100600489159847387e-02,5.438673014430138279e-03,1.774188011144427202e-01,-7.016969524765357402e-01,-4.132095949971016924e-01
