# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191241692288e+01,-2.967566248499160064e+00,9.999999985415488482e+02,1.003981286306414233e+02,1.845373287619679354e-03,6.812974660738562241e-03,3.031303416671560919e-03,-1.355235811810303476e-02,-9.800179229857103991e+00,8.902530144366807008e+01,3.872052638121438895e-03,7.646645400755612814e-04,1.526023465966000803e+00,-9.052736025116501217e-01,2.451234438414565953e-01
3.900000000000000133e-01,5.340758497733528287e+01,-2.967264405122701287e+00,9.999999908907338977e+02,1.003979810874626253e+02,-4.858093843320749781e-04,7.084432932860594209e-03,1.693696277001633180e-03,-1.544163708510871980e-02,-9.800976250595528683e+00,8.902686151716902430e+01,4.007602564930874516e-03,-3.131651321126100590e-03,1.079267628130251566e+00,-1.848473548711712100e+00,-1.601633235888758056e-01
5.919999999999999707e-01,5.340758807224553806e+01,-2.966959543788468157e+00,9.999999765548855066e+02,1.003977851599775022e+02,2.097610471464181846e-04,8.371748685940502352e-03,-4.417584953033361003e-03,-3.549733232817837286e-03,-9.804584217085302811e+00,8.902666119966296776e+01,4.725364543912152424e-03,-2.917071109958510426e-03,-2.217798794382894734e+00,1.754333203918643669e+00,-7.372131091237638101e-01
7.900000000000000355e-01,5.340759110527817199e+01,-2.966660719852373784e+00,9.999999567130580544e+02,1.003975870426311019e+02,5.202940197012851211e-04,1.131813584430007950e-02,3.917058177356807364e-03,-1.650874274512581855e-02,-9.802376270626574239e+00,8.902665528149175600e+01,6.390545841425412064e-03,-4.883148575943015851e-03,2.118618163753921202e+00,-2.133103665355517542e+00,-7.814566366668337372e-01
9.899999999999999911e-01,5.340759416844286278e+01,-2.966358878068957150e+00,9.999999312106519938e+02,1.003973936646708722e+02,1.328342219421446008e-03,8.959893774765199936e-03,4.106694319939070172e-03,-1.526626062056258941e-02,-9.805981793238963462e+00,8.902634527888537264e+01,5.029216639245484219e-03,-5.662141391682048649e-03,2.135312036520917278e+00,-1.666385927299395497e+00,-2.410489348624752726e+00
1.191999999999999948e+00,5.340759726176142408e+01,-2.966054018395365421e+00,9.999998994935303926e+02,1.003972123780795584e+02,-7.462634346226391414e-04,7.708352157308081404e-03,-5.458433810407743031e-03,-4.580342712678972528e-03,-9.796350078295755992e+00,8.902767580685329563e+01,4.296370462042369519e-03,-5.937952277271882351e-03,-2.589868720326113927e+00,1.153471835321004724e+00,2.759308041884254603e+00
1.389999999999999902e+00,5.340760029337202752e+01,-2.965755196039451480e+00,9.999998623533174396e+02,1.003970231676623257e+02,-1.687311212761537704e-03,1.067743858942429500e-02,7.520628855169407198e-03,-1.512902921962016797e-02,-9.807372976532450437e+00,8.902835660718032784e+01,5.973755639137601214e-03,-4.541771304526383279e-03,3.604118498066628540e+00,-1.340618738360681572e+00,-3.068333720394764264e+00
1.590000000000000080e+00,5.340760335511389911e+01,-2.965453355903801214e+00,9.999998179236426950e+02,1.003967850294459794e+02,-4.945497017522762842e-03,1.091543375030987889e-02,7.225039720119847374e-03,-1.343854456320175798e-02,-9.807702782473642245e+00,8.903037642316020595e+01,6.090121894920276328e-03,-4.284633578902388197e-03,3.348965699621382797e+00,-5.627822407875134880e-01,-3.088493807362209242e+00
1.790000000000000036e+00,5.340760641632618189e+01,-2.965151516420063693e+00,9.999997673500329256e+02,1.003965614295062494e+02,-4.224246206839204695e-03,1.155294551796340850e-02,7.834201211760545569e-03,-1.528320235619122502e-02,-9.807329632252066887e+00,8.903013389225830565e+01,6.437083935430748180e-03,-5.290945191287589090e-03,3.743257607921104846e+00,-1.361132295751650512e+00,-2.981426624663370717e+00
