# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191241729236e+01,-2.967566248497998327e+00,9.999999986086040735e+02,1.003981294615967528e+02,1.927338954931470064e-03,6.709727497230066548e-03,-7.597805151180500420e-05,-9.555043695733976550e-03,-9.801581566324120587e+00,8.902525460506355159e+01,3.813184096599691632e-03,7.805680295147932090e-04,4.111069146775313439e-03,2.007546107603325886e-02,-4.480000074540010056e-03
3.900000000000000133e-01,5.340758497733563104e+01,-2.967264405117898907e+00,9.999999910006299615e+02,1.003979828295836825e+02,-4.706251566013072945e-04,7.134039014254716336e-03,4.876574507737261362e-05,-9.682384823418710429e-03,-9.801655051916382533e+00,8.902685293311878922e+01,4.036007403598104899e-03,-3.179061407681903813e-03,-8.211154124174344440e-03,1.031835570950902052e-02,1.943282491295230362e-03
5.919999999999999707e-01,5.340758807224506910e+01,-2.966959543777707431e+00,9.999999767085537314e+02,1.003977873672705812e+02,6.661451243326058829e-05,8.365170419704812468e-03,-1.733776488055619597e-04,-9.659832611109283110e-03,-9.801975198000807410e+00,8.902674321610059849e+01,4.721887386960090839e-03,-2.861694257953830301e-03,-4.826327036559861956e-03,7.883392419511924681e-03,1.074617105488459481e-03
7.900000000000000355e-01,5.340759110527595510e+01,-2.966660719833873028e+00,9.999999568937346339e+02,1.003975899992912701e+02,4.241050686433117710e-04,1.136036273295245626e-02,-4.637397683866263665e-05,-9.650857209403423953e-03,-9.801730258173600774e+00,8.902671077777912956e+01,6.414782008748291971e-03,-4.889244543733698746e-03,-6.218478776122381146e-03,8.069836518429737010e-03,7.409531874345868727e-04
9.899999999999999911e-01,5.340759416843842899e+01,-2.966358878040774361e+00,9.999999314378947020e+02,1.003973970961555722e+02,1.323070210189389306e-03,8.955515368233794848e-03,-1.500261451844332045e-04,-9.607342348583130728e-03,-9.801581489124748359e+00,8.902634915116031777e+01,5.026765856067462457e-03,-5.621814361904431054e-03,-5.683591555635392721e-03,4.889204320245970660e-03,1.874104433248896528e-04
1.191999999999999948e+00,5.340759726175376443e+01,-2.966054018355627431e+00,9.999998997822403908e+02,1.003972164379166259e+02,-7.160893506248687057e-04,7.724328171059879726e-03,-8.324990391055109296e-05,-9.462646026938987404e-03,-9.801281691584449618e+00,8.902765978816097459e+01,4.305363352545908684e-03,-5.925773803222816882e-03,-4.931575847727919654e-03,3.325678805438861754e-03,1.336266893757226881e-03
1.389999999999999902e+00,5.340760029336060910e+01,-2.965755195986733650e+00,9.999998627034947276e+02,1.003970277496292596e+02,-1.615663289034026786e-03,1.068562777384156164e-02,-7.885664307542904032e-05,-9.624475555836427623e-03,-9.801492963446873929e+00,8.902831704430954574e+01,5.978424073150937976e-03,-4.532695841861647881e-03,-3.003892973757975489e-03,4.142515184531186598e-03,1.659475109415189031e-03
1.590000000000000080e+00,5.340760335509806822e+01,-2.965453355836305871e+00,9.999998183241114020e+02,1.003967903353962754e+02,-4.968617603840265809e-03,1.089743479893848059e-02,7.953519266133495490e-05,-9.684544140693179121e-03,-9.801725417863865530e+00,8.903039114661960696e+01,6.079981750659584766e-03,-4.341651609056144251e-03,-2.416271698633761737e-03,3.587211894458445117e-03,2.904961617227175361e-03
1.790000000000000036e+00,5.340760641630524219e+01,-2.965151516336182347e+00,9.999997678073123097e+02,1.003965672378432288e+02,-4.183957555372870389e-03,1.141702337592855748e-02,5.285175276463689210e-05,-9.452635257302773736e-03,-9.801627763263599746e+00,8.903011277466251272e+01,6.359586154070092159e-03,-5.325716587328027662e-03,-2.785575452040387964e-03,3.298983333463200319e-03,2.314457808915875055e-03
1.989999999999999991e+00,5.340760947701744499e+01,-2.964849677465298150e+00,9.999997113551944494e+02,1.003963589798206044e+02,-5.037007603397859051e-03,1.068583629773587305e-02,-1.329212990637822396e-05,-9.460139358327587442e-03,-9.801624727363067890e+00,8.903074921096735750e+01,5.924402683503633520e-03,-4.899557029886582489e-03,-2.160590000361309500e-03,2.624991059426018923e-03,2.436786633520948622e-03
2.189999999999999947e+00,5.340761253724110702e+01,-2.964547839205716517e+00,9.999996480839326978e+02,1.003961355036872476e+02,-9.441360974843410192e-03,9.562253779182789196e-03,6.447497735625204798e-07,-9.470938234655503288e-03,-9.801657485113803858e+00,8.903340853051102499e+01,5.262484417553730739e-03,-5.493809874984218432e-03,-2.250775166814043479e-03,1.887450584774885568e-03,3.750435679583870394e-03
2.389999999999999680e+00,5.340761559699465977e+01,-2.964246001534621922e+00,9.999995782105252147e+02,1.003959468288734769e+02,-7.934598955559915220e-03,9.650113196728708070e-03,3.020395875331477161e-04,-9.604007329885068389e-03,-9.801707242784186036e+00,8.903271149250325323e+01,5.295865453351162461e-03,-2.965441470194407798e-03,-5.194757769733638307e-04,1.689323502916149000e-03,2.924344446102310636e-03
2.589999999999999858e+00,5.340761865619590054e+01,-2.963944164331301589e+00,9.999995015887543559e+02,1.003958057664777641e+02,-9.334439525872781016e-03,4.967060717733806988e-03,-1.211720334059447428e-04,-9.606923191002246856e-03,-9.801864670299170967e+00,8.903368475540669635e+01,2.604055612676832963e-03,-3.724858269874284106e-03,-8.669220835001902742e-04,1.559646933828256430e-05,3.111359192683519920e-03
2.789999999999999591e+00,5.340762171484202270e+01,-2.963642327394748310e+00,9.999994181571528316e+02,1.003957350628795240e+02,-1.062082643544681911e-02,4.141075221664420464e-03,4.157914191229211470e-05,-9.513194403293541782e-03,-9.801853759882096284e+00,8.903460809106850604e+01,2.112404414072048368e-03,-1.694694428499015845e-03,3.445264852279798133e-04,-2.256296787231666765e-04,3.256468016795255500e-03
2.989999999999999769e+00,5.340762477282251552e+01,-2.963340490629019275e+00,9.999993283133953810e+02,1.003956718055215021e+02,-1.083204067076446592e-02,3.612409567661210158e-03,1.773890504224232001e-06,-9.330218365809297282e-03,-9.801547258796780682e+00,8.903496353867137714e+01,1.790154931539977932e-03,1.070860976439167887e-03,1.793371505358308570e-03,-3.555933502708959150e-04,3.138436491036125479e-03
3.189999999999999947e+00,5.340762782996824143e+01,-2.963038653976189707e+00,9.999992307769134641e+02,1.003956217034670573e+02,-1.198384894894848583e-02,3.857625270963676353e-03,-1.426926631225853615e-04,-9.533071338652667273e-03,-9.801794540651901144e+00,8.903590848989952633e+01,1.909950125513633010e-03,3.059377714948050258e-03,2.647890468323367899e-03,-2.240443140308106987e-04,3.276512314473423518e-03
3.389999999999999680e+00,5.340763088618264476e+01,-2.962736817436839587e+00,9.999991262098774314e+02,1.003955725871766589e+02,-1.234680932762683737e-02,1.377273734487364631e-03,5.382743874716346285e-05,-9.428047685114113174e-03,-9.801663775091880026e+00,8.903641350349533923e+01,4.739318163541588326e-04,3.257599604532962663e-03,2.509994831260965210e-03,-9.265597671539043973e-04,3.181584346020129538e-03
3.589999999999999858e+00,5.340763394142617670e+01,-2.962434980964353759e+00,9.999990148236975074e+02,1.003955122952113896e+02,-1.255594562639631741e-02,5.822915442316436638e-03,2.312125093937320106e-04,-9.716457892630309470e-03,-9.801582057919645763e+00,8.903684769034848046e+01,2.991001274124966292e-03,2.117092829958337839e-03,1.661003585141130516e-03,4.596303775392480626e-04,3.083817345207783348e-03
3.789999999999999591e+00,5.340763699571834877e+01,-2.962133144727857825e+00,9.999988970942795277e+02,1.003954015104129098e+02,-7.665191060515837151e-03,6.659060363488681494e-03,-1.657526708017623574e-04,-9.411966722178222514e-03,-9.801933823583272698e+00,8.903435358361711849e+01,3.451933063838285697e-03,2.962826064559405566e-03,1.926608975729874294e-03,6.634082758229004236e-04,1.540205417168727950e-03
3.989999999999999769e+00,5.340764004902607098e+01,-2.961831308845081168e+00,9.999987727925181389e+02,1.003952319842322680e+02,-7.178055629456628339e-03,1.004252170547524810e-02,5.475650148512153838e-05,-9.842396045362590204e-03,-9.801830892733502054e+00,8.903439593810186636e+01,5.362373120850051460e-03,3.614205031470535921e-03,2.049666979611930537e-03,1.538723934500081788e-03,1.406783318757419540e-03
4.189999999999999503e+00,5.340764310128618320e+01,-2.961529473483568431e+00,9.999986419556662440e+02,1.003950300668256403e+02,-3.443530788771382179e-03,1.132006681630672897e-02,-1.779710933220469971e-05,-9.492344586360269149e-03,-9.801609682148137992e+00,8.903261112423183476e+01,6.074277112871799035e-03,4.551680758703251922e-03,2.273432350533823899e-03,1.749704263181556989e-03,3.926018912332101879e-04
4.391999999999999460e+00,5.340764618294119259e+01,-2.961224620406399222e+00,9.999985037920996547e+02,1.003947726544119092e+02,1.900527160395615572e-03,1.444401110899345801e-02,-1.429408689620282388e-04,-9.601360738980170215e-03,-9.801943152134199977e+00,8.902992351513448455e+01,7.841800301307851398e-03,5.917711907128973478e-03,2.709066385445432074e-03,2.437430479454354235e-03,-9.664920575698393058e-04
4.589999999999999858e+00,5.340764920242714453e+01,-2.960925804787592153e+00,9.999983622301369905e+02,1.003944994949792147e+02,3.074906418904021035e-04,1.321019383686571763e-02,-5.894082227214203322e-05,-9.677323814671233079e-03,-9.801926592361196455e+00,8.903119863951694413e+01,7.116995564321201839e-03,6.864070315439518150e-03,2.919101104792237288e-03,1.844381912728288537e-03,-2.388538250262896073e-04
4.790000000000000036e+00,5.340765225118763482e+01,-2.960623971606910043e+00,9.999982119183987379e+02,1.003941934912621861e+02,-4.327589784827147457e-03,1.691020963530628918e-02,-6.259474441493921397e-05,-9.332658695296215320e-03,-9.801405250604842578e+00,8.903424692985257138e+01,9.205469886228697177e-03,7.883066874724372133e-03,3.118507151608075883e-03,2.663220410569393150e-03,1.286957559869470911e-03
4.990000000000000213e+00,5.340765529863590189e+01,-2.960322139319576440e+00,9.999980540582910180e+02,1.003938837297990716e+02,-6.192844396399126497e-03,1.437093608283116462e-02,-9.997832731272284813e-05,-9.531994539860127319e-03,-9.801688623247853727e+00,8.903573736235202318e+01,7.736160875207743690e-03,8.325141906138642731e-03,2.985112848208394416e-03,1.690886781577778360e-03,1.899549895408313193e-03
5.189999999999999503e+00,5.340765834474214557e+01,-2.960020307829053010e+00,9.999978896360844374e+02,1.003936198627862382e+02,-3.346117182578050350e-03,1.321708152769313256e-02,-1.291336904484475731e-04,-9.427869354349343450e-03,-9.801828169005831981e+00,8.903453436207030336e+01,7.061508522330360582e-03,8.854023830315872409e-03,2.942709119726704629e-03,1.207854746182313380e-03,1.141181456855595898e-03
5.389999999999999680e+00,5.340766138951377684e+01,-2.959718477102053047e+00,9.999977188222110271e+02,1.003933397587385201e+02,-6.195442181400893228e-03,1.487908770485548045e-02,-1.453302362622785598e-04,-9.530604510236281857e-03,-9.801502380724418373e+00,8.903657727243138709e+01,7.989095453623197909e-03,9.080219743607191932e-03,2.793449544352136649e-03,1.529845662848639855e-03,2.031235596655139083e-03
5.589999999999999858e+00,5.340766443293779986e+01,-2.959416647166162928e+00,9.999975409302860498e+02,1.003930605189219563e+02,-5.734113861304025381e-03,1.415059741367381309e-02,-3.535737434106627115e-04,-9.511684427937615316e-03,-9.801760161116023440e+00,8.903675383223428241e+01,7.555710369866165677e-03,1.033058440522514713e-02,3.124601730403654080e-03,1.177073175779798104e-03,1.905680875308665700e-03
5.790000000000000036e+00,5.340766747495402456e+01,-2.959114817951241871e+00,9.999973571002483368e+02,1.003928145458313139e+02,-3.737944089893906544e-03,1.226804188723736554e-02,-1.864590641573772578e-04,-9.457240383150714719e-03,-9.801825986800491108e+00,8.903606245149262577e+01,6.464938440482334570e-03,9.855162773471868795e-03,2.594455624297513276e-03,5.557306177252147776e-04,1.384138064737770952e-03
5.990000000000000213e+00,5.340767051554416156e+01,-2.958812989380955827e+00,9.999971679924055934e+02,1.003925865138070606e+02,2.177254028315639433e-04,1.307668320462388248e-02,-1.903630003331987803e-04,-9.309046494986291179e-03,-9.801838636328579213e+00,8.903426632546074870e+01,6.912102770212835180e-03,1.243544191696348451e-02,3.600401521627994740e-03,7.313182280523434012e-04,4.076180240946228350e-04
6.189999999999999503e+00,5.340767355462958932e+01,-2.958511161514235877e+00,9.999969732733443379e+02,1.003922994966400211e+02,7.208976771921010804e-04,1.557020243575036114e-02,-2.622577007565052385e-04,-9.700606761234799660e-03,-9.801740492770525393e+00,8.903445907182212693e+01,8.316832658561666702e-03,1.236583323666449498e-02,3.259120032185649878e-03,1.318344800502137606e-03,4.946360255347021862e-04
6.389999999999999680e+00,5.340767659217989660e+01,-2.958209334445055738e+00,9.999967715516686440e+02,1.003920243986880081e+02,9.698589188247190920e-04,1.360860365268705408e-02,5.379974758376246391e-05,-9.529337153995235538e-03,-9.801810203798332566e+00,8.903481171615376866e+01,7.177800302041059503e-03,1.301421697276734096e-02,3.264115452721749570e-03,6.531564287456173568e-04,6.132900434204707285e-04
6.589999999999999858e+00,5.340767962815407088e+01,-2.957907508102467720e+00,9.999965632110834122e+02,1.003917685037096987e+02,4.548792644572100842e-03,1.297717369017342172e-02,-9.057555923255660411e-05,-9.441040642975080666e-03,-9.801679273545543580e+00,8.903326340589333654e+01,6.799872337794537341e-03,1.220531551511146867e-02,2.571687690136687833e-03,4.115300908719918553e-04,-1.939170892637957029e-04
6.790000000000000036e+00,5.340768266257610009e+01,-2.957605682461757812e+00,9.999963486297056079e+02,1.003915099085619289e+02,4.082855648150462806e-03,1.368603639569965225e-02,1.987889772406264011e-04,-9.863470750007121562e-03,-9.801742665935504917e+00,8.903401754477678764e+01,7.183803157973887334e-03,1.256758204000246043e-02,2.509155051655595492e-03,5.495781443223444421e-04,2.349343322176808120e-04
6.990000000000000213e+00,5.340768569546190747e+01,-2.957303857541123016e+00,9.999961268417537212e+02,1.003912515279341022e+02,7.380436436378133049e-03,1.301772016538533562e-02,-7.043190415068479975e-05,-9.653403082447565772e-03,-9.801576894720559707e+00,8.903261522477441758e+01,6.785012079756155660e-03,1.144089928412044335e-02,1.744212821541301327e-03,3.084377850902667246e-04,-4.650482098255852076e-04
7.189999999999999503e+00,5.340768872683517543e+01,-2.957002033244207073e+00,9.999958987850695848e+02,1.003910629991850527e+02,9.157261473655123676e-03,8.242618562490875225e-03,-2.694894127816223946e-04,-9.647188819607105392e-03,-9.801762491400261013e+00,8.903208944682467063e+01,4.041847646014068082e-03,1.327780052432175895e-02,2.452930298857608233e-03,-1.014274256540975650e-03,-6.716862309509567157e-04
7.389999999999999680e+00,5.340769175661151280e+01,-2.956700209335996199e+00,9.999956641616299748e+02,1.003909317447472347e+02,1.023796705507831577e-02,8.086741006082864835e-03,-1.387265492407400600e-04,-9.449348853522410510e-03,-9.801589005741856653e+00,8.903198518569379871e+01,3.933835609477565748e-03,1.201349902390986754e-02,1.581618508171959937e-03,-9.339738793045526156e-04,-6.614843275542347644e-04
