# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191241371122e+01,-2.967566248499152071e+00,9.999999984735623002e+02,1.003981290927656858e+02,1.929846626321662754e-03,6.743315728369584858e-03,-1.911078137442479951e-04,-9.322423384034463772e-03,-9.801432473497715847e+00,8.902525352656464008e+01,3.832251259481137592e-03,7.838072368051376450e-04,-6.998644156221049684e-02,1.247584870105539478e-01,1.665988954112138098e-01
3.900000000000000133e-01,5.340758497732827692e+01,-2.967264405122204796e+00,9.999999907650053501e+02,1.003979816931886972e+02,-4.765306969617744462e-04,7.154336273680576321e-03,8.706372673660507460e-06,-9.827730983828221814e-03,-9.801325440352220753e+00,8.902685689332753327e+01,4.047403237004592799e-03,-3.185458256021786623e-03,4.636924956547247567e-02,-1.250416215550921306e-01,1.566199744647023551e-01
5.919999999999999707e-01,5.340758807223439675e+01,-2.966959543787135445e+00,9.999999763648957014e+02,1.003977862300405945e+02,6.158747065324431526e-05,8.383042133587729691e-03,-6.685909655071171215e-04,-9.535763250664082424e-03,-9.802210936936896601e+00,8.902674653930662885e+01,4.731534940804380494e-03,-2.865545624466383275e-03,-2.682868318563698673e-01,1.934234019170035651e-02,-1.412106520673606924e-01
7.900000000000000355e-01,5.340759110526244058e+01,-2.966660719849499639e+00,9.999999564308673143e+02,1.003975883239265556e+02,4.193772026818542845e-04,1.137792503555905450e-02,5.562999856287495774e-05,-9.763287359504005392e-03,-9.802098529684659667e+00,8.902671389007916503e+01,6.424532130595727100e-03,-4.894090406007719010e-03,6.341027009129567016e-02,-4.809195858644961519e-02,-1.743653550042038314e-01
9.899999999999999911e-01,5.340759416842223573e+01,-2.966358878063811932e+00,9.999999308427795768e+02,1.003973952031101646e+02,1.318734544822293625e-03,8.969147498417925218e-03,-2.292352286642672051e-04,-9.569025445452513517e-03,-9.801474859015055330e+00,8.902635192836524425e+01,5.034441235126418945e-03,-5.626299696906198952e-03,-5.607520326468681121e-02,-9.333486285164031837e-02,7.078746932529970948e-02
1.191999999999999948e+00,5.340759726173515531e+01,-2.966054018387121793e+00,9.999998990446329117e+02,1.003972140535851594e+02,-7.220123614482988747e-04,7.735831304889122066e-03,-1.447003450035249013e-04,-9.749308157575098735e-03,-9.801030658958898911e+00,8.902766323187765352e+01,4.312163653000358580e-03,-5.929807351983857472e-03,-1.609129693186909030e-02,-1.653613917786842802e-01,1.439429681143853113e-01
1.389999999999999902e+00,5.340760029333996073e+01,-2.965755196027564100e+00,9.999998618289828300e+02,1.003970251528492099e+02,-1.621720440871283163e-03,1.069825470397945191e-02,5.527604698605761329e-05,-9.576374026536814757e-03,-9.800776580308218300e+00,8.902832063304181531e+01,5.985618673839246395e-03,-4.535819299912468953e-03,6.126429835155038778e-02,-2.866632424507180310e-02,3.400277567186223981e-01
1.590000000000000080e+00,5.340760335507542322e+01,-2.965453355887707421e+00,9.999998173331841826e+02,1.003967871067142994e+02,-4.975616531449318126e-03,1.091020463401704173e-02,2.213946636712268903e-04,-9.940469646456381869e-03,-9.801992477337980958e+00,8.903039527554444987e+01,6.086987717204289314e-03,-4.344549908414845583e-03,1.388350569901681819e-01,-1.050738089927528429e-01,-4.807818294791143393e-02
1.790000000000000036e+00,5.340760641628080663e+01,-2.965151516398974341e+00,9.999997666738927364e+02,1.003965637718783768e+02,-4.191169127558713389e-03,1.142942737672670434e-02,-4.392690308724680462e-04,-9.785608383532977406e-03,-9.801689514723381791e+00,8.903011673387901226e+01,6.366488376671530780e-03,-5.328683054319327539e-03,-1.546539083566693396e-01,-1.016497830915568806e-01,1.054662507564571236e-02
1.989999999999999991e+00,5.340760947699144623e+01,-2.964849677540409623e+00,9.999997100997716188e+02,1.003963553158824880e+02,-5.044349455460093307e-03,1.069793264932034256e-02,-6.828308915785701071e-05,-8.971029857015595799e-03,-9.801672876932347123e+00,8.903075317816694678e+01,5.931132439687803078e-03,-4.902387614065670945e-03,-2.678556799576819331e-02,2.966984927298106922e-01,1.111264810048724072e-01
2.189999999999999947e+00,5.340761253721372981e+01,-2.964547839294104037e+00,9.999996466981247067e+02,1.003961314645339655e+02,-9.449025153417826839e-03,9.574303836895311018e-03,5.056488696337065524e-05,-8.985125619906882827e-03,-9.801774985458145295e+00,8.903341265652532854e+01,5.269142775348744506e-03,-5.496657900434623843e-03,3.185082869089951585e-02,2.568036309089401503e-01,5.483083306830761200e-02
