# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.012018854539455077e+02,6.196828254442570055e-15,0.000000000000000000e+00,-3.149743987065420374e-07,-3.585312554585909322e-26,-9.760849034449490702e+00,8.999999999999998579e+01,-1.845449660150130537e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.100799477977486195e-03,-8.240178542724818705e-27
9.500000000000000000e+00,4.063836029072364366e-22,8.635210164083209627e-03,9.999999864790588617e+02,1.012018853264116274e+02,-1.627450441788536336e-14,2.973362341900983718e-10,-3.005798349507640850e-07,2.195242897825760581e-25,-9.760849034430897575e+00,9.000000000000000000e+01,-1.720840916960894805e-06,0.000000000000000000e+00,1.475334726075226933e-19,-1.375534982467308090e-05,3.143245824337102344e-26
1.950000000000000000e+01,4.063836027414205452e-22,1.772490506192302487e-02,9.999999721776694059e+02,1.012018851924784713e+02,-1.627450441686709539e-14,1.261249855801250814e-09,-2.860419432576787447e-07,1.128030368059268082e-24,-9.760790826705235901e+00,9.000000000000000000e+01,-1.755539547202664021e-06,0.000000000000000000e+00,1.475334725981690294e-19,-4.670984546897764096e-05,3.166004582512495101e-26
2.950000000000000000e+01,4.063836025758885592e-22,2.681459994775167374e-02,9.999999578846618533e+02,1.012018850586102445e+02,-1.627450441585886489e-14,2.887421964113239128e-09,-3.519931700466055282e-07,-2.201314205752743378e-24,-9.761023657243562468e+00,9.000000000000000000e+01,-1.691834436377009733e-06,0.000000000000000000e+00,1.475334725888302432e-19,8.510792698505669147e-05,3.055678830937623652e-26
3.950000000000000000e+01,4.063836024101762993e-22,3.590429482157356939e-02,9.999999436214566231e+02,1.012018849243920187e+02,-1.627450441486426275e-14,5.178683507998942017e-09,-2.185231141373557038e-07,5.314145176048992815e-24,-9.760907241881783492e+00,9.000000000000000000e+01,-1.694725382471397988e-06,0.000000000000000000e+00,1.475334725798072133e-19,1.919898712055834652e-05,3.118325056818397381e-26
4.950000000000000000e+01,4.063836022445726082e-22,4.499398968339109878e-02,9.999999294094741344e+02,1.012018847909059360e+02,-1.627450441383067511e-14,8.135331388386122294e-09,-2.083381414504644607e-07,5.977233100692962833e-24,-9.760849034055576467e+00,9.000000000000000000e+01,-1.731485113924505290e-06,0.000000000000000000e+00,1.475334725703101157e-19,-1.375556542257794603e-05,3.140569337991274009e-26
5.950000000000000000e+01,4.063836020788067458e-22,5.408368453319065128e-02,9.999999152068048716e+02,1.012018846565711954e+02,-1.627450441283942405e-14,1.175604658255585390e-08,-3.466259974870290807e-07,-2.439803905244862484e-24,-9.760907241411107549e+00,9.000000000000000000e+01,-1.703479922843219909e-06,0.000000000000000000e+00,1.475334725610295408e-19,1.919871909744001902e-05,3.116123726454838007e-26
6.950000000000000000e+01,4.063836019135228361e-22,6.317337937099723466e-02,9.999999008793383837e+02,1.012018845232334172e+02,-1.627450441181471266e-14,1.603478431214001374e-08,-1.464077480739361119e-07,8.511043051742637435e-24,-9.760732618115683934e+00,9.000000000000000000e+01,-1.676851326716946715e-06,0.000000000000000000e+00,1.475334725518005567e-19,-7.966483334713216080e-05,3.218073693368060105e-26
7.950000000000000000e+01,4.063836017482775767e-22,7.226307419683362931e-02,9.999998864252120256e+02,1.012018843900048779e+02,-1.627450441078294255e-14,2.098549908257079256e-08,2.458443613534974747e-10,1.894686199433866352e-23,-9.760907241132006362e+00,9.000000000000000000e+01,-1.717730996037797234e-06,0.000000000000000000e+00,1.475334725425023114e-19,1.919855955696399434e-05,3.112529966769873049e-26
8.950000000000000000e+01,4.063836015831815581e-22,8.135276901070087607e-02,9.999998719329014421e+02,1.012018842556780100e+02,-1.627450440982733223e-14,2.661979252596266942e-08,-4.573007683955914702e-07,-1.103166815890050846e-23,-9.760907240136768692e+00,9.000000000000000000e+01,-1.507783777402950628e-06,0.000000000000000000e+00,1.475334725331633808e-19,1.919799526391371912e-05,3.156822923526810187e-26
9.950000000000000000e+01,4.063836014181694227e-22,9.044246381261436540e-02,9.999998573604971170e+02,1.012018841228905757e+02,-1.627450440878263111e-14,3.291320931424000079e-08,-2.542613958783354532e-07,2.898344234060804049e-24,-9.760849032345134901e+00,9.000000000000000000e+01,-1.706340462834853143e-06,0.000000000000000000e+00,1.475334725238151816e-19,-1.375653769662892945e-05,3.147241534655076507e-26
1.095000000000000000e+02,4.063836012535589302e-22,9.953215860258235459e-02,9.999998428411781788e+02,1.012018839901164853e+02,-1.627450440775824474e-14,3.988064907992246427e-08,-3.252572403344814350e-07,-6.161494723636871155e-25,-9.760965447306857001e+00,9.000000000000000000e+01,-1.720442380737088782e-06,0.000000000000000000e+00,1.475334725143363082e-19,5.215217411101476122e-05,3.080294016822187446e-26
1.195000000000000000e+02,4.063836010893775872e-22,1.086218533806597025e-01,9.999998280024155974e+02,1.012018838574007873e+02,-1.627450440675321701e-14,4.751647846997054006e-08,-6.213999600438737717e-08,1.429171245922688891e-23,-9.761023655081288553e+00,9.000000000000000000e+01,-1.572291100452582488e-06,0.000000000000000000e+00,1.475334725053708635e-19,8.510669579829663236e-05,3.086817558768495283e-26
1.295000000000000000e+02,4.063836009253051420e-22,1.177115481468551522e-01,9.999998127361759543e+02,1.012018837242386553e+02,-1.627450440578093017e-14,5.584605662433078064e-08,-5.359253030074586713e-07,-1.520572482797409532e-23,-9.760907238644199069e+00,9.000000000000000000e+01,-1.578474200531097507e-06,0.000000000000000000e+00,1.475334724959120679e-19,1.919714716525837243e-05,3.142777345872487503e-26
1.395000000000000000e+02,4.063836007617469991e-22,1.268012429011703968e-01,9.999997973935678601e+02,1.012018835924779978e+02,-1.627450440475195894e-14,6.486516390825177822e-08,-3.547777909218715190e-07,-3.193520341132457945e-24,-9.760674407320935941e+00,9.000000000000000000e+01,-1.811724503650591186e-06,0.000000000000000000e+00,1.475334724866932431e-19,-1.126210712204008788e-04,3.215417839750445997e-26
1.495000000000000000e+02,4.063836005984480292e-22,1.358909376436824579e-01,9.999997820165008307e+02,1.012018834613500218e+02,-1.627450440369568681e-14,7.458412067325787792e-08,4.580608143283154247e-08,2.228615512759972857e-23,-9.760907238969798172e+00,9.000000000000000000e+01,-1.782340936503671749e-06,0.000000000000000000e+00,1.475334724774731183e-19,1.919733002000777072e-05,3.101220767062758980e-26
