# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.012018854539455077e+02,6.196828254442570055e-15,0.000000000000000000e+00,-3.149743987065420374e-07,-3.585312554585909322e-26,-9.760849034449490702e+00,8.999999999999998579e+01,-1.845449660150130537e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.100799477977486195e-03,-8.240178542724818705e-27
9.500000000000000000e+00,4.063836029069089439e-22,8.635210164080850404e-03,9.999999914150685072e+02,1.012018853264115990e+02,-1.627450441788444197e-14,2.461633267669642165e-10,-3.005798349458375825e-07,5.424836933097216784e-25,-9.760849034430897575e+00,9.000000000000000000e+01,-1.720840916960894805e-06,0.000000000000000000e+00,1.475334726074050190e-19,-1.375534982537678571e-05,3.126414207188579397e-26
1.950000000000000000e+01,4.063836027404060936e-22,1.772490506190609397e-02,9.999999880241230130e+02,1.012018851924781870e+02,-1.627450441686721530e-14,8.982601029821624930e-10,-2.860419432418635808e-07,1.128030368680827985e-24,-9.760790826705235901e+00,9.000000000000000000e+01,-1.755539547202664021e-06,0.000000000000000000e+00,1.475334725978002619e-19,-4.670984547123822959e-05,3.166004582502953967e-26
2.950000000000000000e+01,4.063836025740055113e-22,2.681459994770252556e-02,9.999999869503080845e+02,1.012018850586087808e+02,-1.627450441585790564e-14,1.832569105721582379e-09,-3.519931700175964497e-07,-2.201314204612636550e-24,-9.761023657243562468e+00,9.000000000000000000e+01,-1.691834512710322132e-06,0.000000000000000000e+00,1.475334725881431196e-19,8.510792698090181190e-05,3.055678845348624197e-26
3.950000000000000000e+01,4.063836024074107843e-22,3.590429482147266399e-02,9.999999867705628276e+02,1.012018849243880396e+02,-1.627450441486460670e-14,3.008497972550973679e-09,-2.185231140942910135e-07,5.314145177741501173e-24,-9.760907241881783492e+00,9.000000000000000000e+01,-1.694725484249147712e-06,0.000000000000000000e+00,1.475334725788030575e-19,1.919898711437427756e-05,3.118325076030406137e-26
4.950000000000000000e+01,4.063836022408788288e-22,4.499398968321847297e-02,9.999999868059530854e+02,1.012018847908974379e+02,-1.627450441383048894e-14,4.411383574059439419e-09,-2.083381413931795166e-07,5.977233102944346021e-24,-9.760849034055576467e+00,9.000000000000000000e+01,-1.731485368368879812e-06,0.000000000000000000e+00,1.475334725689686814e-19,-1.375556543083275136e-05,3.140569386051392685e-26
5.950000000000000000e+01,4.063836020741776961e-22,5.408368453292610595e-02,9.999999869940802455e+02,1.012018846565557624e+02,-1.627450441283899175e-14,6.036567155117786190e-09,-3.466259974153827459e-07,-2.439803902429049520e-24,-9.760907241411107549e+00,9.000000000000000000e+01,-1.703480253620906619e-06,0.000000000000000000e+00,1.475334725593498650e-19,1.919871908707234930e-05,3.116123788934705706e-26
6.950000000000000000e+01,4.063836019079714465e-22,6.317337937061805186e-02,9.999999871952459216e+02,1.012018845232073403e+02,-1.627450441181544473e-14,7.873718001753905136e-09,-1.464077479877894730e-07,8.511043055128319774e-24,-9.760732618115683934e+00,9.000000000000000000e+01,-1.676851759272383361e-06,0.000000000000000000e+00,1.475334725497922932e-19,-7.966483335966548370e-05,3.218073775076324603e-26
7.950000000000000000e+01,4.063836017418000386e-22,7.226307419631694540e-02,9.999999875612556934e+02,1.012018843899647607e+02,-1.627450441078587712e-14,9.932088154004182828e-09,2.458444622902845133e-10,1.894686199830562781e-23,-9.760907241132006362e+00,9.000000000000000000e+01,-1.717731504926546279e-06,0.000000000000000000e+00,1.475334725401680120e-19,1.919855954219277990e-05,3.112530062898679800e-26
8.950000000000000000e+01,4.063836015757707715e-22,8.135276901002379268e-02,9.999999878108501434e+02,1.012018842556185376e+02,-1.627450440983213482e-14,1.221971656539238963e-08,-4.573007682799423562e-07,-1.103166815435531996e-23,-9.760907240136768692e+00,9.000000000000000000e+01,-1.507784311736137210e-06,0.000000000000000000e+00,1.475334725305017215e-19,1.919799524686812973e-05,3.156823024455223510e-26
