# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.002471372438170363e+02,6.138366787466294910e-15,4.235164736271501695e-22,-3.179679358580556066e-07,-3.541804360235609085e-26,-9.761046484802475831e+00,8.999999999999998579e+01,-1.863025621004006966e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.076319143743638664e-03,-8.318657549019738896e-27
1.900000000000000022e-01,4.025497415126513008e-22,1.710748955141597704e-04,9.999999996991828084e+02,1.002471372439824648e+02,-1.612096919668372409e-14,-1.840647779356165917e-13,-3.157446824060299918e-07,-4.033818225992346944e-26,-9.761046484802497147e+00,9.000000000000000000e+01,-1.787267615705258869e-06,0.000000000000000000e+00,1.461416278073628720e-19,2.149691071948835556e-06,3.083283782164571767e-26
3.900000000000000133e-01,4.025497415125740944e-22,3.511537328978621810e-04,9.999999993778765202e+02,1.002471372442422819e+02,-1.612096919666380377e-14,-3.517410010479805286e-13,-2.994639594858155062e-07,-5.825913433590128673e-26,-9.761104692463401733e+00,9.000000000000000000e+01,-1.823086055639277879e-06,0.000000000000000000e+00,1.461416278071906698e-19,3.541800572102962610e-05,3.116595655925396320e-26
5.919999999999999707e-01,4.025497415124398059e-22,5.330333586557745983e-04,9.999999990565702319e+02,1.002471372444333895e+02,-1.612096919664354898e-14,-2.572121927440693383e-13,-3.259984723164870813e-07,3.479904993856805210e-26,-9.760930069480650673e+00,9.000000000000000000e+01,-1.987678335516517638e-06,0.000000000000000000e+00,1.461416278070174084e-19,-6.438693827772786892e-05,3.125527525035858632e-26
7.900000000000000355e-01,4.025497415123308611e-22,7.113114076663846520e-04,9.999999987455084920e+02,1.002471372446143221e+02,-1.612096919662395998e-14,1.049142813877785348e-13,-3.077640552787470980e-07,7.157230667780382384e-27,-9.761119244378607007e+00,9.000000000000000000e+01,-1.745015397094950775e-06,0.000000000000000000e+00,1.461416278068477580e-19,4.373508434655038135e-05,3.071916413510359703e-26
9.899999999999999911e-01,4.025497415122200825e-22,8.913902450512238215e-04,9.999999984288588166e+02,1.002471372448446800e+02,-1.612096919660365786e-14,9.640239038020601524e-13,-3.059209824507539739e-07,-2.651424014566249826e-26,-9.761046484802397671e+00,9.000000000000000000e+01,-1.830736052981321146e-06,0.000000000000000000e+00,1.461416278066715836e-19,2.149690975374623526e-06,3.116760991632189532e-26
1.191999999999999948e+00,4.025497415121303217e-22,1.073269870810325500e-03,9.999999981103464961e+02,1.002471372450639393e+02,-1.612096919658380381e-14,1.714991073094052640e-12,-3.120801833393388172e-07,-7.486572863875523663e-26,-9.761046484802323064e+00,9.000000000000000000e+01,-1.828986722462078802e-06,0.000000000000000000e+00,1.461416278064993814e-19,2.149690920223914036e-06,3.102352505988066021e-26
1.389999999999999902e+00,4.025497415119747333e-22,1.251547919822082206e-03,9.999999977899715304e+02,1.002471372452290979e+02,-1.612096919656357742e-14,2.740089312199445355e-12,-3.153663920863597063e-07,-1.648547481295489290e-25,-9.761075588632689204e+00,9.000000000000000000e+01,-1.802567788500407527e-06,0.000000000000000000e+00,1.461416278063230143e-19,1.878384818483248169e-05,3.084845820812996090e-26
1.590000000000000080e+00,4.025497415118315581e-22,1.431626757208006662e-03,9.999999974649399519e+02,1.002471372454165390e+02,-1.612096919654342675e-14,3.924952443491166532e-12,-3.013847391150542336e-07,-1.599830055037549564e-26,-9.761046484802177403e+00,9.000000000000000000e+01,-1.771849507942521339e-06,0.000000000000000000e+00,1.461416278061515825e-19,2.149690811495689774e-06,3.117351318951144103e-26
1.790000000000000036e+00,4.025497415117067676e-22,1.611705594594277846e-03,9.999999971576035023e+02,1.002471372456205927e+02,-1.612096919652329818e-14,5.325660500350926562e-12,-3.078868243615599372e-07,-4.048745960193943547e-26,-9.761046484802049505e+00,9.000000000000000000e+01,-1.840936168178086919e-06,0.000000000000000000e+00,1.461416278059769729e-19,2.149690732337266692e-06,3.114159491050004423e-26
1.989999999999999991e+00,4.025497415116037473e-22,1.791784431980937174e-03,9.999999968502670527e+02,1.002471372458238363e+02,-1.612096919650404682e-14,7.059548988612505786e-12,-3.003737721219553342e-07,1.240220392652892311e-25,-9.761046484802001544e+00,9.000000000000000000e+01,-1.810217811286888332e-06,0.000000000000000000e+00,1.461416278058137262e-19,2.149690690933565240e-06,3.121994677690453982e-26
2.189999999999999947e+00,4.025497415114794740e-22,1.971863269367978358e-03,9.999999965261667967e+02,1.002471372460088332e+02,-1.612096919648371314e-14,8.751598390747093725e-12,-3.095334455849880015e-07,-9.985480242123095115e-26,-9.761046484801767065e+00,9.000000000000000000e+01,-1.746231284983018038e-06,0.000000000000000000e+00,1.461416278056340610e-19,2.149690543659168701e-06,3.093751238768441015e-26
2.389999999999999680e+00,4.025497415113361107e-22,2.151942106755390122e-03,9.999999962020665407e+02,1.002471372461916559e+02,-1.612096919646370447e-14,1.102244279151530395e-11,-3.095846173535246220e-07,-7.035696250043771975e-26,-9.761082864589715413e+00,9.000000000000000000e+01,-1.773732421758385267e-06,0.000000000000000000e+00,1.461416278054619070e-19,2.294238712471611153e-05,3.090079430123924290e-26
2.589999999999999858e+00,4.025497415112347361e-22,2.332020944143129316e-03,9.999999958910048008e+02,1.002471372463961785e+02,-1.612096919644456039e-14,1.305983846609950040e-11,-3.017145126624173804e-07,9.851770156914150612e-27,-9.761082864589591068e+00,9.000000000000000000e+01,-1.743014268422686341e-06,0.000000000000000000e+00,1.461416278052981066e-19,2.294238704187842381e-05,3.098819569714771727e-26
2.789999999999999591e+00,4.025497415111330323e-22,2.512099781531252317e-03,9.999999955603852868e+02,1.002471372466627457e+02,-1.612096919642301818e-14,1.519118332603586782e-11,-3.164568256223303925e-07,2.991613218544842092e-25,-9.760941711011826172e+00,9.000000000000000000e+01,-2.006720774394313703e-06,0.000000000000000000e+00,1.461416278051170933e-19,-5.773327604228965744e-05,3.132131391973166376e-26
2.989999999999999769e+00,4.025497415109893869e-22,2.692178618919785580e-03,9.999999952465295792e+02,1.002471372467993262e+02,-1.612096919640408236e-14,1.780103757023900816e-11,-2.865508218168009603e-07,2.096055837817180614e-25,-9.761087230163880690e+00,9.000000000000000000e+01,-1.676587722344946864e-06,0.000000000000000000e+00,1.461416278049520652e-19,2.543751046040248402e-05,3.114489941950748204e-26
3.189999999999999947e+00,4.025497415109394049e-22,2.872257456308688773e-03,9.999999949261546135e+02,1.002471372470885598e+02,-1.612096919638384019e-14,2.084312552002266978e-11,-3.115724976528114509e-07,-8.007220627115100167e-26,-9.761075588631308975e+00,9.000000000000000000e+01,-1.925323230208738354e-06,0.000000000000000000e+00,1.461416278047722555e-19,1.878384730289731823e-05,3.113859323434840089e-26
3.389999999999999680e+00,4.025497415107763403e-22,3.052336293697964498e-03,9.999999946095049381e+02,1.002471372472379585e+02,-1.612096919636369584e-14,2.372334217269863915e-11,-3.139574064525832038e-07,-2.757684298341472710e-26,-9.761046484800644407e+00,9.000000000000000000e+01,-1.861336805682617785e-06,0.000000000000000000e+00,1.461416278045989700e-19,2.149689838453089063e-06,3.102008735066222014e-26
