# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.002471372438170363e+02,6.138366787466294910e-15,4.235164736271501695e-22,-3.179679358580556066e-07,-3.541804360235609085e-26,-9.761046484802475831e+00,8.999999999999998579e+01,-1.863025621004006966e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.076319143743638664e-03,-8.318657549019738896e-27
1.900000000000000022e-01,0.000000000000000000e+00,1.710748955140005282e-04,9.999999999930150807e+02,1.002471372438172068e+02,6.138366787466304376e-15,0.000000000000000000e+00,-3.164783490380817332e-07,-4.038617214230311240e-26,-9.761046484802490042e+00,8.999999999999998579e+01,-1.853804093026412249e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.076319143747982411e-03,-8.277482198310943115e-27
3.900000000000000133e-01,0.000000000000000000e+00,3.511537328971590759e-04,9.999999999850988388e+02,1.002471372438165673e+02,6.138366787466265722e-15,0.000000000000000000e+00,-3.115518481700530218e-07,-5.904980900171654779e-26,-9.761104692463403509e+00,8.999999999999998579e+01,-1.823085656012955389e-06,-1.895758319773387158e-22,2.558332872076199750e-19,-5.043050829100878540e-03,-8.140320285412304798e-27
5.919999999999999707e-01,0.000000000000000000e+00,5.330333586541493793e-04,9.999999999785795808e+02,1.002471372438132420e+02,6.138366787466062196e-15,4.235164736271501695e-22,-3.040241090859646540e-07,3.623642967189282030e-26,-9.760930069480652449e+00,8.999999999999998579e+01,-1.788067840430164725e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.142855773101368509e-03,-7.983961074533080609e-27
7.900000000000000355e-01,0.000000000000000000e+00,7.113114076634761713e-04,9.999999999711290002e+02,1.002471372438143220e+02,6.138366787466126882e-15,4.701977403289150032e-38,-3.226905184317096242e-07,6.180884827418994103e-27,-9.761119244378599902e+00,8.999999999999998579e+01,-1.896806506316358846e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.034733750479176637e-03,-8.469493701484847513e-27
9.899999999999999911e-01,0.000000000000000000e+00,8.913902450466345022e-04,9.999999999636784196e+02,1.002471372438163115e+02,6.138366787466249945e-15,0.000000000000000000e+00,-3.066546490815573475e-07,-2.656222997870195970e-26,-9.761046484802397671e+00,8.999999999999998579e+01,-1.797467002326784350e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.076319143852170770e-03,-8.025929584350802196e-27
1.191999999999999948e+00,0.000000000000000000e+00,1.073269870803624914e-03,9.999999999562278390e+02,1.002471372438137678e+02,6.138366787466094539e-15,0.000000000000000000e+00,-3.128138499698139655e-07,-7.491371845884984204e-26,-9.761046484802321288e+00,8.999999999999998579e+01,-1.828985837452300514e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.076319143909451340e-03,-8.166665381431190789e-27
1.389999999999999902e+00,0.000000000000000000e+00,1.251547919812951706e-03,9.999999999487772584e+02,1.002471372438231612e+02,6.138366787466668830e-15,4.235164736271501695e-22,-3.217771528438403797e-07,-1.652740803339899779e-25,-9.761075588632683875e+00,8.999999999999998579e+01,-1.871130128386518910e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.059684986646511944e-03,-8.354845253986612800e-27
1.590000000000000080e+00,0.000000000000000000e+00,1.431626757196110579e-03,9.999999999408610165e+02,1.002471372438129578e+02,6.138366787466044841e-15,4.235164736271501695e-22,-3.021184057448573142e-07,-1.604629034392933846e-26,-9.761046484802175627e+00,8.999999999999998579e+01,-1.770896591752827932e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.076319144021420801e-03,-7.907289162013250199e-27
1.790000000000000036e+00,0.000000000000000000e+00,1.611705594579269235e-03,9.999999999348074198e+02,1.002471372438184716e+02,6.138366787466382473e-15,2.117582368135750613e-22,-3.086204909910280164e-07,-4.053544938225295876e-26,-9.761046484802049505e+00,8.999999999999998579e+01,-1.807666682085621817e-06,1.895758319773386923e-22,2.558332872076199750e-19,-5.076319144102360396e-03,-8.071472513050681146e-27
1.989999999999999991e+00,0.000000000000000000e+00,1.791784431962428975e-03,9.999999999259598553e+02,1.002471372438076571e+02,6.138366787465720619e-15,2.117582368135750613e-22,-3.011074387511117582e-07,1.239740494972906871e-25,-9.761046484802003320e+00,8.999999999999998579e+01,-1.776948322920149507e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.076319144145592308e-03,-7.934310947753669007e-27
