# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.002471372438170363e+02,6.138366787466294910e-15,4.235164736271501695e-22,-3.179679358580556066e-07,-3.541804360235609085e-26,-9.761046484802475831e+00,8.999999999999998579e+01,-1.863025621004006966e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.076319143743638664e-03,-8.318657549019738896e-27
1.900000000000000022e-01,4.025497415126513008e-22,1.710748955141597704e-04,9.999999996991828084e+02,1.002471372439824648e+02,-1.612096919668372409e-14,-1.840647779356165917e-13,-3.157446824060299918e-07,-4.033818225992346944e-26,-9.761046484802497147e+00,9.000000000000000000e+01,-1.787267615705258869e-06,0.000000000000000000e+00,1.461416278073628720e-19,2.149691071948835556e-06,3.083283782164571767e-26
3.900000000000000133e-01,4.025497415125740944e-22,3.511537328978621810e-04,9.999999993778765202e+02,1.002471372442422819e+02,-1.612096919666380377e-14,-3.517481072308915185e-13,-2.994639594858155062e-07,-5.825913433590147040e-26,-9.761104692463401733e+00,9.000000000000000000e+01,-1.823086055639277879e-06,0.000000000000000000e+00,1.461416278071906698e-19,3.541800572102962610e-05,3.116595655925396320e-26
5.919999999999999707e-01,4.025497415124398059e-22,5.330333586557749236e-04,9.999999990565702319e+02,1.002471372444333895e+02,-1.612096919664354898e-14,-2.576491401956246263e-13,-3.259984723164870813e-07,3.479904993856805210e-26,-9.760930069480650673e+00,9.000000000000000000e+01,-1.987678335516517638e-06,0.000000000000000000e+00,1.461416278070174084e-19,-6.438693827772786892e-05,3.125527525035858632e-26
7.900000000000000355e-01,4.025497415123308611e-22,7.113114076663846520e-04,9.999999987455084920e+02,1.002471372446143221e+02,-1.612096919662395998e-14,1.043458977162154289e-13,-3.077640552787470980e-07,7.157230667780474220e-27,-9.761119244378607007e+00,9.000000000000000000e+01,-1.745015397094950775e-06,0.000000000000000000e+00,1.461416278068477580e-19,4.373508434655038135e-05,3.071916413510359703e-26
9.899999999999999911e-01,4.025497415122188130e-22,8.913902450512233878e-04,9.999999984288588166e+02,1.002471372448446800e+02,-1.612096919660358844e-14,9.634093390471797948e-13,-3.059209824507539739e-07,-2.651424014566263601e-26,-9.761046484802397671e+00,9.000000000000000000e+01,-1.830736052981321146e-06,0.000000000000000000e+00,1.461416278066709817e-19,2.149690975374623526e-06,3.116760991632179775e-26
1.191999999999999948e+00,4.025497415121288171e-22,1.073269870810323766e-03,9.999999981140717864e+02,1.002471372450639393e+02,-1.612096919658373439e-14,1.711104724148756985e-12,-3.120801833393353761e-07,-7.486572863861927417e-26,-9.761046484802323064e+00,9.000000000000000000e+01,-1.828986722462078802e-06,0.000000000000000000e+00,1.461416278064987073e-19,2.149690920223331701e-06,3.102352505988055116e-26
1.389999999999999902e+00,4.025497415119735108e-22,1.251547919822077869e-03,9.999999977899715304e+02,1.002471372452290979e+02,-1.612096919656350800e-14,2.734888564631654789e-12,-3.153663920863597063e-07,-1.648547481295489290e-25,-9.761075588632689204e+00,9.000000000000000000e+01,-1.802567788500407527e-06,0.000000000000000000e+00,1.461416278063223643e-19,1.878384818483248169e-05,3.084845820812988055e-26
1.590000000000000080e+00,4.025497415118298654e-22,1.431626757208003193e-03,9.999999974714592099e+02,1.002471372454165390e+02,-1.612096919654335733e-14,3.918206389343195954e-12,-3.013847391150479337e-07,-1.599830055012620819e-26,-9.761046484802177403e+00,9.000000000000000000e+01,-1.771849507942521339e-06,0.000000000000000000e+00,1.461416278061508121e-19,2.149690811494719074e-06,3.117351318951130902e-26
1.790000000000000036e+00,4.025497415117057802e-22,1.611705594594274376e-03,9.999999971715733409e+02,1.002471372456205927e+02,-1.612096919652329187e-14,5.312079578532883425e-12,-3.078868243615461200e-07,-4.048745960139553974e-26,-9.761046484802049505e+00,9.000000000000000000e+01,-1.840936168178086919e-06,0.000000000000000000e+00,1.461416278059766117e-19,2.149690732335325292e-06,3.114159491049995239e-26
1.989999999999999991e+00,4.025497415116027129e-22,1.791784431980933054e-03,9.999999968642368913e+02,1.002471372458238363e+02,-1.612096919650404051e-14,7.037545257564326506e-12,-3.003737721219415700e-07,1.240220392658330350e-25,-9.761046484802001544e+00,9.000000000000000000e+01,-1.810217811286888332e-06,0.000000000000000000e+00,1.461416278058133892e-19,2.149690690931429870e-06,3.121994677690444799e-26
2.189999999999999947e+00,4.025497415114776873e-22,1.971863269367973154e-03,9.999999965513125062e+02,1.002471372460088332e+02,-1.612096919648370683e-14,8.717196680378084140e-12,-3.095334455849627493e-07,-9.985480242023370949e-26,-9.761046484801767065e+00,9.000000000000000000e+01,-1.746231284983018038e-06,0.000000000000000000e+00,1.461416278056334110e-19,2.149690543655674267e-06,3.093751238768425518e-26
2.389999999999999680e+00,4.025497415113339949e-22,2.151942106755382750e-03,9.999999962337315083e+02,1.002471372461916559e+02,-1.612096919646369816e-14,1.096935529758415575e-11,-3.095846173534919053e-07,-7.035696249914600758e-26,-9.761082864589715413e+00,9.000000000000000000e+01,-1.773732421758385267e-06,0.000000000000000000e+00,1.461416278054610884e-19,2.294238712471145285e-05,3.090079430123904201e-26
2.589999999999999858e+00,4.025497415112321970e-22,2.332020944143127581e-03,9.999999959282577038e+02,1.002471372463961785e+02,-1.612096919644455408e-14,1.298434225222171753e-11,-3.017145126623800580e-07,9.851770158387237889e-27,-9.761082864589591068e+00,9.000000000000000000e+01,-1.743014268422686341e-06,0.000000000000000000e+00,1.461416278052972400e-19,2.294238704187298925e-05,3.098819569714748768e-26
2.789999999999999591e+00,4.025497415111296469e-22,2.512099781531248847e-03,9.999999956125393510e+02,1.002471372466627457e+02,-1.612096919642301187e-14,1.508651456265356510e-11,-3.164568256222781941e-07,2.991613218565464671e-25,-9.760941711011826172e+00,9.000000000000000000e+01,-2.006720774394313703e-06,0.000000000000000000e+00,1.461416278051158174e-19,-5.773327604229703679e-05,3.132131391973135381e-26
2.989999999999999769e+00,4.025497415109852022e-22,2.692178618919776473e-03,9.999999953098595142e+02,1.002471372467993262e+02,-1.612096919640407605e-14,1.766015178672063375e-11,-2.865508218167383857e-07,2.096055837841883904e-25,-9.761087230163880690e+00,9.000000000000000000e+01,-1.676587722344946864e-06,0.000000000000000000e+00,1.461416278049505485e-19,2.543751046039374942e-05,3.114489941950710322e-26
3.189999999999999947e+00,4.025497415109345149e-22,2.872257456308675329e-03,9.999999950006604195e+02,1.002471372470885598e+02,-1.612096919638383388e-14,2.065899956767353659e-11,-3.115724976527368590e-07,-8.007220626820491895e-26,-9.761075588631308975e+00,9.000000000000000000e+01,-1.925323230208738354e-06,0.000000000000000000e+00,1.461416278047704981e-19,1.878384730288683535e-05,3.113859323434795319e-26
3.389999999999999680e+00,4.025497415107713562e-22,3.052336293697947150e-03,9.999999946858733892e+02,1.002471372472379585e+02,-1.612096919636368953e-14,2.349218916160563460e-11,-3.139574064525068650e-07,-2.757684298040057132e-26,-9.761046484800644407e+00,9.000000000000000000e+01,-1.861336805682617785e-06,0.000000000000000000e+00,1.461416278045971163e-19,2.149689838442218242e-06,3.102008735066176096e-26
