# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+03,1.094143234617812226e+02,6.699695050417173004e-15,0.000000000000000000e+00,-3.121536579333843335e-07,-3.923761104933686277e-26,-9.759302067488516030e+00,8.999999999999998579e+01,-1.828857429348489707e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.214427191199898573e-03,-8.166092022143977262e-27
9.950000000000000000e+02,0.000000000000000000e+00,9.778178549660464514e-01,1.000000034764409065e+03,1.094143234681297798e+02,6.699695050805909458e-15,0.000000000000000000e+00,-1.190447541259249306e-06,-5.308714776576210742e-23,-9.759359980491550957e+00,8.999999999999998579e+01,-1.899037132233923569e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.184100477555622297e-03,-8.479453743321627526e-27
1.995000000000000000e+03,0.000000000000000000e+00,1.960549367494738293e+00,1.000000068603083491e+03,1.094143234779767653e+02,6.699695051408863458e-15,4.235164736271501695e-22,-5.239207212374591923e-06,-3.013569420485902723e-22,-9.759359034619890849e+00,8.999999999999998579e+01,-1.865022972305215658e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.184595736246635882e-03,-8.327575988622779989e-27
2.995000000000000000e+03,0.000000000000000000e+00,2.943280880023479096e+00,1.000000100342556834e+03,1.094143234841465215e+02,6.699695051786651312e-15,-8.470329472543003391e-22,-2.798358408578187305e-06,-1.502960648585908709e-22,-9.759415895981149447e+00,8.999999999999998579e+01,-2.018607675064551142e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.154819728915753865e-03,-9.013352143614346800e-27
3.995000000000000000e+03,0.000000000000000000e+00,3.926012392555549013e+00,1.000000128800980747e+03,1.094143234360918058e+02,6.699695048844149649e-15,-4.235164736271501695e-22,4.168229161270971316e-06,2.747143407301998751e-22,-9.759356064417477938e+00,8.999999999999998579e+01,-1.868085954331828156e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.186151014995534284e-03,-8.341252611354604399e-27
4.995000000000640284e+03,0.000000000000000000e+00,4.908743905089150594e+00,1.000000152842141688e+03,1.094143234753486666e+02,6.699695051247938989e-15,3.255496245066169620e-35,4.095893392783554386e-06,2.716945259266141483e-22,-9.759528850470628569e+00,8.999999999999998579e+01,-2.003188503199473773e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.095670025789750604e-03,-8.944503487434335173e-27
5.995000000004278263e+03,0.000000000000000000e+00,5.891475417632649147e+00,1.000000171516090631e+03,1.094143234871951478e+02,6.699695051973325779e-15,0.000000000000000000e+00,-1.055099656066086409e-05,-6.244562305931592779e-22,-9.759466056188660588e+00,8.999999999999998579e+01,-2.071522438615884710e-06,-1.895758319773387158e-22,2.558332872076199750e-19,-5.128552776993123251e-03,-9.249623611010311839e-27
6.995000000007916242e+03,0.000000000000000000e+00,6.874206930185941644e+00,1.000000183719210327e+03,1.094143234922443071e+02,6.699695052282497723e-15,0.000000000000000000e+00,-8.048746491676537809e-06,-4.717377347408989375e-22,-9.759521324879193216e+00,8.999999999999998579e+01,-2.023559774702526132e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.099610817469543526e-03,-9.035463928107539904e-27
7.995000000011554221e+03,0.000000000000000000e+00,7.856938442750608154e+00,1.000000188209116459e+03,1.094143234693541586e+02,6.699695050880881221e-15,4.235164736165490443e-22,-5.178191666707408754e-06,-2.971193113908938258e-22,-9.759400161380684224e+00,8.999999999999998579e+01,-1.913098813565057989e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.163059151149188876e-03,-8.542241023452595085e-27
8.995000000015192199e+03,0.000000000000000000e+00,8.839669955302106530e+00,1.000000183829106390e+03,1.094143234554972537e+02,6.699695050032389531e-15,1.832786130180852696e-32,1.795496893700280316e-06,1.313386614458374811e-22,-9.759453398750643771e+00,8.999999999999998579e+01,-2.051410770040717573e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.135180938880173733e-03,-9.159822331988696367e-27
9.995000000018830178e+03,0.000000000000000000e+00,9.822401467918018270e+00,1.000000170595943928e+03,1.094143234662720658e+02,6.699695050692157293e-15,-4.235164735989936474e-22,3.429582855003309014e-05,2.119039412432125935e-21,-9.759276462896236737e+00,8.999999999999998579e+01,-1.824156310970958055e-06,1.895758319773387158e-22,2.558332872076199750e-19,-5.227834985293430825e-03,-8.145100902408856847e-27
1.099500000002246816e+04,0.000000000000000000e+00,1.080513298053681837e+01,1.000000146404840052e+03,1.094143233887886595e+02,6.699695045947666186e-15,4.235164735870630380e-22,2.915308325755131528e-05,1.805459119283080537e-21,-9.759328857645341415e+00,8.999999999999998579e+01,-1.950901415213612369e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.200398056853107465e-03,-8.711034675043314013e-27
1.199500000002610614e+04,0.000000000000000000e+00,1.178786449318482354e+01,1.000000110730528831e+03,1.094143234713923505e+02,6.699695051005683749e-15,-8.470329471460611014e-22,2.459603011910905989e-05,1.527073697309307434e-21,-9.759440424684681759e+00,8.999999999999998579e+01,-2.013545149534657420e-06,-1.895758319773387158e-22,2.558332872076199750e-19,-5.141975039406796420e-03,-8.990747292805229307e-27
1.299500000002974411e+04,0.000000000000000000e+00,1.277059600580694543e+01,1.000000106016173959e+03,1.094143233939830111e+02,6.699695046265729381e-15,-4.235164735568960914e-22,-3.220893767092465390e-06,-1.782514607590875092e-22,-9.759308074278667533e+00,8.999999999999998579e+01,-1.818955861291533015e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.211281516928649091e-03,-8.121880201900865932e-27
1.399500000003338209e+04,0.000000000000000000e+00,1.375332751814541332e+01,1.000000216350890696e+03,1.094143233955416008e+02,6.699695046361165773e-15,-3.534496129947151130e-27,1.678181955677365977e-05,1.046627882253244420e-21,-9.759364639642024386e+00,8.999999999999998579e+01,-1.825312428172330862e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.181660384227603985e-03,-8.150263119705453431e-27
1.499500000003702007e+04,0.000000000000000000e+00,1.473605903045227450e+01,1.000000309833325446e+03,1.094143234424241626e+02,6.699695049231894505e-15,-4.235164735183214449e-22,2.075921375004059524e-05,1.290927768901495190e-21,-9.759417592411136155e+00,8.999999999999998579e+01,-1.897663501523851240e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.153931042482528396e-03,-8.473320299236327437e-27
1.599500000004065805e+04,0.000000000000000000e+00,1.571879054290105593e+01,1.000000390408560634e+03,1.094143234407114420e+02,6.699695049127020970e-15,0.000000000000000000e+00,2.245285026963971688e-07,3.277645895953372514e-23,-9.759282298919732312e+00,8.999999999999998579e+01,-1.824392407296136419e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.224778548159930008e-03,-8.146155103948331009e-27
1.699500000003318200e+04,0.000000000000000000e+00,1.670152205527558920e+01,1.000000451028347015e+03,1.094143233839003528e+02,6.699695045648344749e-15,0.000000000000000000e+00,1.927598646236683387e-05,1.199557786680485956e-21,-9.759342322777110112e+00,8.999999999999998579e+01,-1.845089276677014358e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.193346429822434315e-03,-8.238569382515005606e-27
1.799500000001863009e+04,0.000000000000000000e+00,1.768425356779479429e+01,1.000000497494824231e+03,1.094143235246903458e+02,6.699695054269244702e-15,0.000000000000000000e+00,3.265709905451534799e-06,2.211446400082063701e-22,-9.759449437452174081e+00,8.999999999999998579e+01,-2.030452390953908773e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.137254795036727377e-03,-9.066240377752479222e-27
1.899500000000407817e+04,0.000000000000000000e+00,1.866698508041258009e+01,1.000000527411699295e+03,1.094143233998030240e+02,6.699695046622102028e-15,4.235164736258294781e-22,-2.569137861488990120e-06,-1.367932171963704071e-22,-9.759560060031210682e+00,8.999999999999998579e+01,-1.967488917504492122e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.079326264241508342e-03,-8.785100082193778473e-27
1.999500000311225449e+04,0.000000000000000000e+00,1.964971659598434783e+01,1.000000531348399818e+03,1.094143234520112742e+02,6.699695049818934814e-15,-4.235164736271501695e-22,1.128252321537715329e-05,7.111054466440776382e-22,-9.759431016275252446e+00,8.999999999999998579e+01,-1.941471021962796707e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.146901158674000755e-03,-8.668926713069153595e-27
2.099500000331598130e+04,0.000000000000000000e+00,2.063244810888215497e+01,1.000000519641675055e+03,1.094143237164409044e+02,6.699695066010580206e-15,0.000000000000000000e+00,-1.137023804031641721e-04,-6.940925560823758722e-21,-9.759434734145459700e+00,8.999999999999998579e+01,-2.045764162363498875e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.144954263816448048e-03,-9.134609476593218409e-27
2.199500000351970812e+04,0.000000000000000000e+00,2.161517962194353260e+01,1.000000491173937917e+03,1.094143235358646109e+02,6.699695054953471096e-15,0.000000000000000000e+00,2.058001194816636663e-05,1.281405716459359979e-21,-9.759411166245175906e+00,8.999999999999998579e+01,-2.036629581733791586e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.157295860159309339e-03,-9.093822357373948030e-27
2.299500000372343493e+04,0.000000000000000000e+00,2.259791113438365073e+01,1.000000567421317101e+03,1.094143234146909833e+02,6.699695047533727834e-15,4.235164736271501695e-22,2.133705923758259484e-05,1.325164813088846059e-21,-9.759335638936676105e+00,8.999999999999998579e+01,-1.787823362627563849e-06,1.895758319773386923e-22,2.558332872076200231e-19,-5.196846291240880995e-03,-7.982869448580519885e-27
2.399500000392716174e+04,0.000000000000000000e+00,2.358064264692442791e+01,1.000000654736533761e+03,1.094143237877951265e+02,6.699695070379766005e-15,1.223896818531584033e-27,-1.451871082916651495e-04,-8.868253999837286507e-21,-9.759503113496254656e+00,8.999999999999998579e+01,-2.098973256081823925e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.109146587785350947e-03,-9.372195167388981006e-27
2.499500000413088856e+04,0.000000000000000000e+00,2.456337415963963622e+01,1.000000722702592611e+03,1.094143233634425627e+02,6.699695044395665974e-15,-1.354127101986331068e-27,3.962515161464144251e-05,2.446815490311844270e-21,-9.759443404901000818e+00,8.999999999999998579e+01,-1.963066561541371825e-06,1.895758319773387158e-22,2.558332872076199750e-19,-5.140413442372033896e-03,-8.765353673769598329e-27
2.599500000433461537e+04,0.000000000000000000e+00,2.554610567224846562e+01,1.000000756149180233e+03,1.094143233973258589e+02,6.699695046470419853e-15,0.000000000000000000e+00,1.747837692241359703e-05,1.089819308675355785e-21,-9.759354191789174848e+00,8.999999999999998579e+01,-1.877048578289062083e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.187130622342800423e-03,-8.381271921127001577e-27
2.699500000453834218e+04,0.000000000000000000e+00,2.652883718509830047e+01,1.000000771448947489e+03,1.094143233462158804e+02,6.699695043340835882e-15,-4.235148393058732601e-22,7.652946896154022669e-05,4.705233808527671205e-21,-9.759302701440638828e+00,8.999999999999998579e+01,-1.836593492967975724e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.214093976796089699e-03,-8.200634576632978107e-27
2.799500000474206900e+04,0.000000000000000000e+00,2.751156869809554451e+01,1.000000763728283346e+03,1.094143235124615501e+02,6.699695053520447675e-15,-3.568567651086340322e-27,5.028097106296312946e-06,3.283826711427836946e-22,-9.759380673124576688e+00,8.999999999999998579e+01,-1.965587013758731117e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.173263414887134190e-03,-8.776607828639233833e-27
2.899500000494579581e+04,0.000000000000000000e+00,2.849430021087771081e+01,1.000000761842355132e+03,1.094143233388927996e+02,6.699695042892427622e-15,-4.235145328046972170e-22,4.206053974265662275e-05,2.592486384913306228e-21,-9.759250962518743577e+00,8.999999999999998579e+01,-1.631975099339342352e-06,0.000000000000000000e+00,2.558332872076200231e-19,-5.241187538929758909e-03,-7.286986194325806874e-27
2.999500000514952262e+04,0.000000000000000000e+00,2.947703172337751454e+01,1.000000858062878251e+03,1.094143235098631664e+02,6.699695053361342319e-15,0.000000000000000000e+00,-3.775269374221268382e-05,-2.291208548604665479e-21,-9.759454677362585429e+00,8.999999999999998579e+01,-1.963303520762037395e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.134510289512372525e-03,-8.766411728252356093e-27
3.099500000535324943e+04,0.000000000000000000e+00,3.045976323562457821e+01,1.000000900971703231e+03,1.094143232379942532e+02,6.699695036714171564e-15,-4.235119263766334846e-22,4.817378266258207710e-05,2.970198683042636646e-21,-9.759418841233188147e+00,8.999999999999998579e+01,-1.956346390827842727e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.153276146836803170e-03,-8.735347216420569706e-27
3.199500000555697625e+04,0.000000000000000000e+00,3.144249474809653222e+01,1.000000919464044273e+03,1.094143234999034036e+02,6.699695052751483420e-15,-4.235140237390567036e-22,5.626999124098910870e-06,3.642385400579849459e-22,-9.759374445126713482e+00,8.999999999999998579e+01,-1.887286936178966796e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.176524510486449175e-03,-8.426987552833945858e-27
3.299500000576070306e+04,0.000000000000000000e+00,3.242522626114294582e+01,1.000000937853008509e+03,1.094143234420873085e+02,6.699695049211268159e-15,2.632724321550134037e-27,4.613795949429070472e-07,4.858705632447158606e-23,-9.759488689444669518e+00,8.999999999999998579e+01,-1.949470719869400877e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.116699437067369002e-03,-8.704646429765691149e-27
3.399500000596442987e+04,0.000000000000000000e+00,3.340795777446871284e+01,1.000000937293283641e+03,1.094143235639793517e+02,6.699695056675002250e-15,0.000000000000000000e+00,-8.252977436214231557e-05,-5.032366354284230051e-21,-9.759344239781841068e+00,8.999999999999998579e+01,-2.025418125674545820e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.192341775795352062e-03,-9.043761712726188458e-27
3.499500000616815669e+04,0.000000000000000000e+00,3.439068928657577118e+01,1.000000984789803624e+03,1.094143235319680372e+02,6.699695054714876171e-15,-4.241705581397403883e-22,3.163941277695354101e-05,1.956729523623577412e-21,-9.759327958493168254e+00,8.999999999999998579e+01,-1.857576199803124418e-06,1.895758319773387158e-22,2.558332872076199750e-19,-5.200867538537690647e-03,-8.294325157505939552e-27
3.599500000637188350e+04,0.000000000000000000e+00,3.537342079913327098e+01,1.000001053856685758e+03,1.094143232700554478e+02,6.699695038677354479e-15,-3.220666649233161098e-27,1.500794473721936905e-04,9.209833049074236398e-21,-9.759460429719601038e+00,8.999999999999998579e+01,-1.928574076295609872e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.131497714305830252e-03,-8.611340132818143490e-27
3.699500000657561031e+04,0.000000000000000000e+00,3.635615231225567356e+01,1.000001123228110373e+03,1.094143233311200873e+02,6.699695042416484961e-15,0.000000000000000000e+00,6.409472088022404458e-05,3.944549142867230062e-21,-9.759377080315939423e+00,8.999999999999998579e+01,-1.906000664069100016e-06,0.000000000000000000e+00,2.558332872076199750e-19,-5.175144253291178408e-03,-8.510546840494017598e-27
3.799500000677933713e+04,0.000000000000000000e+00,3.733888382488825641e+01,1.000001106402836740e+03,1.094143235665706726e+02,6.699695056833675310e-15,-7.290965711981752802e-27,-3.112188676477330802e-05,-1.885599379605653067e-21,-9.759354134621844423e+00,8.999999999999998579e+01,-1.923950360175724663e-06,-1.895758319773387158e-22,2.558332872076199750e-19,-5.187159979762474490e-03,-8.590694624473238853e-27
