# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003981979585295221e+02,1.776356839400250465e-15,-1.058791184067875424e-22,-8.528469391050601950e-06,-1.136850049968282303e-02,-9.799648439828281710e+00,8.902610627485429973e+01,-3.482734250266434389e-07,2.369697899716732478e-23,4.233277606162184681e-05,-3.770714904068502883e-03,-3.128862378028731198e-03
1.900000000000000022e-01,5.340758191244002262e+01,-2.967566248427814468e+00,1.000000001068226993e+03,1.003981979531956199e+02,1.076304642112813063e-10,-5.382173299170773411e-12,1.706660685433580926e-07,-1.182752595478632832e-02,-9.800360804030958661e+00,8.902633637096298003e+01,-5.590418216953504659e-07,6.734099371531623365e-09,3.640495363288395563e-08,2.589205015074167861e-05,1.175485980115912677e-03
3.900000000000000133e-01,5.340758497742435651e+01,-2.967264404625350238e+00,1.000000002075918019e+03,1.003981979566871274e+02,4.407043611373009871e-10,-1.090534973785124684e-11,-2.392146617804163710e-06,-1.175055313517102754e-02,-9.800340173340972072e+00,8.902657816107944200e+01,-5.507285387578159721e-07,1.313854061143891545e-08,3.639550071314090400e-08,1.411690167405951024e-05,1.219413733332432026e-03
5.919999999999999707e-01,5.340758807228592531e+01,-2.966959542340845690e+00,1.000000003004446626e+03,1.003981979774128632e+02,9.827143488032635779e-10,-1.633612405260023779e-11,2.198110788899136413e-06,-1.185348098792195215e-02,-9.800448237536413032e+00,8.902682212070959622e+01,-3.728152307637337493e-07,1.898969255895881312e-08,3.638275218022913204e-08,7.578602261606679771e-05,1.160674812510605449e-03
7.900000000000000355e-01,5.340759110510946783e+01,-2.966660716890337834e+00,1.000000003804452717e+03,1.003981979877242878e+02,1.694759822563154654e-09,-2.142102438532666781e-11,8.455108450297878725e-07,-1.175545663083810664e-02,-9.800260896452696713e+00,8.902706177522938447e+01,-5.131276142025551346e-07,2.413043581282702190e-08,3.638994023878693674e-08,-3.112828245161245030e-05,1.216616363038184592e-03
9.899999999999999911e-01,5.340759416811572180e+01,-2.966358842848881849e+00,1.000000004529021680e+03,1.003981979932503208e+02,2.578026221299787519e-09,-2.610952918335870336e-11,-3.133016164127255782e-06,-1.179044976115443781e-02,-9.800225002548350162e+00,8.902730326750551626e+01,-4.857642336115514677e-07,2.884124440707371951e-08,3.636736832054093339e-08,-5.161393129203333349e-05,1.196646789994077311e-03
1.191999999999999948e+00,5.340759726097313376e+01,-2.966053950624440549e+00,1.000000005181878805e+03,1.003981979970360499e+02,3.621619418948568295e-09,-3.055154719362820372e-11,8.240204264530404949e-07,-1.161149315034615444e-02,-9.799975430271935295e+00,8.902754786943617660e+01,-8.462921674187932217e-07,3.316433066343128768e-08,3.638523171435538268e-08,-1.940426954532246679e-04,1.298775197379987848e-03
1.389999999999999902e+00,5.340760029152976784e+01,-2.965755125642893564e+00,1.000000005755573511e+03,1.003981980143647945e+02,4.777851735143382632e-09,-3.446975821137118171e-11,6.547177827493177210e-07,-1.177883867307876961e-02,-9.800244616618682514e+00,8.902778699837404019e+01,-4.511570252335461800e-07,3.691888640936788473e-08,3.635334283373019341e-08,-4.042350021330629132e-05,1.203274049552980913e-03
1.590000000000000080e+00,5.340760335194094210e+01,-2.965453282172096028e+00,1.000000006282702088e+03,1.003981980186577516e+02,6.066395701463435464e-09,-3.785295174727215542e-11,-3.350006678035678284e-07,-1.184880378742944086e-02,-9.800352159581743550e+00,8.902802883026278380e+01,-6.151815379334884327e-07,4.037131490500290162e-08,3.635531953976147808e-08,2.094818420436088126e-05,1.163346476604057433e-03
1.790000000000000036e+00,5.340760641159098299e+01,-2.965151438652090743e+00,1.000000006757676601e+03,1.003981980328801882e+02,7.463950698806498186e-09,-4.074451387074001524e-11,-1.263250450276775087e-06,-1.177395725832065115e-02,-9.800337348397725634e+00,8.902827067825367635e+01,-5.987238722342240591e-07,4.348533238253020556e-08,3.634429186196774733e-08,1.249415029391826392e-05,1.206060786352205257e-03
