# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757899999999836e+01,-2.967852999999999852e+00,1.000000000000000000e+03,1.104391379338310664e+01,-7.216449660063517513e-16,5.293955920339377119e-23,1.635385322524783027e-07,-1.282538913888011875e-03,-9.809615080188498482e+00,8.902610541519348430e+01,1.714507713720788384e-06,0.000000000000000000e+00,4.233292996965420908e-05,-2.720296031737578363e-03,-3.259124926591514849e-03
1.900000000000000022e-01,5.340757932040478551e+01,-2.967821457009057529e+00,1.000000000012107193e+03,1.104391378767750176e+01,7.077671781985371959e-16,-3.970466940254532839e-23,-8.221092037256119009e-08,-1.301108474626010191e-03,-9.809641949442337250e+00,8.902613268629313836e+01,-1.059684399420674089e-06,4.055838335768220710e-15,4.233157918321671858e-05,-2.580899896075673512e-03,-3.355463718516468914e-03
3.900000000000000133e-01,5.340757965766394477e+01,-2.967788253860183634e+00,1.000000000015366822e+03,1.104391378815492608e+01,4.562745845105825885e-16,4.301339185275743909e-23,-1.078434262034411459e-07,-1.299174555114221679e-03,-9.809640426867535012e+00,8.902615932350261119e+01,-1.162182424156157565e-06,5.305823550947765154e-15,4.233041943773397156e-05,-2.588800525776833138e-03,-3.345430537530752479e-03
5.900000000000004130e-01,5.340757999491386698e+01,-2.967755050710783049e+00,1.000000000016181730e+03,1.104391378967730475e+01,-7.990767138885634771e-16,-9.926167350637066782e-24,-7.884444574481715439e-09,-1.301739778562831500e-03,-9.809639972400523433e+00,8.902618591423426153e+01,-8.050481514570845898e-07,-1.634687232948896022e-15,4.232928603972248738e-05,-2.591159816094170103e-03,-3.358738890925331341e-03
7.900000000000000355e-01,5.340758033215461609e+01,-2.967721847560855775e+00,1.000000000020023435e+03,1.104391378997587303e+01,-1.665334536937734811e-16,-2.646977960169688560e-23,-1.300992836106084758e-07,-1.300244625515535515e-03,-9.809641016748408049e+00,8.902621244569438375e+01,-9.492230915562919205e-07,-1.410605234580664153e-15,4.232812268543620387e-05,-2.585743261476654287e-03,-3.350982027802992726e-03
9.899999999999999911e-01,5.340758066938612814e+01,-2.967688644410401810e+00,1.000000000022351742e+03,1.104391379148954044e+01,9.992007221626408864e-16,-6.617444900424221399e-24,-1.444230512372201749e-07,-1.298583314758907162e-03,-9.809639147652177371e+00,8.902623881374898929e+01,-8.995469064656135128e-07,6.124962332066142289e-15,4.232698079726899767e-05,-2.595441642555502710e-03,-3.342363138191889460e-03
1.191999999999999948e+00,5.340758100998061053e+01,-2.967655109227909982e+00,1.000000000024214387e+03,1.104391379211816826e+01,4.389821839367869162e-16,-1.715241718189957947e-23,-6.943108392253057356e-08,-1.299442365889885926e-03,-9.809640527087063688e+00,8.902626573609093441e+01,-7.267011478054899986e-07,1.921621250044852684e-15,4.232581868108657865e-05,-2.588286671801920489e-03,-3.346819876995931614e-03
1.389999999999999902e+00,5.340758134382154054e+01,-2.967622238107915589e+00,1.000000000026542693e+03,1.104391379333375056e+01,4.155406177882728794e-16,-2.646977960169688560e-23,-1.161245109893190888e-07,-1.301047646998737626e-03,-9.809639041121727132e+00,8.902629246981591393e+01,-8.278804793417687576e-07,1.589991792134842696e-15,4.232465295957746300e-05,-2.595997356734167875e-03,-3.355148052275118767e-03
1.590000000000000080e+00,5.340758168102544090e+01,-2.967589034955882443e+00,1.000000000030733645e+03,1.104391379217312519e+01,3.815235164831657802e-16,-3.970466940254532839e-23,-1.331172335857555877e-07,-1.302113100590763291e-03,-9.809639976108778470e+00,8.902631897840392128e+01,-1.034378797639142321e-06,4.374746970988802527e-15,4.232348608043294487e-05,-2.591148166078616286e-03,-3.360675607608262349e-03
1.790000000000000036e+00,5.340758201822010420e+01,-2.967555831803323052e+00,1.000000000033061951e+03,1.104391379299700837e+01,-5.551115123125792563e-17,0.000000000000000000e+00,-4.774513286254320323e-08,-1.300577880097892160e-03,-9.809639387105571373e+00,8.902634542742482893e+01,-8.860746942825657179e-07,-1.824222163940485547e-15,4.232234718221389861e-05,-2.594205429799859366e-03,-3.352710874921970008e-03
1.989999999999999991e+00,5.340758235540558019e+01,-2.967522628650237859e+00,1.000000000035390258e+03,1.104391379290074404e+01,1.249000902703301108e-16,0.000000000000000000e+00,2.515186529464271603e-08,-1.298943299022740049e-03,-9.809641786392427676e+00,8.902637184377017832e+01,-1.119438547722932874e-06,-3.483184724355953711e-15,4.232118270100258475e-05,-2.581759436606336031e-03,-3.344230659754755287e-03
2.189999999999999947e+00,5.340758269258185464e+01,-2.967489425496625977e+00,1.000000000039581209e+03,1.104391379242551885e+01,-1.804112415016207742e-16,6.617444900424441804e-24,8.326368880877713115e-08,-1.300807283315167295e-03,-9.809640665538378101e+00,8.902639884358360689e+01,-9.941834184936310389e-07,7.458408876001207120e-15,4.232000779167418116e-05,-2.587575961084301931e-03,-3.353900988363996919e-03
2.390000000000000124e+00,5.340758302974889915e+01,-2.967456222342486960e+00,1.000000000041909516e+03,1.104391379435281806e+01,6.512647564095901974e-16,-1.323488980084888067e-23,4.118565033919256027e-08,-1.302571941746836961e-03,-9.809637758310337574e+00,8.902642546413501634e+01,-9.335094296637704266e-07,3.052388812254009605e-15,4.231886388586079977e-05,-2.602660137258694557e-03,-3.363056012958612166e-03
2.589999999999999858e+00,5.340758336690674213e+01,-2.967423019187821698e+00,1.000000000044703484e+03,1.104391379489062963e+01,-3.510263974917218310e-17,0.000000000000000000e+00,-1.639106584706836568e-09,-1.301911060192949580e-03,-9.809639974203189894e+00,8.902645190525446139e+01,-9.807005425784549407e-07,-3.142879138919668657e-16,4.231770966411482808e-05,-2.591165639591814715e-03,-3.359627347505770266e-03
2.790000000000000036e+00,5.340758370405537647e+01,-2.967389816032631078e+00,1.000000000047497451e+03,1.104391379640085269e+01,3.596157188459779905e-16,-2.233387653893191179e-23,-3.210042679533413222e-08,-1.299884035648520226e-03,-9.809638283252596125e+00,8.902647835358828843e+01,-7.152660886626725955e-07,-1.517169032524269834e-15,4.231657946355801473e-05,-2.599939777000571852e-03,-3.349111136821447503e-03
2.990000000000000213e+00,5.340758404119480218e+01,-2.967356612876913324e+00,1.000000000050757080e+03,1.104391379627194603e+01,5.329070518200643715e-16,3.088140953531381686e-23,-1.215195862632978616e-09,-1.301514928728649684e-03,-9.809637892955581862e+00,8.902650518155115833e+01,-9.920584184708236172e-07,2.923305016866068099e-15,4.231539527501709450e-05,-2.601966159084436857e-03,-3.357572188232735028e-03
3.189999999999999947e+00,5.340758437832500505e+01,-2.967323409720668881e+00,1.000000000052619725e+03,1.104391379712239107e+01,-1.159920507990712927e-16,-7.940933880509772151e-24,-2.281195885765078904e-08,-1.299915598825533659e-03,-9.809639735674407390e+00,8.902653165108239364e+01,-8.702391473214959793e-07,-3.502831889642505415e-15,4.231425105615966849e-05,-2.592407677567437185e-03,-3.349274856620019017e-03
3.390000000000000124e+00,5.340758471544601349e+01,-2.967290206563899080e+00,1.000000000055879354e+03,1.104391379734280321e+01,-5.003545886795657626e-16,-1.323488980084800493e-23,6.458886139750465651e-10,-1.300805528767598647e-03,-9.809640669538712388e+00,8.902655819761389466e+01,-1.014414069336676623e-06,-2.411769895379967635e-15,4.231308765695303905e-05,-2.587564310771072601e-03,-3.353891794181253650e-03
3.589999999999999858e+00,5.340758505255780619e+01,-2.967257003406603477e+00,1.000000000058673322e+03,1.104391379782959071e+01,-4.163336342347344559e-17,-3.970466940254576920e-23,7.053251486873361135e-09,-1.299659139679589393e-03,-9.809636504408990376e+00,8.902658471257817041e+01,-7.035888850846064627e-07,2.675656799430775286e-15,4.231195595408785684e-05,-2.609174525352826908e-03,-3.347944317353632356e-03
3.790000000000000036e+00,5.340758538966039737e+01,-2.967223800248781185e+00,1.000000000059953891e+03,1.104391379800648920e+01,-3.747002708110131108e-16,-3.088140953531224757e-23,-1.779096956653695148e-08,-1.300563293926410577e-03,-9.809642300106265367e+00,8.902661147030592304e+01,-1.025655446317257181e-06,-6.611630886459692000e-15,4.231077110211225670e-05,-2.579107967421297339e-03,-3.352635050851107690e-03
3.990000000000000213e+00,5.340758572675379412e+01,-2.967190597090433091e+00,1.000000000063329935e+03,1.104391379746808255e+01,1.047672415810217620e-15,-1.323488980084800493e-23,3.405822186359452648e-08,-1.302676890276294099e-03,-9.809639280962462848e+00,8.902663812749197803e+01,-9.646319832702387906e-07,3.583988450220759933e-15,4.230961488930727463e-05,-2.594772790603124598e-03,-3.363600364862500899e-03
4.190000000000000391e+00,5.340758606383796092e+01,-2.967157393931559195e+00,1.000000000065192580e+03,1.104391380144050139e+01,2.867091906678419278e-16,0.000000000000000000e+00,-3.057491371760630916e-08,-1.298722142977093690e-03,-9.809637868870293431e+00,8.902666435741687678e+01,-4.988501296115157952e-07,8.977587222768602911e-16,4.230850109120678587e-05,-2.602100234835366416e-03,-3.343083135892553018e-03
4.392000000000000348e+00,5.340758640428363435e+01,-2.967123858740561726e+00,1.000000000068865688e+03,1.104391379842763499e+01,8.875122858853514937e-16,2.646977960169688560e-23,1.684735971200146665e-07,-1.300087052948994265e-03,-9.809636395907720186e+00,8.902669155177621008e+01,-7.386479632968561787e-07,-8.474970506722045533e-16,4.230730729956113658e-05,-2.609743519765012586e-03,-3.350164269795825097e-03
4.589999999999999858e+00,5.340758673797867573e+01,-2.967090987612231334e+00,1.000000000070198439e+03,1.104391380047178295e+01,7.349445126555061219e-16,-4.408103815583578155e-39,-1.981006493685938569e-08,-1.302716174596037267e-03,-9.809642796720019930e+00,8.902671780247349886e+01,-1.084097853477141356e-06,-3.520571542907700721e-15,4.230614497950907477e-05,-2.576537625955188128e-03,-3.363804126101282814e-03
4.790000000000000036e+00,5.340758707503521663e+01,-2.967057784451778701e+00,1.000000000072643161e+03,1.104391380321333038e+01,-5.759281940242982790e-16,-9.926167350636405567e-24,-1.429263480792884353e-07,-1.300817529056566687e-03,-9.809637341553818501e+00,8.902674432809732252e+01,-8.869698682566706815e-07,2.827196136480180515e-15,4.230500420096171765e-05,-2.604840524331771337e-03,-3.353953944519520117e-03
4.990000000000000213e+00,5.340758741208255600e+01,-2.967024581290798935e+00,1.000000000075204298e+03,1.104391380137548140e+01,-1.634495008476037737e-17,6.782881022934863080e-24,1.014955904435737699e-07,-1.299966275499543373e-03,-9.809635989996827732e+00,8.902677082414486165e+01,-4.560090429537913230e-07,-1.583505265467905976e-15,4.230388229240968919e-05,-2.611853911986647143e-03,-3.349537630935166179e-03
5.190000000000000391e+00,5.340758774912067963e+01,-2.966991378129294255e+00,1.000000000077299774e+03,1.104391380296645409e+01,8.419191270074072868e-16,0.000000000000000000e+00,-2.847791032644649430e-08,-1.299658291140362880e-03,-9.809637012788117616e+00,8.902679743973745019e+01,-6.782075020591446320e-07,-1.063495298595132684e-15,4.230271076211573748e-05,-2.606549204264515997e-03,-3.347939793185336285e-03
5.389999999999999680e+00,5.340758808614959463e+01,-2.966958174967262885e+00,1.000000000080093741e+03,1.104391380375819587e+01,4.440892098501014676e-16,-6.617444900423780589e-24,5.119480156038094623e-08,-1.302208870948091436e-03,-9.809639630653363085e+00,8.902682416801125953e+01,-7.550615973102143909e-07,-3.309058659169356306e-15,4.230153982944160587e-05,-2.592969213152019562e-03,-3.361172175473228774e-03
5.589999999999999858e+00,5.340758842316930100e+01,-2.966924971804704825e+00,1.000000000083819032e+03,1.104391380563565406e+01,-2.226110452437180753e-16,1.323488980084844574e-23,-8.334786456907808897e-08,-1.303616757691499232e-03,-9.809638592503420185e+00,8.902685100543790497e+01,-8.524001327101606140e-07,-5.269267832843405869e-16,4.230036815484420747e-05,-2.598356646821236345e-03,-3.368476270199642197e-03
5.790000000000000036e+00,5.340758876017979873e+01,-2.966891768641620963e+00,1.000000000086612999e+03,1.104391380362163488e+01,8.578996099376205955e-16,0.000000000000000000e+00,3.939241651097963981e-08,-1.298714601853879960e-03,-9.809639150180499811e+00,8.902687725937890661e+01,-8.742845523083680746e-07,4.363417634906089111e-15,4.229922725465533648e-05,-2.595464938337870963e-03,-3.343043891821378868e-03
5.990000000000000213e+00,5.340758909718107361e+01,-2.966858565478009968e+00,1.000000000088320348e+03,1.104391380524252853e+01,8.985867605559860749e-16,-2.646977960169688560e-23,-4.263152440155452527e-08,-1.300593539083345299e-03,-9.809635842491392310e+00,8.902690395115030242e+01,-7.518251965857739663e-07,-2.392916294526073388e-15,4.229807273704490339e-05,-2.612626751180789283e-03,-3.352791794992104630e-03
