# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,5.019881610916072390e+01,4.551914400963141816e-15,0.000000000000000000e+00,-8.544893333622033448e-07,-5.810298133838140422e-03,-9.805755110822779841e+00,8.902610645755353858e+01,-1.136196894130627706e-06,0.000000000000000000e+00,4.233272232705499510e-05,-3.061754426739258812e-03,-3.268353715217015704e-03
1.900000000000000022e-01,5.340758045630189343e+01,-2.967709625026781151e+00,1.000000000830739737e+03,5.019881608834951692e+01,5.517303330349957328e-11,-2.596942366393320827e-12,1.092400629860401635e-06,-5.906230063853442659e-03,-9.805939059418545156e+00,8.902622147248091267e+01,-1.060777045251027453e-06,3.452708384446987061e-09,1.815780475094641638e-08,8.836687331928357600e-05,5.825824540687660940e-04
3.900000000000000133e-01,5.340758198906571863e+01,-2.967558703991824309e+00,1.000000001695938408e+03,5.019881606689928333e+01,2.339115947835189688e-10,-5.296364018914795097e-12,-9.253251719360140701e-07,-5.874950760474236845e-03,-9.805857910879076655e+00,8.902634253799041630e+01,-1.375116963974056115e-06,7.086708385737394259e-09,1.818631996320641504e-08,-4.255728561111574065e-06,6.182841276631812193e-04
5.919999999999999707e-01,5.340758353696399041e+01,-2.967406273735584854e+00,1.000000002557411790e+03,5.019881605009809533e+01,5.398330563312540843e-10,-7.876265116424829762e-12,-6.613581782248553736e-08,-5.894771243801164191e-03,-9.805865559377359375e+00,8.902646451192048005e+01,-1.284288693491379580e-06,1.075638148833509703e-08,1.817597149334736281e-08,4.472554695469119717e-06,5.956616723660073135e-04
7.900000000000000355e-01,5.340758505402242662e+01,-2.967256861889586705e+00,1.000000003408640623e+03,5.019881602859165071e+01,9.621434454804524430e-10,-1.033073019406034526e-11,-1.666584050888557638e-07,-5.871227989352193616e-03,-9.805860667745514903e+00,8.902658430659217004e+01,-1.378493135490648276e-06,1.435295272213404064e-08,1.818238972185622980e-08,-1.112138605504371142e-06,6.225335924970950988e-04
9.899999999999999911e-01,5.340758658621535204e+01,-2.967105940822306831e+00,1.000000004256144166e+03,5.019881601524124903e+01,1.511535230986360751e-09,-1.285916725804363075e-11,1.280747485926899167e-07,-5.902720358524770825e-03,-9.805895284679978730e+00,8.902670504701733023e+01,-1.213517204385511851e-06,1.798532427942753945e-08,1.816188357652288712e-08,3.839732156991476484e-05,5.865891138665596180e-04
1.191999999999999948e+00,5.340758813353701839e+01,-2.966953510533414384e+00,1.000000005115754902e+03,5.019881599198461686e+01,2.191866909695502707e-09,-1.531237876651600016e-11,-5.426606652029326236e-08,-5.884549039692356376e-03,-9.805851490339986043e+00,8.902682717906324683e+01,-1.339711818037565224e-06,2.165347071577814086e-08,1.817692471135432981e-08,-1.159006028000705422e-05,6.073296329308227551e-04
1.389999999999999902e+00,5.340758965003028180e+01,-2.966804098655410726e+00,1.000000005967915058e+03,5.019881597237115756e+01,2.981244633558407417e-09,-1.771702550797337155e-11,-5.638755311000922743e-07,-5.904892863374054668e-03,-9.805835686259925410e+00,8.902694690478433870e+01,-1.277224885099348901e-06,2.524874428326704563e-08,1.817208552328786525e-08,-2.962998357793042344e-05,5.841098469960077011e-04
1.590000000000000080e+00,5.340759118165238561e+01,-2.966653177555810483e+00,1.000000006825663149e+03,5.019881595490237913e+01,3.901615777044890059e-09,-2.013575121370451916e-11,-5.497206844680475051e-08,-5.889812234206418494e-03,-9.805870074847540252e+00,8.902706794103472987e+01,-1.437848545178370783e-06,2.888002172975012297e-08,1.816884138312894450e-08,9.618846977713711412e-06,6.013227229842350342e-04
1.790000000000000036e+00,5.340759271308428424e+01,-2.966502256445441965e+00,1.000000007687136531e+03,5.019881593067900383e+01,4.945528324494281487e-09,-2.246433659560774369e-11,-2.878717209353313032e-07,-5.900775704253006203e-03,-9.805908338835465088e+00,8.902718858938261803e+01,-1.125296759741698306e-06,3.251038317648493701e-08,1.814913321949023675e-08,5.329096998464234378e-05,5.888094579263825025e-04
1.989999999999999991e+00,5.340759424432580005e+01,-2.966351335324300731e+00,1.000000008544884622e+03,5.019881591001935561e+01,6.112932680891336999e-09,-2.470690095553531879e-11,-2.705454918545205060e-07,-5.897162807175167047e-03,-9.805887822747584082e+00,8.902730957043597471e+01,-1.343527542211135765e-06,3.614059195659503554e-08,1.815501630401468439e-08,2.987286118302270833e-05,5.929333261134657907e-04
2.189999999999999947e+00,5.340759577537709646e+01,-2.966200414192392110e+00,1.000000009405426681e+03,5.019881589518575993e+01,7.403932641400292561e-09,-2.685104161863927108e-11,-2.795595790887197708e-07,-5.901031709791188656e-03,-9.805861753334113473e+00,8.902743045886140294e+01,-1.381958209871696836e-06,3.977036818126846162e-08,1.815951198021601203e-08,1.163144294591992317e-07,5.885176404238235542e-04
2.389999999999999680e+00,5.340759730623801005e+01,-2.966049493049718322e+00,1.000000010249204934e+03,5.019881587385819444e+01,8.818226811021737747e-09,-2.900238778794936659e-11,-2.120369903984645724e-07,-5.895356536010057553e-03,-9.805877566695277991e+00,8.902755132742632327e+01,-1.164453128202819755e-06,4.339950829500559458e-08,1.815154189040968178e-08,1.816380708821543853e-05,5.949953428098487228e-04
2.589999999999999858e+00,5.340759883690869003e+01,-2.965898571896280700e+00,1.000000011100433767e+03,5.019881585548760228e+01,1.035633233886585559e-08,-3.112667656591478296e-11,6.577726916839921419e-07,-5.889702832986383127e-03,-9.805893353126243994e+00,8.902767217239818365e+01,-1.377831529228028983e-06,4.702839396436820499e-08,1.814902109468261604e-08,3.618056237505986667e-05,6.014485396735108277e-04
2.789999999999999591e+00,5.340760036738911509e+01,-2.965747650732076579e+00,1.000000011968426406e+03,5.019881583262461788e+01,1.201781088034061320e-08,-3.313448190258113822e-11,3.970821922717310448e-07,-5.876918777226872344e-03,-9.805844851043397981e+00,8.902779313382579573e+01,-1.319355428409762897e-06,5.065677074498178354e-08,1.816102265123803898e-08,-1.918011972074144429e-05,6.160401578691731281e-04
2.989999999999999769e+00,5.340760189767922839e+01,-2.965596729557117506e+00,1.000000012816861272e+03,5.019881581808149207e+01,1.380260507048256551e-08,-3.509236491050507435e-11,-4.383239995062241300e-08,-5.891619569826409865e-03,-9.805880342852674403e+00,8.902791389550203860e+01,-1.217720956230220804e-06,5.428461319240887930e-08,1.814510356921514799e-08,2.132790446135259224e-05,5.992612004268426783e-04
3.189999999999999947e+00,5.340760342777915071e+01,-2.965445808371393266e+00,1.000000013674609363e+03,5.019881579727762499e+01,1.571092268838054203e-08,-3.713603173073360547e-11,1.789131628046562735e-07,-5.899108643931495928e-03,-9.805874781879024837e+00,8.902803489444426077e+01,-1.270048281516094454e-06,5.791204852883674694e-08,1.814324916749097385e-08,1.497922173991793115e-05,5.907135325733555136e-04
3.389999999999999680e+00,5.340760495768876126e+01,-2.965294887174917626e+00,1.000000014526769519e+03,5.019881577756392943e+01,1.774267942315254960e-08,-3.905067823324427970e-11,-7.297271264218952665e-07,-5.889923290985261094e-03,-9.805846815158533403e+00,8.902815572769733876e+01,-1.283363813634447569e-06,6.153887319876577899e-08,1.815033888063059078e-08,-1.694286694732031025e-05,6.011976755288259491e-04
3.589999999999999858e+00,5.340760648740813110e+01,-2.965143965967679485e+00,1.000000015390105546e+03,5.019881575788495098e+01,1.989821851259538893e-08,-4.083545992830626688e-11,4.050878610255049622e-07,-5.873050466687312378e-03,-9.805870927096815848e+00,8.902827662490241778e+01,-1.332277385969612756e-06,6.516531620213302722e-08,1.814720819974361421e-08,1.057643249630023952e-05,6.204561187904973196e-04
3.789999999999999591e+00,5.340760801693718918e+01,-2.964993044749686391e+00,1.000000016256235540e+03,5.019881573753259119e+01,2.217666122489379393e-08,-4.269247069712551318e-11,5.571983631334377895e-07,-5.900798357025431422e-03,-9.805908325186750929e+00,8.902839751800341617e+01,-1.314847081204319273e-06,6.879137753893849164e-08,1.812819605977020979e-08,5.326024181348091603e-05,5.887855014439709626e-04
3.989999999999999769e+00,5.340760954627604207e+01,-2.964842123520936124e+00,1.000000017116777599e+03,5.019881571982374879e+01,2.457851206011244385e-08,-4.445023506486595164e-11,-8.221794820735354247e-07,-5.871339874554698350e-03,-9.805837417346701557e+00,8.902851840337000056e+01,-1.154077217387700041e-06,7.241690454255747989e-08,1.814861826574322980e-08,-2.767385640479798646e-05,6.224089304793570514e-04
4.189999999999999503e+00,5.340761107542459740e+01,-2.964691202281432236e+00,1.000000017985701561e+03,5.019881569781793473e+01,2.710376943434177458e-08,-4.603600450655684817e-11,-4.779260803694987076e-07,-5.859996565953855090e-03,-9.805869033766986931e+00,8.902863933013266262e+01,-1.226925990367125362e-06,7.604215165736450127e-08,1.814221980364016563e-08,8.410887576227439410e-06,6.353561112485307935e-04
4.391999999999999460e+00,5.340761261967150375e+01,-2.964538771818619356e+00,1.000000018833205104e+03,5.019881567546587320e+01,2.977955831011891612e-08,-4.787145514924667767e-11,-6.619021291034067994e-07,-5.868692697307566729e-03,-9.805844991211991157e+00,8.902876149037213338e+01,-1.404477682016143809e-06,7.970319909566607454e-08,1.814841850742691807e-08,-1.903225272976412179e-05,6.254307383513844345e-04
4.589999999999999858e+00,5.340761413315087225e+01,-2.964389359770169818e+00,1.000000019690953195e+03,5.019881565941051349e+01,3.252419832583046423e-08,-4.952822170524799584e-11,-4.383524137431526903e-07,-5.889931156571791282e-03,-9.805846814140274148e+00,8.902888098894788982e+01,-1.300750582967261007e-06,8.329106833185653338e-08,1.813623191608400147e-08,-1.695311244768951816e-05,6.011898352311098809e-04
4.790000000000000036e+00,5.340761566172862729e+01,-2.964238438498407735e+00,1.000000020546838641e+03,5.019881564119481254e+01,3.541931519295018674e-08,-5.107892296478896174e-11,4.439642836013262504e-07,-5.900923253728941262e-03,-9.805885042231462734e+00,8.902900200477839121e+01,-1.287277219003395113e-06,8.691499233591606665e-08,1.812210762026518018e-08,2.667804228624531056e-05,5.886438969944163746e-04
4.990000000000000213e+00,5.340761719011602082e+01,-2.964087517215902690e+00,1.000000021406449378e+03,5.019881561987913443e+01,3.843795308380907085e-08,-5.241606665173188448e-11,-1.069790421879823701e-06,-5.887854803630243605e-03,-9.805883164182628065e+00,8.902912292402024264e+01,-1.473201733573585271e-06,9.053835656235166620e-08,1.812550775731902052e-08,2.453296768584039219e-05,6.035601173198255681e-04
5.189999999999999503e+00,5.340761871831310970e+01,-2.963936595922656458e+00,1.000000022266060114e+03,5.019881560080992244e+01,4.157996399511804044e-08,-5.385502005372848561e-11,-6.910919910691483808e-07,-5.899088355563485153e-03,-9.805874822060571816e+00,8.902924369749609923e+01,-1.288430844353018234e-06,9.416113556672587448e-08,1.812047552468047263e-08,1.500994760707809693e-05,5.907385879389189529e-04
5.389999999999999680e+00,5.340762024631996496e+01,-2.963785674618661048e+00,1.000000023118220270e+03,5.019881557897490154e+01,4.484501196014563678e-08,-5.520778210156473335e-11,-8.964447453090673995e-07,-5.845275130783053261e-03,-9.805833578157153951e+00,8.902936462050107025e+01,-1.285054443836488875e-06,9.778345657122593954e-08,1.814110731446494335e-08,-3.206641216079019895e-05,6.521599590659680557e-04
5.589999999999999858e+00,5.340762177413660083e+01,-2.963634753303927560e+00,1.000000023966655135e+03,5.019881556260440192e+01,4.823320765859871124e-08,-5.651690274148662443e-11,-1.097035425311143480e-06,-5.863851863608781495e-03,-9.805842990241645296e+00,8.902948561908289093e+01,-1.437484257167374520e-06,1.014056249091012990e-07,1.813377883688107291e-08,-2.132518624547061103e-05,6.309570930700977680e-04
5.790000000000000036e+00,5.340762330176289652e+01,-2.963483831978448446e+00,1.000000024822540581e+03,5.019881554358194364e+01,5.174445698008979582e-08,-5.776415891937242402e-11,-8.194524709856260751e-07,-5.884373722827480196e-03,-9.805839353500971356e+00,8.902960634411645913e+01,-1.337580083067861077e-06,1.050269281361033136e-07,1.812600026531893552e-08,-2.547759118362482033e-05,6.075341018918953805e-04
5.990000000000000213e+00,5.340762482919887333e+01,-2.963332910642221041e+00,1.000000025680288672e+03,5.019881552143221626e+01,5.537936910591496935e-08,-5.902140690246249211e-11,-3.028477286684394441e-07,-5.893676460721193437e-03,-9.805844042267491290e+00,8.902972711175219445e+01,-1.212199335192138027e-06,1.086478751409809887e-07,1.811906027781026400e-08,-2.012745311288467864e-05,5.969163583804267502e-04
6.189999999999999503e+00,5.340762635644460943e+01,-2.963181989295256891e+00,1.000000026534311473e+03,5.019881550505267853e+01,5.913740241971095098e-08,-6.025536289870677006e-11,1.439418474690018322e-07,-5.886077630749411010e-03,-9.805872877544466348e+00,8.902984813220447791e+01,-1.358280456045573149e-06,1.122685422570467101e-07,1.811367679939053546e-08,1.278296014520509632e-05,6.055896802711358820e-04
6.389999999999999680e+00,5.340762788350015455e+01,-2.963031067937549778e+00,1.000000027396716177e+03,5.019881548439199292e+01,6.301879653468182326e-08,-6.132407862191619895e-11,-3.491849170025715421e-07,-5.880643912035068629e-03,-9.805842120683927021e+00,8.902996901385394324e+01,-1.327113691833163178e-06,1.158886495954884846e-07,1.811950298267823564e-08,-2.232372770794569032e-05,6.117917901933921489e-04
6.589999999999999858e+00,5.340762941036547318e+01,-2.962880146569110362e+00,1.000000028260052204e+03,5.019881546522660898e+01,6.702330838675928989e-08,-6.242193917632398175e-11,-5.366116749032838458e-07,-5.886187859117129190e-03,-9.805849608535334383e+00,8.903008991183268961e+01,-1.236474829742877330e-06,1.195082989340561159e-07,1.811307853639046937e-08,-1.377877692844799600e-05,6.054642460476245512e-04
6.790000000000000036e+00,5.340763093704045161e+01,-2.962729225189931093e+00,1.000000029121525586e+03,5.019881544689744857e+01,7.115084078822607183e-08,-6.346238961739484848e-11,1.356603633981221397e-07,-5.900917277647936207e-03,-9.805885064458843559e+00,8.903021082955764598e+01,-1.422460665407325939e-06,1.231276174949368916e-07,1.810044489952258228e-08,2.668829079341169516e-05,5.886526139554959817e-04
6.990000000000000213e+00,5.340763246352515381e+01,-2.962578303800026180e+00,1.000000029988586903e+03,5.019881542330616497e+01,7.540145077085888306e-08,-6.440412962087241431e-11,-3.731709813222125614e-07,-5.897290066351451587e-03,-9.805864566302789243e+00,8.903033170646990868e+01,-1.328450364465813710e-06,1.267462999448813611e-07,1.810352212861138599e-08,3.290653563173019929e-06,5.927928198100977089e-04
7.189999999999999503e+00,5.340763398981955135e+01,-2.962427382399387632e+00,1.000000030850991607e+03,5.019881540505016915e+01,7.977552092976772912e-08,-6.545900846309494168e-11,3.615482471195135417e-09,-5.874976248572563210e-03,-9.805857929048567456e+00,8.903045247721470901e+01,-1.150986659681503084e-06,1.303644226172019232e-07,1.810503754683837695e-08,-4.286467507023967152e-06,6.182614894333334291e-04
7.389999999999999680e+00,5.340763551592367975e+01,-2.962276460988014559e+00,1.000000031707808375e+03,5.019881538883470284e+01,8.427239653692181957e-08,-6.648624574563049650e-11,-2.326591248753145755e-07,-5.882326703814600571e-03,-9.805875675605410180e+00,8.903057344676118134e+01,-1.207559211245132226e-06,1.339820872896483289e-07,1.809812669429331406e-08,1.596753584675242172e-05,6.098720374864122131e-04
