# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757899999999836e+01,-2.967852999999999852e+00,1.000000000000000000e+03,5.019881610916072390e+01,4.551914400963141816e-15,0.000000000000000000e+00,-8.544893333622033448e-07,-5.810298133838140422e-03,-9.805755110822779841e+00,8.902610645755353858e+01,-1.136196894130627706e-06,0.000000000000000000e+00,4.233272232705499510e-05,-3.061754426739258812e-03,-3.268353715217015704e-03
1.900000000000000022e-01,5.340758045629527118e+01,-2.967709625026742515e+00,1.000000000009313226e+03,5.019881610551738760e+01,7.771561172376095783e-16,0.000000000000000000e+00,1.062128469690585327e-06,-5.906230057554700749e-03,-9.805939059420275328e+00,8.902622224481127944e+01,-2.536710443036893024e-06,1.895758319773388098e-22,4.232760363376266783e-05,-2.851801150639666702e-03,-3.377848154236786238e-03
3.900000000000000133e-01,5.340758198905208332e+01,-2.967558703991657776e+00,1.000000000008381903e+03,5.019881612847512287e+01,4.996003610813204432e-15,0.000000000000000000e+00,-9.238792983802329110e-07,-5.874950754469350153e-03,-9.805857910880524386e+00,8.902634309611150343e+01,-2.295314554905850842e-06,0.000000000000000000e+00,4.232236516375792066e-05,-2.944423752150543503e-03,-3.342146602526095689e-03
5.919999999999999707e-01,5.340758353694332783e+01,-2.967406273735182065e+00,1.000000000007547442e+03,5.019881613944263421e+01,-1.468158927764307031e-15,0.000000000000000000e+00,-6.767816072478715746e-08,-5.894771237585353339e-03,-9.805865559378906582e+00,8.902646522236655358e+01,-2.252051385233362812e-06,3.080026598858408123e-15,4.231705727765768216e-05,-2.935695468377238788e-03,-3.364769180717277607e-03
7.900000000000000355e-01,5.340758505399488598e+01,-2.967256861888860620e+00,1.000000000007450581e+03,5.019881615047567180e+01,-1.887379141862766119e-15,4.235164736271501695e-22,-1.662892325495298916e-07,-5.871227983145171740e-03,-9.805860667747117176e+00,8.902658483921821642e+01,-2.311705599337418449e-06,0.000000000000000000e+00,4.231185435643028316e-05,-2.941280161244750734e-03,-3.337897381132068873e-03
9.899999999999999911e-01,5.340758658618087651e+01,-2.967105940821153087e+00,1.000000000006519258e+03,5.019881616742277686e+01,-4.218847493575594854e-15,0.000000000000000000e+00,1.149149741789618146e-07,-5.902720352350880433e-03,-9.805895284681536594e+00,8.902670579531104522e+01,-2.389632702755077143e-06,1.895758319773387628e-22,4.230658963233694509e-05,-2.901770700598347696e-03,-3.373841981453474300e-03
1.191999999999999948e+00,5.340758813349560796e+01,-2.966953510531734395e+00,1.000000000005684797e+03,5.019881617804657026e+01,1.550604442024724894e-15,-3.794707603699265598e-22,-5.030811305194552884e-08,-5.884549033429017570e-03,-9.805851490341567001e+00,8.902682781086255659e+01,-2.193818727599071173e-06,-1.036465045659474940e-14,4.230129715482856915e-05,-2.951758081944459971e-03,-3.353101585270112147e-03
1.389999999999999902e+00,5.340758964998207148e+01,-2.966804098653127664e+00,1.000000000004656613e+03,5.019881619398208272e+01,-4.107825191113079200e-15,-4.235164736271501695e-22,-5.537388931799104748e-07,-5.904892857212027182e-03,-9.805835686261348272e+00,8.902694766795576697e+01,-2.045176130369203389e-06,0.000000000000000000e+00,4.229609417649334149e-05,-2.969798004856812924e-03,-3.376321491610856460e-03
1.590000000000000080e+00,5.340759118159726171e+01,-2.966653177552811105e+00,1.000000000005587935e+03,5.019881620522059507e+01,3.219646771412953967e-15,0.000000000000000000e+00,-5.827699406229516158e-08,-5.889812227997860521e-03,-9.805870074849110551e+00,8.902706858008792778e+01,-2.420463561215765348e-06,0.000000000000000000e+00,4.229081601542366577e-05,-2.930549173928315067e-03,-3.359108737485835827e-03
1.790000000000000036e+00,5.340759271302217570e+01,-2.966502256441626351e+00,1.000000000004656613e+03,5.019881621518116788e+01,-5.551115123125782702e-16,0.000000000000000000e+00,-3.061320242062716196e-07,-5.900775698240808519e-03,-9.805908338836948346e+00,8.902718932435941213e+01,-2.390773153627088947e-06,0.000000000000000000e+00,4.228556775681267983e-05,-2.886877050260520505e-03,-3.371622123928584309e-03
1.989999999999999991e+00,5.340759424425683477e+01,-2.966351335319578286e+00,1.000000000004656613e+03,5.019881622693173995e+01,-3.441691376337985275e-15,0.000000000000000000e+00,-2.807862309589769781e-07,-5.897162801087329348e-03,-9.805887822749088656e+00,8.902731028067121599e+01,-2.468495036269458916e-06,0.000000000000000000e+00,4.228030466810971902e-05,-2.910295158647963499e-03,-3.367498377492386327e-03
2.189999999999999947e+00,5.340759577530121760e+01,-2.966200414186665579e+00,1.000000000003725290e+03,5.019881624424096600e+01,1.221245327087672194e-15,0.000000000000000000e+00,-2.796098486912830484e-07,-5.901031703627090778e-03,-9.805861753335605613e+00,8.902743119559264073e+01,-2.312240728241688574e-06,0.000000000000000000e+00,4.227505678017730501e-05,-2.940051704984902869e-03,-3.371914184833945619e-03
2.390000000000000124e+00,5.340759730615532419e+01,-2.966049493042888674e+00,1.000000000000931323e+03,5.019881625521778545e+01,-3.774758283725532237e-15,0.000000000000000000e+00,-2.182679584691648916e-07,-5.895356529884244155e-03,-9.805877566696791447e+00,8.902755202529303347e+01,-2.219165811848143444e-06,0.000000000000000000e+00,4.226980931958411241e-05,-2.922004211820057769e-03,-3.365436603879856138e-03
2.589999999999999858e+00,5.340759883681916165e+01,-2.965898571888249791e+00,1.000000000003725290e+03,5.019881626333447144e+01,-4.662936703425657470e-15,-4.235164736271501695e-22,6.453715252629246791e-07,-5.889702826661017548e-03,-9.805893353127945744e+00,8.902767283154787492e+01,-2.540644410862644427e-06,3.791516639546776196e-22,4.226453855310491727e-05,-2.903987456020616035e-03,-3.358983528761017023e-03
2.790000000000000036e+00,5.340760036729272997e+01,-2.965747650722752482e+00,1.000000000000931323e+03,5.019881627482023845e+01,2.997602166487922659e-15,0.000000000000000000e+00,4.036390703867818140e-07,-5.876918770828588531e-03,-9.805844851045085520e+00,8.902779370542789650e+01,-2.150003950139454119e-06,0.000000000000000000e+00,4.225930689359642207e-05,-2.959348137658508824e-03,-3.344392031978576756e-03
2.990000000000000213e+00,5.340760189757603627e+01,-2.965596729546396304e+00,1.000000000000931323e+03,5.019881629527177580e+01,3.330669073875469621e-15,-4.235164736271501695e-22,-5.114709123990774948e-08,-5.891619563664110028e-03,-9.805880342854230491e+00,8.902791457615469994e+01,-2.291417350283532245e-06,1.895758319773387628e-22,4.225404299711820074e-05,-2.918840112995501213e-03,-3.361171111008931251e-03
3.189999999999999947e+00,5.340760342766907343e+01,-2.965445808359182145e+00,1.000000000000931323e+03,5.019881630549784290e+01,-4.996003610813204432e-15,0.000000000000000000e+00,1.737729300522235926e-07,-5.899108637688892272e-03,-9.805874781880604019e+00,8.902803561801047749e+01,-2.305652125090338269e-06,0.000000000000000000e+00,4.224877940957430148e-05,-2.925188795330260424e-03,-3.369718900427138078e-03
3.390000000000000124e+00,5.340760495757181303e+01,-2.965294887161110449e+00,9.999999999990686774e+02,5.019881632385092729e+01,5.107025913275720086e-15,0.000000000000000000e+00,-7.239358568004203125e-07,-5.889923284906153390e-03,-9.805846815159968699e+00,8.902815638424536360e+01,-2.127434746711792911e-06,0.000000000000000000e+00,4.224353985158306224e-05,-2.957110883510891391e-03,-3.359234878958903495e-03
3.589999999999999858e+00,5.340760648728431903e+01,-2.965143965952186100e+00,9.999999999990686774e+02,5.019881632948924022e+01,8.881784197001252323e-16,-4.235164736271501695e-22,4.014542964488873383e-07,-5.873050460367307095e-03,-9.805870927098515821e+00,8.902827717001839858e+01,-2.331720172397111875e-06,0.000000000000000000e+00,4.223827738059956615e-05,-2.929591583558463323e-03,-3.339976557242462386e-03
3.790000000000000036e+00,5.340760801680654168e+01,-2.964993044732407768e+00,9.999999999981373549e+02,5.019881634047436592e+01,-4.440892098500626162e-15,0.000000000000000000e+00,5.389485807365837445e-07,-5.900798350779547403e-03,-9.805908325188397612e+00,8.902839825314563882e+01,-2.580135911077140149e-06,-1.895758319773388098e-22,4.223299727219253884e-05,-2.886907773816291180e-03,-3.371647296125943830e-03
