# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.104391379338310664e+01,-7.216449660063517513e-16,5.293955920339377119e-23,1.635385322524783027e-07,-1.282538913888011875e-03,-9.809615080188498482e+00,8.902610541519348430e+01,1.714507713720788384e-06,0.000000000000000000e+00,4.233292996965420908e-05,-2.720296031737578363e-03,-3.259124926591514849e-03
1.900000000000000022e-01,5.340757932041166356e+01,-2.967821457009140573e+00,1.000000000989064574e+03,1.104391373367377049e+01,1.122871102654355730e-11,-4.150873587396475311e-13,-7.935199035690149956e-08,-1.301108475867240400e-03,-9.809641949442317710e+00,8.902613136196295329e+01,5.582586927994617678e-07,7.336140206076488759e-10,3.858074806606313092e-09,8.348085422031524463e-06,1.323905523891379284e-04
3.900000000000000133e-01,5.340757965767810589e+01,-2.967788253860538017e+00,1.000000001978129148e+03,1.104391367498675969e+01,4.739164344446059214e-11,-4.133122202115581181e-13,-1.076900954389315144e-07,-1.299174556358220290e-03,-9.809640426867511920e+00,8.902615817323024316e+01,5.371386901592961563e-07,1.504402364332243339e-09,3.863313825817241985e-09,4.474552869425546103e-07,1.424237499933787366e-04
5.900000000000004130e-01,5.340757999493526853e+01,-2.967755050711587739e+00,1.000000002911210458e+03,1.104391361516147718e+01,1.085312034839250622e-10,1.227935534500545724e-13,-8.539083800283985804e-09,-1.301739779800804115e-03,-9.809639972400509222e+00,8.902618437175725319e+01,1.086227462145536947e-06,2.274478263808190122e-09,3.836263106598725701e-09,-1.911835893215168527e-06,1.291154127669997653e-04
7.900000000000000355e-01,5.340758033218330780e+01,-2.967721847562290183e+00,1.000000003830529749e+03,1.104391355181309642e+01,1.946658294006233464e-10,1.149611240851011547e-12,-1.288989857357741838e-07,-1.300244626731613101e-03,-9.809641016748404496e+00,8.902621116831929271e+01,9.373933549375766884e-07,3.045266607532784688e-09,3.846847499311444763e-09,3.504718242351742695e-06,1.368722925659891082e-04
9.899999999999999911e-01,5.340758066942213134e+01,-2.967688644412658228e+00,1.000000004712492228e+03,1.104391349244981058e+01,3.057174440900276526e-10,2.742827238244448776e-12,-1.465439987243909256e-07,-1.298583316000347706e-03,-9.809639147652163160e+00,8.902623759757688049e+01,5.658830930374287238e-07,3.815927729070120463e-09,3.874575151135368441e-09,-6.193663557832526165e-06,1.454911990255340160e-04
1.191999999999999948e+00,5.340758101002399627e+01,-2.967655109231189137e+00,1.000000005110166967e+03,1.104391343123270630e+01,4.432120054326774482e-10,5.222884960399594648e-12,-6.910178455092035650e-08,-1.299442367114605036e-03,-9.809640527087053030e+00,8.902626441963326442e+01,1.113326805809104011e-06,4.593891404156096792e-09,3.846396117062586889e-09,9.613065713839738246e-07,1.410344765738844736e-04
1.389999999999999902e+00,5.340758134387211697e+01,-2.967622238112377353e+00,1.000000005929730833e+03,1.104391337135534457e+01,6.026960445077969896e-10,8.137733487733800797e-12,-1.184357878031755772e-07,-1.301047648231478098e-03,-9.809639041121721803e+00,8.902629117437696493e+01,8.444534760352204017e-07,5.357148194394985807e-09,3.859899018245344011e-09,-6.749378623504945329e-06,1.327063179158868530e-04
1.590000000000000080e+00,5.340758168108324355e+01,-2.967589034961716443e+00,1.000000006704591215e+03,1.104391330817365002e+01,7.885408022594938825e-10,1.172537085733069697e-11,-1.337678890172417045e-07,-1.302113101820162253e-03,-9.809639976108773141e+00,8.902631762604549692e+01,6.654953176616212232e-07,6.127580315995256585e-09,3.854888146492621381e-09,-1.900188685504904446e-06,1.271787792656896635e-04
1.790000000000000036e+00,5.340758201828518281e+01,-2.967555831810714029e+00,1.000000007465481758e+03,1.104391325763596754e+01,9.994528128880165330e-10,1.586703358324060928e-11,-4.944275211835412878e-08,-1.300577881362311068e-03,-9.809639387105542951e+00,8.902634418194610078e+01,5.672935290942517743e-07,6.900734992402859705e-09,3.875336469111503147e-09,-4.957452955301197389e-06,1.351435287165963595e-04
1.989999999999999991e+00,5.340758235547792054e+01,-2.967522628659328809e+00,1.000000008183531463e+03,1.104391321109756952e+01,1.235801007616807832e-09,2.044995495964575893e-11,2.771645550080218597e-08,-1.298943300302879671e-03,-9.809641786392376162e+00,8.902637059567561550e+01,3.663375349884029958e-07,7.676154223743665172e-09,3.872120722811068225e-09,7.488539619716881465e-06,1.436237607889950113e-04
2.189999999999999947e+00,5.340758269266137148e+01,-2.967489425507553236e+00,1.000000008077360690e+03,1.104391316439507875e+01,1.497610311749738972e-09,2.585762690375557949e-11,8.383636488327016220e-08,-1.300807284633656883e-03,-9.809640665538312376e+00,8.902639769502823697e+01,6.305882211438101167e-08,8.451827899458987395e-09,3.893856300718868438e-09,1.672015055006419578e-06,1.339534491597092866e-04
2.389999999999999680e+00,5.340758302983565642e+01,-2.967456222355399742e+00,1.000000008774921298e+03,1.104391311747468585e+01,1.784809626935818162e-09,3.175228042534189775e-11,3.659265968632822108e-08,-1.302571943056322901e-03,-9.809637758310289612e+00,8.902642411498597141e+01,2.090758738743127565e-07,9.226814575363114627e-09,3.888545361064489412e-09,-1.341216170739473281e-05,1.247984411738935532e-04
2.589999999999999858e+00,5.340758336700083220e+01,-2.967423019202862999e+00,1.000000009446404874e+03,1.104391307063792738e+01,2.097429966313990479e-09,3.799559705823670355e-11,-2.295746574272457637e-09,-1.301911061469847005e-03,-9.809639974203152590e+00,8.902645046947507979e+01,3.979406458586723833e-07,1.000182669570469113e-08,3.869606863588907044e-09,-1.917664694714716145e-06,1.282271232400912183e-04
2.789999999999999591e+00,5.340758370415680645e+01,-2.967389816049944784e+00,1.000000010084360838e+03,1.104391302409055520e+01,2.435466560406918316e-09,4.474926008447156773e-11,-3.576179747944865749e-08,-1.299884036926821692e-03,-9.809638283252562374e+00,8.902647722327284896e+01,4.967861532491326241e-07,1.077704237154588336e-08,3.894439119126695646e-09,-1.069180247103978601e-05,1.387433505920624170e-04
2.989999999999999769e+00,5.340758404130337311e+01,-2.967356612896634438e+00,1.000000010695308447e+03,1.104391297744134270e+01,2.799015123993182864e-09,5.192423405777046348e-11,-5.570524420028171450e-09,-1.301514930028901040e-03,-9.809637892955535676e+00,8.902650391284011278e+01,1.749804803556485841e-07,1.155256338063649504e-08,3.890569690662456074e-09,-1.271818494518906238e-05,1.302823161629966997e-04
3.189999999999999947e+00,5.340758437844088036e+01,-2.967323409742919971e+00,1.000000010251998901e+03,1.104391294947736135e+01,3.188264655750756636e-09,6.003544261354588991e-11,-2.389392328284018364e-08,-1.299915600135351798e-03,-9.809639735674354100e+00,8.902653039726739337e+01,-8.315677259098642966e-08,1.233388572146609766e-08,3.913832520223977736e-09,-3.159703825811380704e-06,1.385796649448355782e-04
3.389999999999999680e+00,5.340758471556911502e+01,-2.967290206588752088e+00,1.000000010838732123e+03,1.104391292825372872e+01,3.603797382621594906e-09,6.823927301549190583e-11,1.222551351029507851e-09,-1.300805530083323086e-03,-9.809640669538651991e+00,8.902655686390885137e+01,-2.486693523264169521e-07,1.311805783929029060e-08,3.912051733124331487e-09,1.683662638959981684e-06,1.339627445577312812e-04
3.589999999999999858e+00,5.340758505268817657e+01,-2.967257003434113916e+00,1.000000011395663023e+03,1.104391290759812527e+01,4.045709496146879721e-09,7.647431951330063546e-11,2.293952380966850656e-10,-1.299659141007152019e-03,-9.809636504408929980e+00,8.902658340431160866e+01,-1.386942189946425014e-07,1.390200095717741853e-08,3.924263512445521817e-09,-1.992655222913646481e-05,1.399102383272361001e-04
3.789999999999999591e+00,5.340758538979798686e+01,-2.967223800279021884e+00,1.000000011931173503e+03,1.104391288462644916e+01,4.513983574439010307e-09,8.471188873716295552e-11,-1.431838489863374066e-08,-1.300563295217632264e-03,-9.809642300106213852e+00,8.902661009575270157e+01,2.830375611034383719e-08,1.468594407506454647e-08,3.893634954425064985e-09,1.014000552294973043e-05,1.352195217848078056e-04
3.989999999999999769e+00,5.340758572689853878e+01,-2.967190597123462226e+00,1.000000012446194887e+03,1.104391286412492157e+01,5.008587018939742153e-09,9.306056776456211995e-11,3.216629150555045826e-08,-1.302676891625449695e-03,-9.809639280962393570e+00,8.902663676782390212e+01,-5.633257235180324323e-07,1.547024341507599571e-08,3.931962239529462224e-09,-5.524817824625302900e-06,1.242542252455376011e-04
4.189999999999999503e+00,5.340758606398992470e+01,-2.967157393967442047e+00,1.000000011752359569e+03,1.104391284509071980e+01,5.529484472722054191e-09,1.021654488792931756e-10,-3.497613536913137495e-08,-1.298722144275246465e-03,-9.809637868870245470e+00,8.902666298943549350e+01,1.593007274425952229e-07,1.625349953315192865e-08,3.911401254844245059e-09,-1.285226258248888938e-05,1.447714707347034417e-04
4.391999999999999460e+00,5.340758640444288119e+01,-2.967123858779400436e+00,1.000000012277625501e+03,1.104391282294182020e+01,6.082390416276476595e-09,1.114800261186456830e-10,1.614548845189350411e-07,-1.300087054328806545e-03,-9.809636395907626039e+00,8.902669030345793999e+01,-3.373211056294742723e-07,1.704563575989850785e-08,3.934906668890644780e-09,-2.049554742370975885e-05,1.376903544087841851e-04
4.589999999999999858e+00,5.340758673814507063e+01,-2.967090987654022793e+00,1.000000012776814401e+03,1.104391280222065497e+01,6.650420595798646333e-09,1.206520153660642030e-10,-1.545726774335930390e-08,-1.302716175905240447e-03,-9.809642796719964863e+00,8.902671628517271074e+01,-3.404544863239023039e-07,1.782156387998834435e-08,3.907478265784126543e-09,1.271034591533739852e-05,1.240505150272609985e-04
4.790000000000000036e+00,5.340758707520886617e+01,-2.967057784496617501e+00,1.000000013263896108e+03,1.104391278192728798e+01,7.250366604511102891e-09,1.299959574850346479e-10,-1.482660130349746586e-07,-1.300817530352760092e-03,-9.809637341553784751e+00,8.902674285419622890e+01,-3.128390531355020774e-07,1.860540522012566525e-08,3.915716232885211101e-09,-1.559255272684252530e-05,1.339007136070782160e-04
4.990000000000000213e+00,5.340758741226350992e+01,-2.967024581338751688e+00,1.000000013739801943e+03,1.104391276070467320e+01,7.876657462507190050e-09,1.394085690975133572e-10,9.375416211069504234e-08,-1.299966276848268107e-03,-9.809635989996754901e+00,8.902676955194178277e+01,4.132624464256550746e-08,1.938906844920082633e-08,3.931603810975112109e-09,-2.260594055832555098e-05,1.383170439659883180e-04
5.189999999999999503e+00,5.340758774930891661e+01,-2.966991378180427574e+00,1.000000012878328562e+03,1.104391274069196882e+01,8.529264229454159226e-09,1.497305863199826435e-10,-3.440271280902226559e-08,-1.299658292471880241e-03,-9.809637012788058996e+00,8.902679623244166862e+01,-2.626504600396317324e-07,2.017318967815011409e-08,3.938928699097357523e-09,-1.730123300586353804e-05,1.399148990143488753e-04
5.389999999999999680e+00,5.340758808634515731e+01,-2.966958175021643385e+00,1.000000013359822333e+03,1.104391272032090221e+01,9.208203581655530373e-09,1.601062483684071510e-10,4.992051948102898802e-08,-1.302208872259933347e-03,-9.809639630653308018e+00,8.902682256593560339e+01,9.816362191119191415e-08,2.095675112947546813e-08,3.893598024842800598e-09,-3.721242302319073897e-06,1.266825335267001459e-04
5.589999999999999858e+00,5.340758842337206147e+01,-2.966924971862390681e+00,1.000000013817101717e+03,1.104391270071338127e+01,9.913461597775146268e-09,1.706188699025450004e-10,-8.646711316338279776e-08,-1.303616758992105556e-03,-9.809638592503382881e+00,8.902684941976043831e+01,-2.501550530292221728e-07,2.174112680279927513e-08,3.910481954023759421e-09,-9.108675996476472432e-06,1.193784561272307745e-04
5.790000000000000036e+00,5.340758876038978542e+01,-2.966891768702673904e+00,1.000000014255754650e+03,1.104391267815690725e+01,1.064512376480946046e-08,1.812289258479865545e-10,3.726348698869823852e-08,-1.298714603206429109e-03,-9.809639150180418099e+00,8.902687601917041604e+01,-4.986811022839110872e-07,2.252517169843620679e-08,3.939171098369682945e-09,-6.216967804987704405e-06,1.448108517164332931e-04
5.990000000000000213e+00,5.340758909739818705e+01,-2.966858565542499271e+00,1.000000014674849808e+03,1.104391265748100892e+01,1.140313071152542833e-08,1.919538853045370701e-10,-5.063761938197238038e-08,-1.300593540406266456e-03,-9.809635842491339019e+00,8.902690251963268508e+01,-2.773077536781256718e-07,2.330891126082372066e-08,3.921953779148131326e-09,-2.337878093879254394e-05,1.350629654083168759e-04
6.189999999999999503e+00,5.340758943439740136e+01,-2.966825362381862341e+00,1.000000013685785234e+03,1.104391263580361304e+01,1.218744107117522250e-08,2.036048420166585291e-10,-7.629862798340375362e-08,-1.298972302422511096e-03,-9.809638806488404583e+00,8.902692936943883240e+01,-1.817923888169075278e-07,2.409277804539849580e-08,3.920298621275668275e-09,-8.003073862714016510e-06,1.434739736953783947e-04
6.389999999999999680e+00,5.340758977138747099e+01,-2.966792159220767555e+00,1.000000014131888747e+03,1.104391261324134632e+01,1.299808475770876715e-08,2.154749464610605785e-10,-4.808775682809085717e-08,-1.301652080855069749e-03,-9.809641748260167660e+00,8.902695582717373668e+01,-1.218586016214703909e-07,2.487511816372616544e-08,3.904270640516438799e-09,7.257284256373037988e-06,1.295713262609392009e-04
6.589999999999999858e+00,5.340759010836835330e+01,-2.966758956059219354e+00,1.000000014570541680e+03,1.104391259578268958e+01,1.383495795358542443e-08,2.274840466363119904e-10,-2.013367020000304163e-08,-1.303196327912308806e-03,-9.809642197084455617e+00,8.902698235185910391e+01,-9.234202113332842415e-07,2.565969739254958651e-08,3.932305228483088161e-09,9.584291248568580491e-06,1.215598120250163260e-04
