# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.104370843062293872e+01,-9.714451465470119729e-16,0.000000000000000000e+00,-1.532930128640603597e-07,-1.298058610949269194e-03,-9.809635571287808276e+00,8.902610666269728767e+01,-1.305921669051806867e-06,9.478791598866932263e-23,4.233270210144826965e-05,-2.614083207495535629e-03,-3.339765531018974200e-03
1.900000000000000022e-01,5.340757932040553868e+01,-2.967821457595626100e+00,1.000000000904314220e+03,1.104370840652825869e+01,1.182895841827453857e-11,-5.240549000648819539e-13,-2.690125768476794174e-07,-1.300132957890540609e-03,-9.809640722179652883e+00,8.902613216062542278e+01,-1.557601161600838163e-06,7.510943491369724606e-10,3.951815558182255073e-09,1.884831991831481892e-06,1.373243806110863239e-04
3.900000000000000133e-01,5.340757965766529480e+01,-2.967788255064275571e+00,1.000000001786276698e+03,1.104370837997131893e+01,5.006557210020733910e-11,-1.666994143573185416e-12,-3.174740843624597330e-07,-1.300984093475332764e-03,-9.809641021872741007e+00,8.902615892709299317e+01,-1.792140530810510391e-06,1.541500354136833858e-09,3.950381030946053082e-09,3.438075729529707410e-06,1.329086423011434739e-04
5.900000000000004130e-01,5.340757999491599151e+01,-2.967755052532478732e+00,1.000000002652554826e+03,1.104370835276002794e+01,1.147352335610278872e-10,-2.493376590944905614e-12,-2.767521359303066643e-07,-1.300438966518194369e-03,-9.809640029178797960e+00,8.902618538250435165e+01,-1.561009698441868914e-06,2.330303359577237691e-09,3.954368521520189932e-09,-1.713629966559288081e-06,1.357368444004133500e-04
7.900000000000000355e-01,5.340758033215750089e+01,-2.967721850000237804e+00,1.000000003485009074e+03,1.104370832639240518e+01,2.058031140406776703e-10,-3.325721786358766123e-12,-3.005256257558753840e-07,-1.301115893447295571e-03,-9.809640629423771685e+00,8.902621201637002457e+01,-1.643845056898965389e-06,3.120073253640806683e-09,3.950039982213874105e-09,1.398978505290445401e-06,1.322249171849305841e-04
9.899999999999999911e-01,5.340758066938967374e+01,-2.967688647467551455e+00,1.000000004278495908e+03,1.104370829804245346e+01,3.232241075553261230e-10,-4.175017144745018187e-12,-3.049586207081276131e-07,-1.302388797080180965e-03,-9.809641666770753332e+00,8.902623870325579958e+01,-1.609571246984889782e-06,3.909817703266923917e-09,3.938827364793603426e-09,6.779312103388434070e-06,1.256210069483393874e-04
1.191999999999999948e+00,5.340758100998486668e+01,-2.967655112909091564e+00,1.000000005046837032e+03,1.104370827190773063e+01,4.685909698649922448e-10,-5.038632846119327734e-12,-3.152099186836263639e-07,-1.301586041357631271e-03,-9.809640746142273215e+00,8.902626554307403239e+01,-1.644379746307575547e-06,4.707322706315811698e-09,3.946529918592027832e-09,2.001475673230806711e-06,1.297858112519765844e-04
1.389999999999999902e+00,5.340758134382645750e+01,-2.967622242400858923e+00,1.000000005770474672e+03,1.104370824495155468e+01,6.372832309453830795e-10,-5.825528444487180119e-12,-3.254462252105565719e-07,-1.300517611525755981e-03,-9.809640552671364588e+00,8.902629181777329848e+01,-1.760615407141030364e-06,5.489077602582092560e-09,3.954848994289833615e-09,9.962258085891661624e-07,1.353289558698741817e-04
1.590000000000000080e+00,5.340758168103103998e+01,-2.967589039866844747e+00,1.000000006467103958e+03,1.104370821813782122e+01,8.339323466514363525e-10,-6.606487980532955881e-12,-3.038303246041798122e-07,-1.300932562572877042e-03,-9.809640913631247017e+00,8.902631835689666673e+01,-1.636252589430000483e-06,6.278084163522109632e-09,3.946405072500060740e-09,2.867378793315542120e-06,1.331761836445726529e-04
1.790000000000000036e+00,5.340758201822639251e+01,-2.967555837332390478e+00,1.000000007144175470e+03,1.104370818993738368e+01,1.056919809128722273e-09,-7.334329812370486663e-12,-2.876110651610207163e-07,-1.301215657902384361e-03,-9.809639302447573428e+00,8.902634486238903833e+01,-1.480904197345653986e-06,7.066887168962513466e-09,3.950555623460366560e-09,-5.493086231592476361e-06,1.317074904714685927e-04
1.989999999999999991e+00,5.340758235541264298e+01,-2.967522634797493453e+00,1.000000007797032595e+03,1.104370816292335711e+01,1.306304216712451004e-09,-7.959479316482256217e-12,-2.529284987522723870e-07,-1.299981154428886745e-03,-9.809638852889218441e+00,8.902637153203406228e+01,-1.542683316922838696e-06,7.856377174214113944e-09,3.959710923364746289e-09,-7.826954549031837389e-06,1.381122408111815645e-04
2.189999999999999947e+00,5.340758269258959245e+01,-2.967489432262151894e+00,1.000000008411705494e+03,1.104370813664709772e+01,1.582099836086630915e-09,-8.207545795015734461e-12,-3.044000721661747311e-07,-1.300201596372524675e-03,-9.809640324414173662e+00,8.902639820231428303e+01,-1.773071706051076804e-06,8.646376068214747106e-09,3.956585154190897739e-09,-1.940132568774666099e-07,1.369686004021773641e-04
2.389999999999999680e+00,5.340758302975738303e+01,-2.967456229726368910e+00,1.000000009013339877e+03,1.104370810964418226e+01,1.884289197798158603e-09,-8.622923831348910451e-12,-3.042129360669382132e-07,-1.299730185608116359e-03,-9.809640239418758512e+00,8.902642483447823452e+01,-1.777222711576948461e-06,9.435815184591444895e-09,3.959104034983256615e-09,-6.364978815785363191e-07,1.394143552927622827e-04
