# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757899999999836e+01,-2.967852999999999852e+00,1.000000000000000000e+03,1.104370843062293872e+01,-9.714451465470119729e-16,0.000000000000000000e+00,-1.532930128640603597e-07,-1.298058610949269194e-03,-9.809635571287808276e+00,8.902610666269728767e+01,-1.305921669051806867e-06,9.478791598866932263e-23,4.233270210144826965e-05,-2.614083207495535629e-03,-3.339765531018974200e-03
1.900000000000000022e-01,5.340757932039881695e+01,-2.967821457595591461e+00,1.000000000009410087e+03,1.104370842838805444e+01,8.636128389366184104e-17,-2.004644641835178858e-23,-2.696581382540125971e-07,-1.300132956573105082e-03,-9.809640722179709726e+00,8.902613255937974657e+01,-2.422621178283148988e-06,-6.454773094232082563e-15,4.233151070339808081e-05,-2.587361309872577078e-03,-3.350527413698222226e-03
3.900000000000000133e-01,5.340757965765169502e+01,-2.967788255064121916e+00,1.000000000010244548e+03,1.104370842864389068e+01,2.384759056894835902e-16,9.190307477709164491e-23,-3.186515551859172607e-07,-1.300984092160801598e-03,-9.809641021872787192e+00,8.902615939025693592e+01,-2.646850539291768821e-06,1.627860578803018714e-14,4.233033083266486864e-05,-2.585808065978443399e-03,-3.354943169183780688e-03
5.900000000000004130e-01,5.340757999489533603e+01,-2.967755052532126125e+00,1.000000000009313226e+03,1.104370843039913908e+01,-3.306244167333652800e-16,2.625802136488483847e-23,-2.761653811521833299e-07,-1.300438965196094171e-03,-9.809640029178849474e+00,8.902618580734670672e+01,-2.349401189766355897e-06,1.220708090525708048e-14,4.232919969587014490e-05,-2.590959771271487098e-03,-3.352114983884829300e-03
7.900000000000000355e-01,5.340758033212979683e+01,-2.967721849999603201e+00,1.000000000010147687e+03,1.104370843112282863e+01,-7.072803881031248440e-16,1.101142831430589068e-23,-3.010047935605627827e-07,-1.301115892133657137e-03,-9.809640629423817870e+00,8.902621250341297809e+01,-2.472754218042388505e-06,1.416832288806374260e-14,4.232803181803035289e-05,-2.587847162545593195e-03,-3.355626928162261033e-03
9.899999999999999911e-01,5.340758066935504900e+01,-2.967688647466554475e+00,1.000000000009380187e+03,1.104370843056457829e+01,-6.592504320224180215e-16,0.000000000000000000e+00,-3.072803049673339930e-07,-1.302388795776462981e-03,-9.809641666770794188e+00,8.902623930302100064e+01,-2.535491858497550559e-06,1.433561047905134128e-14,4.232686133626908790e-05,-2.582466828719433196e-03,-3.362230855355600925e-03
1.191999999999999948e+00,5.340758100994320046e+01,-2.967655112907640724e+00,1.000000000011219754e+03,1.104370843249741263e+01,1.985078768029768345e-17,-1.058791184067875424e-22,-3.158954117968006040e-07,-1.301586040047884255e-03,-9.809640746142317624e+00,8.902626607821211735e+01,-2.494449409884347474e-06,-7.870169384026396510e-15,4.232570108766362378e-05,-2.587244664841360613e-03,-3.358066068238661946e-03
1.389999999999999902e+00,5.340758134377790611e+01,-2.967622242398877397e+00,1.000000000012747932e+03,1.104370843245918010e+01,7.570183796063320984e-16,-7.309894334804596790e-23,-3.257874749462961591e-07,-1.300517610208730716e-03,-9.809640552671414326e+00,8.902629224247098705e+01,-2.565729568862419255e-06,1.637158628803678447e-14,4.232456072581918015e-05,-2.588249914364632986e-03,-3.352522940514810704e-03
1.590000000000000080e+00,5.340758168097551106e+01,-2.967589039864249489e+00,1.000000000010430767e+03,1.104370843353864196e+01,1.110223024625156540e-15,-1.101142831430589068e-23,-3.048123591071403193e-07,-1.300932561261192990e-03,-9.809640913631294978e+00,8.902631884604720369e+01,-2.521822247726440506e-06,-5.039461355258832955e-15,4.232340573341347479e-05,-2.586378761049672789e-03,-3.354675729635858781e-03
1.790000000000000036e+00,5.340758201816392159e+01,-2.967555837329094448e+00,1.000000000009506948e+03,1.104370843468550767e+01,-4.176659018639841382e-16,6.522153693858112526e-23,-2.857300111374899034e-07,-1.301215656588464251e-03,-9.809639302447617837e+00,8.902634540061613677e+01,-2.221383100562145829e-06,9.290962708181269462e-15,4.232226798869385720e-05,-2.594739225706254454e-03,-3.356144439648394220e-03
1.989999999999999991e+00,5.340758235534311638e+01,-2.967522634793413161e+00,1.000000000013038516e+03,1.104370843449300743e+01,-3.785120365288700111e-16,2.625802136488326330e-23,-2.502482104140137427e-07,-1.299981153098259731e-03,-9.809638852889275284e+00,8.902637192547197742e+01,-2.234314472281139046e-06,1.035016345066670452e-14,4.232111484811378369e-05,-2.597073093774642655e-03,-3.349739706335736443e-03
2.189999999999999947e+00,5.340758269251311674e+01,-2.967489432257205628e+00,1.000000000013872977e+03,1.104370843481015463e+01,-9.126033262418481789e-17,-8.936197593532815388e-23,-3.043337207166828029e-07,-1.300201595049172657e-03,-9.809640324414225176e+00,8.902639859355754481e+01,-2.558018766752637480e-06,1.583152777644720390e-14,4.231993726556844664e-05,-2.589440152252730967e-03,-3.350883363921455717e-03
2.390000000000000124e+00,5.340758302967389426e+01,-2.967456229720472294e+00,1.000000000014844090e+03,1.104370843543994951e+01,3.428197896500247245e-16,-9.133838614558900477e-23,-3.039950593762567392e-07,-1.299730184284293363e-03,-9.809640239418811802e+00,8.902642517318693649e+01,-2.554550670903871038e-06,2.324526642522001469e-14,4.231878205167709678e-05,-2.589882636607445093e-03,-3.348437626017251173e-03
