# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.795124068581760923e+01,8.326672684688674053e-16,0.000000000000000000e+00,-2.585857647812066034e-07,-2.086420680819034684e-03,-9.808983809209037119e+00,8.902610607682565558e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.233280368746293501e-05,-2.730216800670662303e-03,-3.280078520060841687e-03
1.900000000000000022e-01,5.340757952080203808e+01,-2.967801728699347219e+00,1.000000000947155058e+03,1.795124064580409140e+01,1.929451317302110666e-11,-9.370938303237899433e-13,-1.156946465816346858e-07,-2.110254633129454455e-03,-9.809010769294010501e+00,8.902614753635262446e+01,-4.109316596217663056e-07,1.219017553873884959e-09,6.415023374460877055e-09,6.985349911936673763e-06,2.150712008580347144e-04
3.900000000000000133e-01,5.340758006899092436e+01,-2.967747758907951727e+00,1.000000001923181117e+03,1.795124060448222991e+01,8.140144909611077543e-11,-1.760958139111150667e-12,-2.162810245143479299e-07,-2.105649571959647415e-03,-9.809009356263125312e+00,8.902619084338148525e+01,-5.814375066515949736e-07,2.501366312565071693e-09,6.436712220080878164e-09,2.473797928219513284e-06,2.297694362084636119e-04
5.900000000000003020e-01,5.340758061715538219e+01,-2.967693789115287473e+00,1.000000002878652367e+03,1.795124056374281807e+01,1.864672412246645618e-10,-2.437247046925711212e-12,-1.782086833228464683e-07,-2.112403503452933966e-03,-9.809006471838399577e+00,8.902623390590339625e+01,-5.161978926921028984e-07,3.783486071319192397e-09,6.420135884867417311e-09,-6.734068035847336840e-06,2.082126647835410324e-04
7.900000000000000355e-01,5.340758116529562471e+01,-2.967639819321366446e+00,1.000000003810040653e+03,1.795124052525767411e+01,3.343863055842128006e-10,-2.911442948889936995e-12,-2.058533084921785949e-07,-2.112236168975726615e-03,-9.809009384634956419e+00,8.902627711861511273e+01,-3.304802668428327134e-07,5.065682163385669202e-09,6.408667732574455704e-09,2.561317761222175359e-06,2.087468085795344337e-04
9.899999999999999911e-01,5.340758171341140326e+01,-2.967585849526181097e+00,1.000000004724599421e+03,1.795124048298948338e+01,5.252187169423709723e-10,-3.214255999864971440e-12,-2.027936880050348324e-07,-2.108639344791916632e-03,-9.809007621714243896e+00,8.902632050634217364e+01,-4.344179949449407684e-07,6.347827366577241663e-09,6.423742567219796807e-09,-3.066993269473326315e-06,2.202270090182859052e-04
1.190000000000000835e+00,5.340758226150293098e+01,-2.967531879729729205e+00,1.000000005623319225e+03,1.795124044544553499e+01,7.589764511615677597e-10,-3.232744265918487311e-12,-4.517419218722912190e-08,-2.111888718506542591e-03,-9.809011013887895203e+00,8.902636363747593862e+01,-3.333510609427591425e-07,7.629819903144105230e-09,6.402372409333484613e-09,7.758404218524199856e-06,2.098558908346994127e-04
1.389999999999999902e+00,5.340758280957015103e+01,-2.967477909932020985e+00,1.000000006508082151e+03,1.795124040208117222e+01,1.035646477595049370e-09,-3.087590975523930395e-12,-2.351876559255447427e-07,-2.109663257051592154e-03,-9.809007919993138813e+00,8.902640691233432335e+01,-4.127467640118213515e-07,8.911939661898225933e-09,6.414277169073402110e-09,-2.118005548338847161e-06,2.169590522979134711e-04
1.590000000000000080e+00,5.340758335761300657e+01,-2.967423940133046667e+00,1.000000007367692888e+03,1.795124036135354473e+01,1.355328581224309399e-09,-2.785048176148042164e-12,-2.229356140163784487e-07,-2.109558182485685076e-03,-9.809010160038205584e+00,8.902645011295902577e+01,-1.727535577454376391e-07,1.019388130959018516e-08,6.409227015581674899e-09,5.030155179955312419e-06,2.172944785418394660e-04
1.790000000000000036e+00,5.340758390563149050e+01,-2.967369970332804474e+00,1.000000008213333786e+03,1.795124032150560467e+01,1.717814415729681461e-09,-2.213915177893361827e-12,-1.350540828817507822e-07,-2.111428846702573768e-03,-9.809010191139186929e+00,8.902649341601711797e+01,-3.983227449758846949e-07,1.147607740165666196e-08,6.406011291121202009e-09,5.127850966316196412e-06,2.113238513735845290e-04
