# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757899999999836e+01,-2.967852999999999852e+00,1.000000000000000000e+03,1.795124068581760923e+01,8.326672684688674053e-16,0.000000000000000000e+00,-2.585857647812066034e-07,-2.086420680819034684e-03,-9.808983809209037119e+00,8.902610607682565558e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.233280368746293501e-05,-2.730216800670662303e-03,-3.280078520060841687e-03
1.900000000000000022e-01,5.340757952079510318e+01,-2.967801728699289043e+00,1.000000000014551915e+03,1.795124067946797197e+01,1.881035010293479532e-15,2.646977960169688560e-23,-1.180872647266011100e-07,-2.110254630983539933e-03,-9.809010769294177479e+00,8.902614851759786063e+01,-1.618150994470746951e-06,1.838703008653991023e-15,4.233086165317686514e-05,-2.644168531376983773e-03,-3.356150385394346229e-03
3.900000000000000133e-01,5.340758006897668508e+01,-2.967747758907710143e+00,1.000000000017229468e+03,1.795124068177338827e+01,1.422256409866484914e-15,0.000000000000000000e+00,-2.171287048338917835e-07,-2.105649569818697237e-03,-9.809009356263294066e+00,8.902619158914244224e+01,-1.619073568946076011e-06,7.777073147974371842e-15,4.232899203054318025e-05,-2.648680082939363755e-03,-3.341452180542615110e-03
5.900000000000003020e-01,5.340758061713393090e+01,-2.967693789114740799e+00,1.000000000021886081e+03,1.795124068259433159e+01,1.526556658859613909e-15,-3.308722450212000203e-23,-1.759029831174725392e-07,-2.112403501305384033e-03,-9.809006471838552343e+00,8.902623503703901520e+01,-1.524391125262336544e-06,5.381926493785084894e-15,4.232710689693125814e-05,-2.657887948358527829e-03,-3.363008982277398539e-03
7.900000000000000355e-01,5.340758116526683352e+01,-2.967639819320380568e+00,1.000000000027008355e+03,1.795124068595267985e+01,9.609248880475398252e-16,5.293955920339377119e-23,-2.067308641368958599e-07,-2.112236166851585908e-03,-9.809009384635100304e+00,8.902627822167366389e+01,-1.562931319204481483e-06,3.585145336735402524e-16,4.232522746792172843e-05,-2.648592562116606260e-03,-3.362474868764363679e-03
9.899999999999999911e-01,5.340758171337542137e+01,-2.967585849524629449e+00,1.000000000030888827e+03,1.795124068691907127e+01,1.276756478318930021e-15,1.058791184067875424e-22,-2.017438504964674459e-07,-2.108639342653065470e-03,-9.809007621714401992e+00,8.902632140221452062e+01,-1.521503394277040749e-06,1.582645084087892563e-14,4.232335173439049573e-05,-2.654220872780187201e-03,-3.350994698761346462e-03
1.190000000000000835e+00,5.340758226145967313e+01,-2.967531879727487887e+00,1.000000000034458935e+03,1.795124068792985028e+01,-9.159339953158910132e-16,0.000000000000000000e+00,-4.783152389844598558e-08,-2.111888716351426228e-03,-9.809011013888067509e+00,8.902636473789213767e+01,-1.674300318328041348e-06,-8.595707183440111095e-15,4.232145953456846878e-05,-2.643395474808060697e-03,-3.361365847292658183e-03
1.389999999999999902e+00,5.340758280951958881e+01,-2.967477909928955881e+00,1.000000000039115548e+03,1.795124069115151855e+01,1.975237568058335307e-16,-5.293955920339377119e-23,-2.344627897803103641e-07,-2.109663254926960520e-03,-9.809007919993284474e+00,8.902640789036703950e+01,-1.622859155033450092e-06,8.138428096338429080e-15,4.231958721556238878e-05,-2.653271884124641135e-03,-3.354262716222891107e-03
1.590000000000000080e+00,5.340758335755518260e+01,-2.967423940129032545e+00,1.000000000043772161e+03,1.795124069287831858e+01,-3.053113317719180486e-16,-1.323488980084844280e-22,-2.246586732404257280e-07,-2.109558180374860540e-03,-9.809010160038347692e+00,8.902645105909711276e+01,-1.481463769830701192e-06,9.758039548219116903e-15,4.231771836492812520e-05,-2.646123722922228815e-03,-3.353927320184696501e-03
1.790000000000000036e+00,5.340758390556644031e+01,-2.967369970327719653e+00,1.000000000047497451e+03,1.795124069371318498e+01,-3.885780586188046412e-16,0.000000000000000000e+00,-1.368105759434058548e-07,-2.111428844564638540e-03,-9.809010191139345025e+00,8.902649445454837007e+01,-1.693123506446637584e-06,-8.742244562162795297e-15,4.231581821025863770e-05,-2.646026026751819617e-03,-3.359897977904955507e-03
1.989999999999999991e+00,5.340758445355336903e+01,-2.967316000525015429e+00,1.000000000051843585e+03,1.795124069484564444e+01,-1.720845688168992638e-15,2.646977960169688560e-23,-1.379408207059437674e-07,-2.106302698132086430e-03,-9.809009449221960608e+00,8.902653750999748183e+01,-1.655388376577266335e-06,9.902697851295241130e-15,4.231394887256655844e-05,-2.648395556203338597e-03,-3.343536603286346477e-03
2.189999999999999947e+00,5.340758500151596166e+01,-2.967262030720921206e+00,1.000000000057742000e+03,1.795124069665551758e+01,-9.714451465469796296e-16,5.293955920339553443e-23,-2.438227849058253548e-07,-2.109574658727645692e-03,-9.809006321520275407e+00,8.902658086264410997e+01,-1.811279504187496782e-06,1.057172186295360902e-14,4.231205596784611835e-05,-2.658379874961603814e-03,-3.353979841420862661e-03
2.390000000000000124e+00,5.340758554945421821e+01,-2.967208060915435652e+00,1.000000000061156811e+03,1.795124069739403083e+01,1.387778780781011802e-16,0.000000000000000000e+00,-1.316725824033396290e-07,-2.110051294844581850e-03,-9.809006580987125190e+00,8.902662404431949028e+01,-1.628337800254259222e-06,1.316608380623670164e-14,4.231018893066379737e-05,-2.657553229072553026e-03,-3.355501117288086678e-03
2.589999999999999858e+00,5.340758609736815288e+01,-2.967154091108560987e+00,1.000000000064261258e+03,1.795124069961192959e+01,-1.333919747146376174e-15,3.308722450212184168e-23,-1.134882432645318552e-07,-2.111432284387736343e-03,-9.809008450851218086e+00,8.902666741001583262e+01,-1.642272441019689084e-06,2.230875025112619935e-15,4.230830186241321450e-05,-2.651586616697152159e-03,-3.359908859550357531e-03
