# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757900000005520e+01,-2.967852999999999852e+00,1.000000000009313226e+03,1.003948036844965657e+02,-6.883382752675970551e-15,0.000000000000000000e+00,-3.746985536915152949e-07,-1.168131212577307176e-02,-9.800248379201365267e+00,8.902610693347392612e+01,-3.978729867587947321e-06,-3.791516639546781369e-22,4.233253676815961782e-05,-3.428538403067215093e-03,-3.307604620769009993e-03
1.900000000000000022e-01,5.340758191234051822e+01,-2.967566258122282363e+00,9.999999998603016138e+02,1.003948037128944719e+02,1.112252603885781132e-10,-4.709479997512912904e-12,-1.354524891331161814e-06,-1.176477588984287288e-02,-9.800314028744576689e+00,8.902633673897035749e+01,-4.233616922390311703e-06,6.930708539720972185e-09,3.656217299233046638e-08,-1.031175321711865038e-06,1.211028716928040216e-03
3.900000000000000133e-01,5.340758497722011811e+01,-2.967264424524408195e+00,9.999999997047707438e+02,1.003948037591012223e+02,4.709226944908597596e-10,-9.859477721794009716e-12,-1.170589114470446298e-06,-1.176103904225405013e-02,-9.800316803571437418e+00,8.902657853343613681e+01,-4.222051687679823948e-06,1.422433109081565667e-08,3.655336129016604758e-08,5.509156960157619766e-07,1.213161845843497384e-03
5.919999999999999707e-01,5.340758807197595814e+01,-2.966959572546436164e+00,9.999999995436519384e+02,1.003948038061793255e+02,1.087983111551815644e-09,-1.455436813413814659e-11,-1.737235923480398592e-07,-1.176175905215843219e-02,-9.800321410864166083e+00,8.902682267512989256e+01,-4.148724610165181479e-06,2.158871462246354269e-08,3.654131690876408402e-08,3.178795715904820688e-06,1.212751431504201921e-03
7.900000000000000355e-01,5.340759110469603144e+01,-2.966660757198279708e+00,9.999999993788078427e+02,1.003948038467803059e+02,1.939268972570201772e-09,-1.932192971871020837e-11,-9.364280498921726483e-08,-1.177035692278660499e-02,-9.800321478348292814e+00,8.902706202563634008e+01,-4.290560301185362083e-06,2.880567308351622932e-08,3.653495763530674428e-08,3.215802023922852577e-06,1.207845073068877263e-03
9.899999999999999911e-01,5.340759416729245856e+01,-2.966358923470048037e+00,9.999999992186203599e+02,1.003948038910192793e+02,3.047373657150648748e-09,-2.400236646672151627e-11,1.833091945877118049e-07,-1.179087913686388545e-02,-9.800317842933383261e+00,8.902730376680604252e+01,-4.197559177522059321e-06,3.609397774718350708e-08,3.652075674645938670e-08,1.139539323655355193e-06,1.196133441907375758e-03
1.191999999999999948e+00,5.340759725974238137e+01,-2.966054071360448408e+00,9.999999990463256836e+02,1.003948039311939340e+02,4.419592871445134783e-09,-2.844351564649789769e-11,-1.047786230899820434e-06,-1.175573240979178695e-02,-9.800293193184666407e+00,8.902754803738029921e+01,-4.312449947169566274e-06,4.345327239134105304e-08,3.652332292467023915e-08,-1.292970840311287746e-05,1.216192338815787113e-03
1.389999999999999902e+00,5.340760029020222532e+01,-2.965755255883301356e+00,9.999999988852068782e+02,1.003948039771826899e+02,6.011405998550739441e-09,-3.283253513983571065e-11,-2.201888075905800395e-07,-1.175358107860638782e-02,-9.800322343237978018e+00,8.902778732462475375e+01,-4.272704056537126541e-06,5.066509107602849608e-08,3.650933695397378916e-08,3.704855945735082354e-06,1.217420600386865531e-03
1.590000000000000080e+00,5.340760335051557206e+01,-2.965453422024815211e+00,9.999999987185001373e+02,1.003948040178964334e+02,7.866893801516646701e-09,-3.682410777452576603e-11,-9.929757115321909540e-07,-1.174633404996993161e-02,-9.800281337987934549e+00,8.902802915070600420e+01,-4.259225730907958094e-06,5.794769618570659323e-08,3.650545289710062815e-08,-1.969854354201918374e-05,1.221557003921448304e-03
1.790000000000000036e+00,5.340760641006789200e+01,-2.965151588122929116e+00,9.999999985406175256e+02,1.003948040609521684e+02,9.971038850525794437e-09,-4.085048190050121018e-11,-4.923881446879773332e-07,-1.176635188388770910e-02,-9.800370869910089766e+00,8.902827086001347823e+01,-4.213323482300764687e-06,6.522852018476307228e-08,3.648270137598384055e-08,3.139622574164880551e-05,1.210133226552304432e-03
