# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.340757899999999836e+01,-2.967852999999999852e+00,1.000000000000000000e+03,1.003948036844965657e+02,-6.883382752675970551e-15,0.000000000000000000e+00,-3.746985536915152949e-07,-1.168131212577307176e-02,-9.800248379201365267e+00,8.902610693347392612e+01,-3.978729867587947321e-06,-3.791516639546781369e-22,4.233253676815961782e-05,-3.428538403067215093e-03,-3.307604620769009993e-03
1.900000000000000022e-01,5.340758191233657470e+01,-2.967566258122337874e+00,1.000000000013038516e+03,1.003948037284497303e+02,-1.088018564132653410e-14,1.694065894508600678e-21,-1.354261136506232149e-06,-1.176477587759682149e-02,-9.800314028750701567e+00,8.902633707792787732e+01,-4.470566005017016312e-06,3.791516639546783720e-22,4.232249890367389944e-05,-3.391073341125600514e-03,-3.355237641733701832e-03
3.900000000000000133e-01,5.340758497721195397e+01,-2.967264424524494348e+00,1.000000000015832484e+03,1.003948037818059760e+02,-5.551115123125782702e-15,0.000000000000000000e+00,-1.170867468712981753e-06,-1.176103902996255939e-02,-9.800316803577610258e+00,8.902657885676514127e+01,-4.465558442240228588e-06,0.000000000000000000e+00,4.231198778756240002e-05,-3.389491249800491608e-03,-3.353104868272225800e-03
5.919999999999999707e-01,5.340758807196359470e+01,-2.966959572546529866e+00,1.000000000018683522e+03,1.003948038301395798e+02,8.476774837617995647e-15,1.761828530288944859e-22,-1.749018210348506934e-07,-1.176175903957104099e-02,-9.800321410870537875e+00,8.902682300510210212e+01,-4.419928079724932856e-06,1.588288576508821791e-14,4.230137601651787660e-05,-3.386863369411246757e-03,-3.353515641448786069e-03
7.900000000000000355e-01,5.340759110467959658e+01,-2.966660757198355647e+00,1.000000000022351742e+03,1.003948038794033977e+02,-7.549516567451064475e-15,0.000000000000000000e+00,-9.483297855366256898e-08,-1.177035691016622976e-02,-9.800321478354657501e+00,8.902706238234740965e+01,-4.545577761007283055e-06,-3.791516639546783720e-22,4.229096093097951229e-05,-3.386826362745639415e-03,-3.358422351655037785e-03
9.899999999999999911e-01,5.340759416727185993e+01,-2.966358923470082676e+00,1.000000000022351742e+03,1.003948039303678286e+02,-1.021405182655144017e-14,0.000000000000000000e+00,1.828317638792272860e-07,-1.179087912415431420e-02,-9.800317842939740842e+00,8.902730419378906390e+01,-4.450227146271079531e-06,0.000000000000000000e+00,4.228045262219855277e-05,-3.388902625101057782e-03,-3.370134337906072804e-03
1.191999999999999948e+00,5.340759725971757632e+01,-2.966054071360418209e+00,1.000000000027202077e+03,1.003948039873877747e+02,2.620126338115369593e-15,-1.761828530288944859e-22,-1.043448539203406105e-06,-1.175573239739526044e-02,-9.800293193190880103e+00,8.902754833526087452e+01,-4.450280128769866020e-06,-4.389839311505946513e-14,4.226983931525906942e-05,-3.402971872501234750e-03,-3.350075799683562526e-03
1.389999999999999902e+00,5.340760029017328492e+01,-2.965755255883182340e+00,1.000000000031664968e+03,1.003948040353406412e+02,1.110223024625156540e-15,-1.694065894508600678e-21,-2.215478797675787728e-07,-1.175358106603833185e-02,-9.800322343244362244e+00,8.902778762388962264e+01,-4.535135859011082318e-06,0.000000000000000000e+00,4.225943172004623750e-05,-3.386337307775074638e-03,-3.348847889533074652e-03
1.590000000000000080e+00,5.340760335048244656e+01,-2.965453422024577179e+00,1.000000000032596290e+03,1.003948040890834790e+02,-9.547918011776346248e-15,3.388131789017201356e-21,-9.863208066829157270e-07,-1.174633403753264950e-02,-9.800281337994178443e+00,8.902802942515484119e+01,-4.381237759573820716e-06,0.000000000000000000e+00,4.224892849014266690e-05,-3.409740706944561130e-03,-3.344711840852689771e-03
1.790000000000000036e+00,5.340760641003056719e+01,-2.965151588122549864e+00,1.000000000037252903e+03,1.003948041378621951e+02,1.021405182655144017e-14,0.000000000000000000e+00,-5.032292520527035812e-07,-1.176635187156141286e-02,-9.800370869916374517e+00,8.902827120300719344e+01,-4.641904725536588241e-06,3.791516639546784660e-22,4.223840082568607577e-05,-3.358645937277989109e-03,-3.356135973040801686e-03
1.989999999999999991e+00,5.340760946881765392e+01,-2.964849754177111052e+00,1.000000000040046871e+03,1.003948041937763946e+02,7.327471962526033167e-15,0.000000000000000000e+00,-2.963643722406303794e-07,-1.179641816111852252e-02,-9.800325351725323486e+00,8.902851301467110545e+01,-4.546553163922720685e-06,0.000000000000000000e+00,4.222789205916071208e-05,-3.384624891700447995e-03,-3.373294807868413864e-03
2.189999999999999947e+00,5.340761252684370675e+01,-2.964547920188270957e+00,1.000000000042840838e+03,1.003948042511686936e+02,-3.996802888650563546e-15,1.694065894508600678e-21,-1.007900670724280311e-06,-1.177962705718223549e-02,-9.800326229240717169e+00,8.902875476231059793e+01,-4.498766638889144378e-06,0.000000000000000000e+00,4.221738541905462153e-05,-3.384125601327059741e-03,-3.363711910425057523e-03
2.390000000000000124e+00,5.340761558410871856e+01,-2.964246086156041571e+00,1.000000000043772161e+03,1.003948042965995739e+02,7.549516567451064475e-15,1.694065894508600678e-21,-8.504015100366376853e-07,-1.178156549885954994e-02,-9.800313192034591836e+00,8.902899652121793395e+01,-4.376356031903463549e-06,0.000000000000000000e+00,4.220688182682797790e-05,-3.391567507175314612e-03,-3.364818051861610815e-03
2.589999999999999858e+00,5.340761864061268227e+01,-2.963944252080437547e+00,1.000000000048428774e+03,1.003948043411719766e+02,-1.998401444325281773e-15,1.694065894508600678e-21,-2.794675621020474565e-11,-1.176674814800495600e-02,-9.800300984832748696e+00,8.902923824707112033e+01,-4.477100058231624422e-06,0.000000000000000000e+00,4.219636731516590057e-05,-3.398535725352204353e-03,-3.356361584796382306e-03
2.790000000000000036e+00,5.340762169635561918e+01,-2.963642417961465991e+00,1.000000000051222742e+03,1.003948043910417596e+02,-5.329070518200751394e-15,0.000000000000000000e+00,4.031027163922792835e-07,-1.175566096142370044e-02,-9.800286014426754733e+00,8.902947997363727950e+01,-4.444980328424092040e-06,0.000000000000000000e+00,4.218586040210500131e-05,-3.407080916278396304e-03,-3.350033940454038520e-03
