# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,4.340546896540666921e+01,0.000000000000000000e+00,3.552713678800500929e-15,-7.973668455461765170e+00,-2.179042104927065692e-03,-6.766802628965049138e+00,6.343494879396932618e+01,-4.965663832040946346e+01,0.000000000000000000e+00,1.176498575849867353e-03,5.786895562084234390e-01,-1.452239226788005393e-03
1.900000000000000022e-01,2.159249387781147627e-05,4.289576333793328341e-05,9.372664204146713018e+01,4.330603938971125899e+01,1.794679967550990763e-08,-2.465145842123206421e-05,-7.968988220368546038e+00,-3.182165761162570727e-03,-6.786062728969831426e+00,6.343474235396693217e+01,-4.954522490860576767e+01,2.056824764735656996e-07,-1.602291898911660213e-03,5.900871203391523379e-01,-1.367193770422202000e-03
3.900000000000000133e-01,4.432137534647454837e-05,8.804825249632508522e-05,8.715004848688840866e+01,4.319978439658323310e+01,4.710154082073786104e-08,-5.023448354890547307e-05,-7.963893122657091261e+00,-4.238124971327248899e-03,-6.806338850235321480e+00,6.343410158168435231e+01,-4.942641146219058612e+01,4.341945927841147909e-07,-3.249013256903925898e-03,5.979555162687888448e-01,-2.783035245376041644e-03
5.919999999999999707e-01,6.727733944350084089e-05,1.336501382219544402e-04,8.053611117228865623e+01,4.309082120619740408e+01,8.810115865991904799e-08,-7.570659978739513463e-05,-7.958626182589241260e+00,-5.304622439563185486e-03,-6.827134233846782863e+00,6.343301347807263824e+01,-4.930479174112397089e+01,6.771937285577309235e-07,-4.906440216707213565e-03,6.061303435720951649e-01,-4.220376966326867124e-03
7.900000000000000355e-01,8.977838624388524366e-05,1.783458101285034531e-04,7.408123222086578608e+01,4.298242297117435129e+01,1.404055891597952121e-07,-1.002857830521008964e-04,-7.953042227819511645e+00,-6.350015390379225994e-03,-6.847583439237521219e+00,6.343151677634119778e+01,-4.918398322423139035e+01,9.269883356860122087e-07,-6.525443562856015831e-03,6.140527713349344108e-01,-5.636675518275635795e-03
9.899999999999999911e-01,1.125062274781610331e-04,2.234885950657769667e-04,6.758975240401923656e+01,4.287134081044587219e+01,2.062577916611290967e-07,-1.246974182542714971e-04,-7.947282822286461546e+00,-7.406017568498188611e-03,-6.868603322060663707e+00,6.342957249412889809e+01,-4.906032894820749846e+01,1.190676699773736601e-06,-8.155181263399221767e-03,6.223736973677650441e-01,-7.074999135466109035e-03
1.191999999999999948e+00,1.354607021459978456e-04,2.690772028289813655e-04,6.106290861405432224e+01,4.275754084700399460e+01,2.868989828936411151e-07,-1.489643899184045495e-04,-7.941052301972685967e+00,-8.472664179311183499e-03,-6.889947933337371211e+00,6.342716740126599717e+01,-4.893376104402886995e+01,1.468297420032518174e-06,-9.795488221847916538e-03,6.307536859625358927e-01,-8.535847866027561348e-03
1.389999999999999902e+00,1.579598610288200438e-04,3.137564690776151795e-04,5.469449447747319937e+01,4.264443920291855505e+01,3.805414286579286431e-07,-1.723417708738850251e-04,-7.934696320271381609e+00,-9.518310189774632085e-03,-6.911111609128349542e+00,6.342437923025634205e+01,-4.880804278761117132e+01,1.751139440634140298e-06,-1.139773613638784405e-02,6.390899419746831622e-01,-9.975981408369038322e-03
1.590000000000000080e+00,1.806853651253944736e-04,3.588792752725198298e-04,4.829144940339028835e+01,4.252864479544469134e+01,4.906115910673494142e-07,-1.955405538041077307e-04,-7.927922753485294294e+00,-1.057467054994536831e-02,-6.932602346225289480e+00,6.342112974525600322e+01,-4.867936879710661202e+01,2.047310020906090414e-06,-1.301055384913318326e-02,6.475111313118823153e-01,-1.143918023428197074e-02
1.790000000000000036e+00,2.034098019490096845e-04,4.039931392837369482e-04,4.191861278563737869e+01,4.241130593340261612e+01,6.170421950260232277e-07,-2.183232766128639923e-04,-7.920930576034891146e+00,-1.163122190345960635e-02,-6.954412427686618159e+00,6.341744461852444914e+01,-4.854897961889583513e+01,2.353702267813328108e-06,-1.461772707487942434e-02,6.561735212122992156e-01,-1.291121795368847282e-02
1.989999999999999991e+00,2.261330273853230926e-04,4.490969201399698171e-04,3.557634689100086689e+01,4.229243588112258578e+01,7.606256659371904991e-07,-2.406657005380452574e-04,-7.913621221783734505e+00,-1.268799837752698952e-02,-6.976429101478773376e+00,6.341332349210026109e+01,-4.841685336588046340e+01,2.670009753995622400e-06,-1.621924289521096268e-02,6.649368506402402179e-01,-1.439237104928299364e-02
2.189999999999999947e+00,2.488548973197930269e-04,4.941894771091513618e-04,2.926501225586980581e+01,4.217204851231233675e+01,9.221435096097743543e-07,-2.626536359713327329e-04,-7.906066575833837540e+00,-1.374503486345725334e-02,-6.998706056417888455e+00,6.340876596535574805e+01,-4.828296838282680881e+01,2.995924245537683117e-06,-1.781508474384936591e-02,6.738600432722966493e-01,-1.588291991011754611e-02
2.389999999999999680e+00,2.715752676331722711e-04,5.392696697165737458e-04,2.298496763594448566e+01,4.205015793389993917e+01,1.102366327499836638e-06,-2.841126527854953565e-04,-7.898096528114241899e+00,-1.480236826902452986e-02,-7.021111817009209055e+00,6.340377159490412851e+01,-4.814730236326840185e+01,3.331137101413221187e-06,-1.940523381863885205e-02,6.827791330284920246e-01,-1.738315123683423918e-02
2.589999999999999858e+00,2.942939942046529536e-04,5.843363577781663298e-04,1.673657003417611122e+01,4.192677826293220278e+01,1.302052391842147030e-06,-3.051648422172092978e-04,-7.889841938590596016e+00,-1.586003394684472323e-02,-7.043771751469622089e+00,6.339833989450865914e+01,-4.800983245665713639e+01,3.675336245596891272e-06,-2.098966400486071762e-02,6.918544529865273685e-01,-1.889335246354133246e-02
2.789999999999999591e+00,3.170109329332434643e-04,6.293884014699428330e-04,1.052017462160438299e+01,4.180192321722763893e+01,1.521950618869674361e-06,-3.257712659241462916e-04,-7.881254432610218963e+00,-1.691806473070679023e-02,-7.066635150800972376e+00,6.339247033496901906e+01,-4.787053440042043206e+01,4.028205301953418900e-06,-2.256833961332159466e-02,7.010359545634946565e-01,-2.041381151769234778e-02
2.989999999999999769e+00,3.397259396745295167e-04,6.744246612296113949e-04,4.336134780198335648e+00,4.167560763546477176e+01,1.762794629345263104e-06,-3.459675593617816958e-04,-7.872374546519159466e+00,-1.797649956878382901e-02,-7.089774043297421002e+00,6.338616234395212246e+01,-4.772938489179683330e+01,4.389432245346334655e-06,-2.414122911428207355e-02,7.103799446952414609e-01,-2.194482747450357887e-02
3.189999999999999947e+00,3.624388703344836021e-04,7.194439979696490338e-04,-1.815197961404919624e+00,4.154784693124946671e+01,2.025310642425118393e-06,-3.656698007290515307e-04,-7.863122210365943943e+00,-1.903537160411902449e-02,-7.113097827370825854e+00,6.337941530592918582e+01,-4.758636051267109224e+01,4.758699147529677910e-06,-2.570828608759992071e-02,7.198057699308203494e-01,-2.348669538416406008e-02
