# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,4.430019179806168950e+01,0.000000000000000000e+00,0.000000000000000000e+00,-1.703449790828767130e+00,-7.466930686764455946e-04,-9.699471701011695757e+00,5.313010228713559968e+01,-9.954771672854688447e+00,-8.072928508260608529e-16,2.451724183160402821e-03,8.960656368242572722e-02,-5.323775145486647460e-04
1.900000000000000022e-01,4.498425916578341967e-05,5.957716854821041154e-05,9.854623909927755676e+01,4.429708350423506147e+01,1.776356839400250465e-15,-1.480297366166875256e-15,-1.707802174524587269e+00,-4.382046285865232212e-03,-9.699186782093695669e+00,5.312963904497986078e+01,-9.937126964495478276e+00,-1.302819575379685438e-10,1.627846720361021769e-03,8.856556128825507357e-02,-5.235325483030932835e-03
3.900000000000000133e-01,9.233558938817748043e-05,1.222871260477151291e-04,9.701884151344005147e+01,4.429230959126078915e+01,3.552713678800500535e-15,-5.921189464667501220e-16,-1.712428513210735304e+00,-8.208907139650804471e-03,-9.698889034164979606e+00,5.312817115838919335e+01,-9.918772931587195529e+00,2.396265783371171026e-11,7.636276260578902207e-04,8.748485081066041669e-02,-1.018708182789214954e-02
5.919999999999999707e-01,1.401593120562476475e-04,1.856181533776281680e-04,9.547918381259012222e+01,4.428592416824140798e+01,3.552713678800500929e-15,0.000000000000000000e+00,-1.717134571307190383e+00,-1.207439276181919083e-02,-9.698581082235021356e+00,5.312566784352619464e+01,-9.900461563349615801e+00,0.000000000000000000e+00,-1.062782489939888942e-04,8.639653152708132167e-02,-1.519043879650853156e-02
7.900000000000000355e-01,1.870343658745167849e-04,2.476861943848586325e-04,9.397297225428634704e+01,4.427814004412159221e+01,5.773159728050814010e-15,4.440892098500626162e-16,-1.721762752568113397e+00,-1.586385501557664376e-02,-9.698162090823746695e+00,5.312221816471612357e+01,-9.882731100935924218e+00,-5.544075504906719645e-12,-9.562609355620513415e-04,8.519044846368514778e-02,-2.009748843554803183e-02
9.899999999999999911e-01,2.343806581274255924e-04,3.103691932633662032e-04,9.245453768750260792e+01,4.426874484328981652e+01,1.776356839400250465e-15,-8.881784197001252323e-16,-1.726484854851095152e+00,-1.969229267225934554e-02,-9.697788912457182775e+00,5.311773214795744025e+01,-9.865040537163448420e+00,6.573601434321269106e-12,-1.812303672783291018e-03,8.404647734163978035e-02,-2.505762922319278510e-02
1.191999999999999948e+00,2.821975354152500407e-04,3.736636872902079714e-04,9.092398907055461166e+01,4.425769275677168224e+01,0.000000000000000000e+00,-8.881784197001252323e-16,-1.731314746600429944e+00,-2.355990514882001091e-02,-9.697581756225911676e+00,5.311217890219952409e+01,-9.847395166717552328e+00,0.000000000000000000e+00,-2.674518115768943771e-03,8.312655074280939083e-02,-3.007172604197836871e-02
1.389999999999999902e+00,3.290641658145948621e-04,4.356868447046858802e-04,8.942676114646567953e+01,4.424533542969454913e+01,0.000000000000000000e+00,-1.036208156316681294e-15,-1.736044864211322647e+00,-2.735197364944749396e-02,-9.697161338146573328e+00,5.310573765310498828e+01,-9.830312887053755944e+00,-1.067966713798316176e-11,-3.517510317632678140e-03,8.195464547186949444e-02,-3.499152239357944394e-02
1.590000000000000080e+00,3.764002274189317101e-04,4.983153892636226802e-04,8.791745604807113068e+01,4.423132217297139590e+01,1.776356839400250465e-15,4.440892098500625669e-16,-1.740858204590476799e+00,-3.118357063705873289e-02,-9.696770088233158447e+00,5.309822734400231070e+01,-9.813272140031852331e+00,-3.341561476909266255e-11,-4.367040490715744065e-03,8.082219772559649795e-02,-3.996677675919658307e-02
1.790000000000000036e+00,4.237317250520795725e-04,5.609196759986010642e-04,8.641123091571671466e+01,4.421577082409507398e+01,1.776356839400250267e-15,0.000000000000000000e+00,-1.745741497040228518e+00,-3.501657324976205354e-02,-9.696515224968113245e+00,5.308970684883706781e+01,-9.796445268471506651e+00,1.801011032639072737e-12,-5.214764535572971593e-03,7.987911372895564743e-02,-4.494857210716517171e-02
