# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.118000000000006366e+01,6.800000000000000488e-01,9.144000000078231096e+02,7.035312839249600358e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.919235968086164701e-01,-7.666029714273398660e-03,-9.794240723807741134e+00,0.000000000000000000e+00,2.836532436643188326e+00,0.000000000000000000e+00,2.777014657329309865e-03,-2.175449022532460579e-03,-3.121617746685698656e-03
1.900000000000000022e-01,5.118011998844399102e+01,6.800000009232902709e-01,9.149851517258211970e+02,7.031274972535491941e+01,-2.691892568078503452e-10,1.812248822119499891e-07,3.566017689132155444e-01,-7.758620880054709588e-03,-9.801806683340343440e+00,2.213971076291448218e-04,2.037660003229087025e+00,-3.295054649996203571e-11,7.764619820615525565e-08,-1.175168060716758831e-04,-2.189141728728423448e-06
3.900000000000000133e-01,5.118024629478986043e+01,6.800000041309532950e-01,9.153407164104282856e+02,7.028204999629188876e+01,-3.728098119822668482e-10,4.064242156154307395e-07,1.906251308924178101e-01,-7.866072143566125996e-03,-9.806619235455546146e+00,1.241870761086724846e-03,1.066835290610399500e+00,-2.231477164514803478e-11,1.487205414392919805e-08,1.360318275691236613e-04,-8.099680007245189923e-07
5.919999999999999707e-01,5.118037386706629377e+01,6.800000093317007943e-01,9.155066289715468884e+02,7.027332941291625446e+01,-6.281472256621686182e-10,5.614225668804095903e-07,7.959637416344308991e-02,-7.939062248146281503e-03,-9.808148384137860276e+00,1.626007100338371135e-03,4.182004364914432837e-01,-4.300109929338674735e-11,5.993672339728480988e-09,2.097675939457013773e-04,-8.485399223397290151e-07
7.900000000000000355e-01,5.118049891595521217e+01,6.800000165150376086e-01,9.155454363282769918e+02,7.027301435691947518e+01,-7.776567468830599733e-10,6.651095553418572351e-07,7.706942669267803116e-03,-7.983533777150978242e-03,-9.808432557812921004e+00,2.438802618746173118e-03,1.686701304063271988e-04,-3.610565674397384101e-11,-1.798691577818583977e-10,2.284878155649091550e-04,1.277391525959678911e-06
9.899999999999999911e-01,5.118062523077451687e+01,6.800000258632606931e-01,9.155068818191066384e+02,7.027528056760770880e+01,-1.026395240259222672e-09,7.319741431865978143e-07,-3.575557970681206288e-02,-8.015990934284471583e-03,-9.808552106524125236e+00,2.848744018214752899e-03,-2.545653121398089302e-01,-4.862431997021424250e-11,-7.866657965527246719e-09,4.047450267267979954e-04,-1.733565910281298601e-06
1.191999999999999948e+00,5.118075281160906798e+01,6.800000373965274791e-01,9.154217895483598113e+02,7.027784557430324242e+01,-1.213154033527130656e-09,7.727000713719789360e-07,-6.019951712715618936e-02,-8.029763666716227891e-03,-9.808142740375958013e+00,3.540209326478870305e-03,-3.951297256535523106e-01,-4.231409948219062544e-11,2.535290235224836326e-10,1.819994924556039818e-04,5.765957014595119834e-08
1.389999999999999902e+00,5.118087786888677471e+01,6.800000504808790813e-01,9.153158149719238281e+02,7.027996820294546865e+01,-1.426268136072914407e-09,7.949383483696337294e-07,-7.064175587449673943e-02,-8.041513317346340312e-03,-9.807927619311092471e+00,4.096711666934019572e-03,-4.571966663401783593e-01,-3.959154467485785723e-11,-2.951574930440022256e-08,7.077010352272725753e-05,-3.682772447342711884e-06
1.590000000000000080e+00,5.118100419217955732e+01,6.800000660785466833e-01,9.152015063734725118e+02,7.028163223257172376e+01,-1.630566472718924762e-09,8.046809210071614871e-07,-7.213358486273847847e-02,-8.041970089556335285e-03,-9.808426053671583489e+00,4.708512595764690820e-03,-4.665327665113102040e-01,-3.017710281772584795e-11,-2.482429132766903898e-08,4.873168643566997207e-04,-3.035103742374596279e-06
1.790000000000000036e+00,5.118113051829672600e+01,6.800000842083245844e-01,9.150900379521772265e+02,7.028296275302285778e+01,-1.837660715087667311e-09,8.060643555962698770e-07,-6.740169068488724435e-02,-8.033097202961268779e-03,-9.808677403072671552e+00,5.310984782885899702e-03,-4.416462110916002382e-01,-1.714955084245128327e-11,1.601300368765050981e-08,6.643971323417927457e-04,2.089348602206612898e-06
