# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.117999999999999972e+01,6.800000000000000488e-01,9.143999999999999773e+02,7.035312839249600358e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.919235968086164701e-01,-7.666029714273398660e-03,-9.794240723807741134e+00,0.000000000000000000e+00,2.836532436643188326e+00,0.000000000000000000e+00,2.777014657329309865e-03,-2.175449022532460579e-03,-3.121617746685698656e-03
1.900000000000000022e-01,5.118011998842420951e+01,6.800000009116444755e-01,9.149880947545170784e+02,7.031274720740866258e+01,5.421010862427522170e-20,6.537287354718468022e-16,3.566018091244861909e-01,-7.758619127024076606e-03,-9.801806682049523545e+00,2.214031138378718625e-04,2.037657150411609663e+00,-7.587831263754204221e-22,2.733292776520234845e-03,-7.490514187754367809e-04,-3.162230672305824976e-03
3.900000000000000133e-01,5.118024629474516018e+01,6.800000040656272171e-01,9.153472325019538403e+02,7.028204727795500162e+01,0.000000000000000000e+00,-3.692539497727823361e-16,1.906250843229243264e-01,-7.866070387175431652e-03,-9.806619236536661788e+00,1.241874046106878314e-03,1.066831930719231769e+00,-1.516869593270373063e-21,2.679289330754012783e-03,-4.955635637851132924e-04,-3.206727374273584709e-03
5.919999999999999707e-01,5.118037386699658953e+01,6.800000092461714329e-01,9.155155305285006762e+02,7.027332680073590154e+01,-4.336808689942017736e-19,6.999106200492310879e-17,7.959630233985678927e-02,-7.939060489773075782e-03,-9.808148384896780314e+00,1.626010502441293214e-03,4.181969291526194121e-01,0.000000000000000000e+00,2.642808759416430744e-03,-4.218596201081387348e-04,-3.236902571655637158e-03
7.900000000000000355e-01,5.118049891586122868e+01,6.800000163867538916e-01,9.155558745786547661e+02,7.027301250390895859e+01,4.336808689942017736e-19,-2.119001752309651806e-20,7.706864433684501407e-03,-7.983532084835313902e-03,-9.808432558043843841e+00,2.438801808027017681e-03,1.651253749040928391e-04,0.000000000000000000e+00,2.619114973506054492e-03,-4.031905327016174572e-04,-3.253989133275147529e-03
9.899999999999999911e-01,5.118062523065623992e+01,6.800000257134130033e-01,9.155182559574022889e+02,7.027527852946616349e+01,-4.336808689942017736e-19,7.864984741603860906e-18,-3.575571829559879428e-02,-8.015989241989098305e-03,-9.808552106191003261e+00,2.848749269012582856e-03,-2.545692093854668991e-01,7.583108127579750203e-22,2.604601447739988106e-03,-2.269661813855470937e-04,-3.268623686914476703e-03
1.191999999999999948e+00,5.118075281146637678e+01,6.800000372103028878e-01,9.154336794950067997e+02,7.027784440477987005e+01,0.000000000000000000e+00,-7.878741272178500602e-17,-6.019957944302176817e-02,-8.029762007462437970e-03,-9.808142740157597572e+00,3.540211034724762267e-03,-3.951331773835793371e-01,-1.516642721429950439e-21,2.596579687428228825e-03,-4.497575916463691145e-04,-3.273227753555480683e-03
1.389999999999999902e+00,5.118087786872027323e+01,6.800000502653792411e-01,9.153279319237917662e+02,7.027996677242326484e+01,0.000000000000000000e+00,1.065541039904854071e-16,-7.064178010535247798e-02,-8.041511590962417341e-03,-9.807927619303889344e+00,4.096720895309496555e-03,-4.571998955871613424e-01,0.000000000000000000e+00,2.592995318967456463e-03,-5.610263998570750275e-04,-3.279792322784884449e-03
1.590000000000000080e+00,5.118100419198926687e+01,6.800000658308631429e-01,9.152136562820523977e+02,7.028163069492674708e+01,0.000000000000000000e+00,-1.079187117052299561e-16,-7.213375172282068815e-02,-8.041968430903068468e-03,-9.808426052614365176e+00,4.708520568206872071e-03,-4.665368288271756758e-01,-3.033313868463423235e-21,2.592458788548986266e-03,-1.445217254632221501e-04,-3.279581247901668540e-03
1.790000000000000036e+00,5.118113051808285974e+01,6.800000839289479515e-01,9.151020948728546500e+02,7.028296037770010685e+01,0.000000000000000000e+00,-9.686173551767443180e-17,-6.740191818409836666e-02,-8.033095475064507343e-03,-9.808677401690887976e+00,5.310982545769562906e-03,-4.416506275429358808e-01,0.000000000000000000e+00,2.593915231501210152e-03,3.251688307889376051e-05,-3.273344404783754772e-03
1.989999999999999991e+00,5.118125684700105182e+01,6.800001038849233792e-01,9.149997401405125856e+02,7.028412227884169283e+01,0.000000000000000000e+00,-2.792653978617321093e-17,-6.086876394672579432e-02,-8.033169062419326378e-03,-9.807995903568475171e+00,5.819762711295930167e-03,-3.957533864785300337e-01,0.000000000000000000e+00,2.596501011611622011e-03,-5.701718618666816061e-04,-3.275369270179275417e-03
2.189999999999999947e+00,5.118138317874385024e+01,6.800001254516716553e-01,9.149103971626609564e+02,7.028524040526660599e+01,-8.673617379884035472e-19,4.588087134881538824e-17,-4.956451141699799029e-02,-8.023351860173581415e-03,-9.808384235122039385e+00,6.320026792560434238e-03,-3.382078477453075993e-01,3.033266156328005827e-21,2.599799250678527709e-03,-3.053243352733979584e-04,-3.269865914109154528e-03
2.390000000000000124e+00,5.118150951331124077e+01,6.800001489079995354e-01,9.148359784418717027e+02,7.028640095139415678e+01,0.000000000000000000e+00,1.913652237767132596e-17,-3.864069850833978803e-02,-8.007106457078994391e-03,-9.808869681094357418e+00,6.968707480566136564e-03,-2.755588470129707868e-01,0.000000000000000000e+00,2.603402764123541671e-03,4.333355013129236113e-05,-3.259353904051121281e-03
2.589999999999999858e+00,5.118163585070318788e+01,6.800001745017129062e-01,9.147770826332271099e+02,7.028764433254605137e+01,0.000000000000000000e+00,1.291510591193850506e-17,-2.899535804489743185e-02,-8.008881741683848698e-03,-9.808360009969357307e+00,7.679856995204084602e-03,-2.123188032105943757e-01,3.033234137696336195e-21,2.606965273216849469e-03,-4.099059446625868291e-04,-3.263555201888943946e-03
2.790000000000000036e+00,5.118176219091967027e+01,6.800002025965067309e-01,9.147334142429754138e+02,7.028897948696555886e+01,-1.734723475976807094e-18,5.860855881346469106e-18,-1.778688025198934403e-02,-8.002391731500904312e-03,-9.808639859563145436e+00,8.371453257918435795e-03,-1.515175393251272096e-01,0.000000000000000000e+00,2.610419541019424246e-03,-2.088831048298550412e-04,-3.260903355691371214e-03
