# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,3.000000000000518341e+01,-4.000000000000000000e+01,1.000000000033155084e+04,2.401118478001480128e+02,-1.443289932012703503e-14,0.000000000000000000e+00,2.784973412819162419e+01,-5.958250401853393274e-02,-3.178356977863394661e-02,-9.039794051913803230e+01,2.502791327910147601e+01,-1.755075820618513371e-15,5.723902871437791182e-03,-2.104741052617465691e+00,-1.231875416548659959e-02
1.900000000000000022e-01,2.999999737853791970e+01,-4.000043243851363428e+01,1.001933715268224478e+04,2.445956631947054234e+02,-9.724656005078999172e-06,1.563772875741165080e-03,2.758223113256170222e+01,-1.079882824747090408e-01,1.033559973141962018e-02,-9.040032715912816741e+01,2.463509002662886971e+01,-2.021564372203829091e-07,1.032657422240593550e-02,-2.084784254025834560e+00,-2.251888682047148080e-02
3.900000000000000133e-01,2.999999455129242421e+01,-4.000089778698934850e+01,1.003976326222531497e+04,2.493321895964234329e+02,-5.431548557607241799e-07,3.208075878063709752e-03,2.782274792618560610e+01,1.028836189742640128e-01,-4.341038281196496484e-02,-9.039828692807607524e+01,2.422428291932493494e+01,-2.895391237610988332e-08,-1.185999540978859706e-02,-2.039551374235230696e+00,2.636029058448307802e-02
5.919999999999999707e-01,2.999999164493309678e+01,-4.000137841644026793e+01,1.006046159524377435e+04,2.541433634855642083e+02,2.329158354948078887e-06,4.834585449927431000e-03,2.798515946394855192e+01,1.525804838592373369e-01,-7.955852954907349783e-02,-9.039777122088091232e+01,2.381847771321913498e+01,2.422674300858173742e-08,-1.637727005908881997e-02,-1.999147750924593625e+00,3.709639478258472400e-02
7.900000000000000355e-01,2.999998873673252930e+01,-4.000185992339515195e+01,1.008081277501676232e+04,2.588724988355708092e+02,4.662073313786259051e-06,6.385951291790092910e-03,2.801178588295870142e+01,1.546335673621174467e-01,-1.670439177484119853e-01,-9.039737907532489203e+01,2.343134353202490416e+01,5.906572476733464349e-08,-1.599257592658378385e-02,-1.949238591065102666e+00,3.690293036803786453e-02
9.899999999999999911e-01,2.999998573948312597e+01,-4.000235677118543975e+01,1.010142963357176632e+04,2.636695764031468343e+02,7.343504471790242663e-06,7.914251147994377789e-03,2.790615201528659739e+01,1.536730235119842525e-01,-3.306302555956950329e-01,-9.039690185600261429e+01,2.305052538952627827e+01,1.002355115640096047e-07,-1.534155517713064673e-02,-1.883874389171000363e+00,3.605634183038082530e-02
1.191999999999999948e+00,2.999998265138583164e+01,-4.000286929604383346e+01,1.012231159894727170e+04,2.685363995507480581e+02,1.036346219435161761e-05,9.417425097666409783e-03,2.808363208212708528e+01,1.528157877935781006e-01,-3.963285948452472951e-01,-9.039634401502139838e+01,2.267643025121424927e+01,1.494070650504977286e-07,-1.473147557159163075e-02,-1.841009696698731046e+00,3.525606866237488562e-02
1.389999999999999902e+00,2.999997956504919472e+01,-4.000338214596693831e+01,1.014283600236754864e+04,2.733236789371801478e+02,1.282818763167496919e-05,1.084483097875477142e-02,2.818091394878416622e+01,1.551722418036406703e-01,-5.183918139707426320e-01,-9.039594358686288444e+01,2.232101722916383579e+01,1.897442589648779060e-07,-1.443310228023362077e-02,-1.788146437237753794e+00,3.515814930334762445e-02
1.590000000000000080e+00,2.999997638785879417e+01,-4.000391072277363236e+01,1.016362344037462026e+04,2.781739197464785889e+02,1.519621786813701213e-05,1.223864096036209048e-02,2.814075790296445945e+01,1.050429691507537983e-01,-7.121573221406869436e-01,-9.039553854443379066e+01,2.197395858034645855e+01,2.168471648496883646e-07,-9.786492447710147535e-03,-1.721725037358503352e+00,2.425697287045486608e-02
1.790000000000000036e+00,2.999997316073723752e+01,-4.000444990921744903e+01,1.018446715522464365e+04,2.830445346632188262e+02,2.337688694223495595e-05,1.358515893778644568e-02,2.810556617547182867e+01,-1.081422124395678697e-01,-9.143794639416107373e-01,-9.039380774327008794e+01,2.163865385998780866e+01,4.058720077900566890e-07,7.637189536029438675e-03,-1.655530612998297624e+00,-1.925404229154423219e-02
1.989999999999999991e+00,2.999996986356145712e+01,-4.000499971510267017e+01,1.020536800265964121e+04,2.879213343292224749e+02,2.054883469381902416e-05,1.487868120781854486e-02,2.789546246511433125e+01,1.024745307475343065e-01,-1.175505655417468986e+00,-9.039463823279191956e+01,2.131594130951186372e+01,3.125841253166734236e-07,-8.964511129535456674e-03,-1.579610744775771236e+00,2.297764398868453600e-02
2.189999999999999947e+00,2.999996651648466184e+01,-4.000556013056741023e+01,1.022632694772817194e+04,2.928142763903119885e+02,2.844543103394567738e-05,1.612587273321253178e-02,2.794107359946592695e+01,-1.100080146918509388e-01,-1.341025755748329829e+00,-9.039298891375099743e+01,2.100455394781998208e+01,5.056446087035073502e-07,7.266153487739097395e-03,-1.524633133151337416e+00,-1.892793012845416997e-02
2.389999999999999680e+00,2.999996309943420059e+01,-4.000613114536746906e+01,1.024734528690949082e+04,2.977040991685989866e+02,3.155215149436265342e-05,1.731840009043139617e-02,2.819977234325960680e+01,4.132857740762501120e-01,-1.432350390797921591e+00,-9.039251864830862360e+01,2.070581860692157505e+01,5.886258146760770351e-07,-3.100517485958863631e-02,-1.485545268418525744e+00,8.204379026650954199e-02
2.589999999999999858e+00,2.999995963228873919e+01,-4.000671275950671912e+01,1.026842474621813744e+04,3.026005008951527202e+02,2.810164896963800521e-05,1.846173371843917721e-02,2.786980618476293614e+01,1.519328132003709697e-01,-1.754413532406749354e+00,-9.039348109800161524e+01,2.041876135702279882e+01,4.351413294128179389e-07,-1.164528792644414952e-02,-1.403855269631903102e+00,3.128894651475161437e-02
