# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,3.000000000000000000e+01,-4.000000000000000000e+01,1.000000000000000000e+04,2.401118478001480128e+02,-1.443289932012703503e-14,0.000000000000000000e+00,2.784973412819162419e+01,-5.958250401853393274e-02,-3.178356977863394661e-02,-9.039794051913803230e+01,2.502791327910147601e+01,-1.755075820618513371e-15,5.723902871437791182e-03,-2.104741052617465691e+00,-1.231875416548659959e-02
1.900000000000000022e-01,2.999999737989486448e+01,-4.000043219352782131e+01,1.001933528040194142e+04,2.445975583129502979e+02,-1.221245327087672194e-14,1.421085471520200372e-14,2.758222860099932205e+01,-1.080073136617737128e-01,1.234710255173965265e-02,-9.040026185008278503e+01,2.463495365256785163e+01,-1.749514695265333017e-15,1.069499805447178195e-02,-2.083158030544507877e+00,-2.338294090279035425e-02
3.900000000000000133e-01,2.999999455244873658e+01,-4.000089728166961578e+01,1.003975989074785139e+04,2.493326086561640125e+02,3.996802888650563546e-15,-1.421085471520200372e-14,2.782274922821314789e+01,1.029118636501556300e-01,-4.142530122311072205e-02,-9.039852892548233854e+01,2.422386198759603460e+01,0.000000000000000000e+00,-1.150837723486065542e-02,-2.037970353205884155e+00,2.551746529149794343e-02
5.919999999999999707e-01,2.999999164639736549e+01,-4.000137764568122378e+01,1.006045684889972290e+04,2.541428385011564330e+02,-9.181988502859893932e-15,-1.421085471520200372e-14,2.798516313767141384e+01,1.526193371786675468e-01,-7.760139821460430853e-02,-9.039809460363093763e+01,2.381781098065361135e+01,2.116658636129837963e-09,-1.604230307365950639e-02,-1.997612610215268703e+00,3.627534359690470084e-02
7.900000000000000355e-01,2.999998873849424896e+01,-4.000185889180042409e+01,1.008080677626528268e+04,2.588717455653070374e+02,4.440892098500626162e-15,0.000000000000000000e+00,2.801179539708194000e+01,1.546722015872711020e-01,-1.651337503969241283e-01,-9.039769638681599417e+01,2.343038083610512956e+01,-1.733189357050076520e-15,-1.567348828554041701e-02,-1.947748499722994353e+00,3.610350676152423305e-02
9.899999999999999911e-01,2.999998574149426389e+01,-4.000235547474424180e+01,1.010142242845864894e+04,2.636694368320472677e+02,-4.884981308350688778e-15,1.421085471520200372e-14,2.790617195451986987e+01,1.537105805611240217e-01,-3.287909895377758573e-01,-9.039721302043913909e+01,2.304917040127249805e+01,0.000000000000000000e+00,-1.503808205773517898e-02,-1.882429938126697566e+00,3.527907123725487759e-02
1.191999999999999948e+00,2.999998265359741012e+01,-4.000286773092464898e+01,1.012230319718506325e+04,2.685352175332189404e+02,-2.302683917669064510e-14,-1.273292582482099560e-14,2.808365577765934162e+01,1.528527543819150902e-01,-3.945196716697171868e-01,-9.039665328438319136e+01,2.267481456478963153e+01,1.839937559170851778e-09,-1.444334522323379062e-02,-1.839611475523699857e+00,3.450147240035585788e-02
1.389999999999999902e+00,2.999997956749429662e+01,-4.000338031687683582e+01,1.014282639055317304e+04,2.733218673301261674e+02,-2.198241588757809950e-14,0.000000000000000000e+00,2.818094456335074938e+01,1.552091620659390714e-01,-5.166286519749588857e-01,-9.039624780132847093e+01,2.231908520513177407e+01,0.000000000000000000e+00,-1.415959264726022841e-02,-1.786793609406444272e+00,3.442603192372181015e-02
1.590000000000000080e+00,2.999997639049430731e+01,-4.000390862686718663e+01,1.016361251490132236e+04,2.781723040058802212e+02,8.659739592076221015e-15,2.842170943040400743e-14,2.814079911429974956e+01,1.050691213553299197e-01,-7.104619043837914205e-01,-9.039577794095669105e+01,2.197162976255755851e+01,0.000000000000000000e+00,-9.527317332909185019e-03,-1.720418107233385063e+00,2.354779419612124461e-02
1.790000000000000036e+00,2.999997316285017135e+01,-4.000444754581245377e+01,1.018445477823644796e+04,2.830431388370449213e+02,9.547918011776346248e-15,0.000000000000000000e+00,2.810561751157216648e+01,-1.081583194702828155e-01,-9.127511239854229075e-01,-9.039375371622109867e+01,2.163592622461914772e+01,0.000000000000000000e+00,7.882522396909345114e-03,-1.654269669479685234e+00,-1.994000514393937454e-02
1.989999999999999991e+00,2.999996986649432884e+01,-4.000499708520466413e+01,1.020535401485180228e+04,2.879211611391195333e+02,1.221245327087672194e-14,-1.421085471520200372e-14,2.789552580566819273e+01,1.024990307629765063e-01,-1.173963459273570820e+00,-9.039486860013697367e+01,2.131276083353385076e+01,1.707019917932633106e-15,-8.732746822444114113e-03,-1.578395744985936489e+00,2.231499735252433572e-02
2.189999999999999947e+00,2.999996651885034282e+01,-4.000555723415071441e+01,1.022631117873726362e+04,2.928138951745961549e+02,2.242650509742816212e-14,-1.421085471520200372e-14,2.794114356195434823e+01,-1.100236621561374584e-01,-1.339534677645437100e+00,-9.039293779736736667e+01,2.100103806363825143e+01,-1.703429459149742890e-15,7.484894614730983747e-03,-1.523464122383042296e+00,-1.956700093170980759e-02
