# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.348390800000005640e+01,-2.249164999999999637e+00,1.000000000009313226e+03,1.001618133673069764e+02,-1.776356839400250465e-14,5.551115123125782702e-17,4.007375876424982830e-01,-1.197721607162110027e-02,-9.798441683337019370e+00,1.679132927965777071e+02,2.338123926954412735e+00,-4.973757488582360766e-17,-2.294401574214835135e-03,-1.811347700687656812e-03,-3.396168513172288274e-03
1.900000000000000022e-01,5.348374096286845969e+01,-2.249105032100456647e+00,1.000776387314312160e+03,1.001617557091961714e+02,1.923914699864882720e-03,6.724694256435626016e-03,4.002582871666351960e-01,-1.192533352569150398e-02,-9.798718934759437005e+00,1.679122632557735528e+02,2.341945796516398115e+00,7.395151192225534300e-04,-1.090566694056188841e-02,3.098670955856851900e-02,9.044404928714733227e-02
3.900000000000000133e-01,5.348356513445872196e+01,-2.249041908681101098e+00,1.001593619927763939e+03,1.001616195153727773e+02,-4.768552213411297110e-04,7.129293814226222992e-03,4.003614227672044890e-01,-1.213213083986025391e-02,-9.798776287048360345e+00,1.679136822903407165e+02,2.342124039108719913e+00,-3.174245673224826599e-03,6.204640667868789594e-02,-4.862840745746601495e-02,4.710855710916903721e-02
5.919999999999999707e-01,5.348338754804490236e+01,-2.248978154444613242e+00,1.002419003019109368e+03,1.001614366873398865e+02,5.951282788625399914e-05,8.347399305629110700e-03,3.999003772299277726e-01,-1.205482652233577298e-02,-9.799123190886882995e+00,1.679133753156181115e+02,2.342759136470808468e+00,-2.868892568797341315e-03,-4.327726145126012391e-02,-1.497850802778285910e-02,-4.282868264209450937e-02
7.900000000000000355e-01,5.348321347851233298e+01,-2.248915663027590384e+00,1.003228018884547055e+03,1.001612537018384614e+02,4.163133412504846538e-04,1.132772704643603134e-02,4.002704063847260518e-01,-1.209374441835468078e-02,-9.798985032375874482e+00,1.679131508969885545e+02,2.344402169772114242e+00,-4.908643693294462498e-03,1.918913989844875032e-02,-4.273294518585097485e-02,-1.613200723507783249e-02
9.899999999999999911e-01,5.348303763351228923e+01,-2.248852534312514528e+00,1.004045181668363512e+03,1.001610764571058496e+02,1.312182123253199375e-03,8.917233931182266815e-03,4.000689093607715519e-01,-1.203762952833318384e-02,-9.798981177774269469e+00,1.679126011044947120e+02,2.342959261993232900e+00,-5.665575798035303590e-03,-2.759717421547852600e-02,-1.389289660062282931e-02,3.583589889536453049e-02
1.191999999999999948e+00,5.348286003073512518e+01,-2.248788774598947438e+00,1.004870699211023748e+03,1.001609134265948029e+02,-7.248580921353289797e-04,7.668689505643477844e-03,4.000873410579455780e-01,-1.207927579285085311e-02,-9.798750213375095441e+00,1.679137200588674830e+02,2.342190365706477539e+00,-5.925618358396314914e-03,9.748391018842684054e-05,-2.442371545445302938e-02,5.495062618169618829e-02
1.389999999999999902e+00,5.348268596251271845e+01,-2.248726283798502479e+00,1.005679649358615279e+03,1.001607443782176432e+02,-1.623563006629585945e-03,1.061689517569686103e-02,4.002073122720476994e-01,-1.205414077753114155e-02,-9.798803586721870573e+00,1.679141842257620283e+02,2.343816778517836319e+00,-4.514642881433029997e-03,2.285954741362426941e-03,-2.058720480329628844e-02,7.845596687161643379e-02
1.590000000000000080e+00,5.348251013638824958e+01,-2.248663161932312970e+00,1.006496744026429951e+03,1.001605280008650567e+02,-4.967621697370676152e-03,1.081922011354308211e-02,4.004209023923316901e-01,-1.203250172952784885e-02,-9.798894002875162101e+00,1.679160540683940894e+02,2.343857777056062908e+00,-4.248654720848455725e-03,6.816186697407498885e-02,-5.669546310461438809e-03,2.367800715651892027e-02
1.790000000000000036e+00,5.348233431063703591e+01,-2.248600040235050557e+00,1.007313811697065830e+03,1.001603276766697235e+02,-4.182419681524339287e-03,1.132881757450476812e-02,4.003273887921711127e-01,-1.188879770323163047e-02,-9.798831146705520467e+00,1.679155593528531938e+02,2.344079253186532430e+00,-5.254136837957178001e-03,4.598318787321605677e-02,6.180815628532511374e-02,5.963908662569694652e-02
1.989999999999999991e+00,5.348215848524279181e+01,-2.248536918674035157e+00,1.008130853160284460e+03,1.001601446873487191e+02,-5.032210649041228383e-03,1.059120203077590361e-02,4.002552242102873081e-01,-1.186928065466269500e-02,-9.798612084641227682e+00,1.679159881464283046e+02,2.343586458921637750e+00,-4.811827100181853556e-03,1.613089879941799823e-02,6.283241134085978952e-02,1.175602602898251636e-01
2.189999999999999947e+00,5.348198266019366542e+01,-2.248473797194669110e+00,1.008948618529364467e+03,1.001599497497308988e+02,-9.422763089284077326e-03,9.420652609110291564e-03,4.002970262697185810e-01,-1.192647536659300830e-02,-9.798834271017440756e+00,1.679184273097725395e+02,2.342865449302214742e+00,-5.307515999240204098e-03,2.600325277791976433e-02,3.794285138632893378e-02,6.805927158004561328e-02
2.389999999999999680e+00,5.348180683548306291e+01,-2.248410675695190708e+00,1.009765615827403963e+03,1.001597892016359737e+02,-7.915518573505473873e-03,9.501251824023171366e-03,4.005420269516260512e-01,-1.197378467033280956e-02,-9.798757922901096151e+00,1.679174957743309449e+02,2.342848242978521789e+00,-2.817526212384481414e-03,1.595007838031046732e-01,4.241137794509453052e-02,6.089737666139134753e-02
2.589999999999999858e+00,5.348163101102085193e+01,-2.248347554284304106e+00,1.010582591974176466e+03,1.001596786095292089e+02,-9.306245007680347126e-03,4.824803025764268227e-03,4.001455956281971260e-01,-1.193672492731800636e-02,-9.799009110280058721e+00,1.679182322579125355e+02,2.340119591558381895e+00,-3.547204650760388701e-03,-2.589964916052839988e-02,2.929141703024235738e-02,-9.644896634292852641e-03
2.789999999999999591e+00,5.348145518669036846e+01,-2.248284432907762032e+00,1.011399554607458413e+03,1.001596383353946749e+02,-1.058419574693034507e-02,3.998548867842011134e-03,4.003552168801767785e-01,-1.194652603942325531e-02,-9.798963020902043297e+00,1.679189154793172349e+02,2.339615005839866146e+00,-1.489498836297753828e-03,4.630922573589482671e-02,3.089034657238828169e-02,-1.375717486490125353e-02
2.989999999999999769e+00,5.348127936241102987e+01,-2.248221311740649320e+00,1.012216507163830101e+03,1.001596062032354695e+02,-1.079088157162624677e-02,3.468613193074787659e-03,4.002496748995594267e-01,-1.184170169802761102e-02,-9.798817274816531864e+00,1.679190377310832787e+02,2.339282640880107067e+00,1.280273293789573573e-03,2.079888265531001576e-02,8.160134412520431146e-02,5.682366770899337227e-02
3.189999999999999947e+00,5.348110353811819095e+01,-2.248158191028684083e+00,1.013034760562703013e+03,1.001595908565197703e+02,-1.193225234701631929e-02,3.640314852432879889e-03,4.001821506366444736e-01,-1.191802781603489708e-02,-9.798727008860957710e+00,1.679197345922860620e+02,2.339397451527714278e+00,3.297136198433811040e-03,-3.538272803159737967e-02,2.765470845072933934e-02,3.633070604999306258e-02
3.389999999999999680e+00,5.348092771379798904e+01,-2.248095070891896530e+00,1.013851707957684994e+03,1.001595724913160979e+02,-1.228627194345854531e-02,1.164808660358396253e-03,4.003656088647977729e-01,-1.188511906146618065e-02,-9.798794423760686101e+00,1.679199867137372735e+02,2.337952969409531345e+00,3.506004121536384754e-03,5.046427088961808610e-02,5.818773540500171704e-02,2.186967006748789105e-02
3.589999999999999858e+00,5.348075188941719915e+01,-2.248031951376229909e+00,1.014668648183345795e+03,1.001595447559307388e+02,-1.248583687218115731e-02,5.597509184102733570e-03,4.005373463243103727e-01,-1.211468394773034148e-02,-9.798655180799554998e+00,1.679201704906450345e+02,2.340467592601402469e+00,2.373565917716769554e-03,1.434858450684587949e-01,-3.034413090740028032e-02,9.415019122079272551e-02
3.789999999999999591e+00,5.348057606507116901e+01,-2.247968832516446192e+00,1.015485576331615448e+03,1.001594675440973106e+02,-7.602463292607381309e-03,6.428657026289918974e-03,4.000643097607393672e-01,-1.190249073853600140e-02,-9.799142845614552400e+00,1.679174316315666431e+02,2.340907480691814424e+00,3.107409141791538792e-03,-4.464222060695814676e-02,4.567100265020174882e-02,-9.754771463872513593e-02
3.989999999999999769e+00,5.348040024080732735e+01,-2.247905714475957328e+00,1.016302487683482468e+03,1.001593314525891287e+02,-7.111474996384151842e-03,9.797388074879620490e-03,4.003235490333121316e-01,-1.222596081195528525e-02,-9.799047411291153864e+00,1.679172512851248484e+02,2.342780779068098340e+00,3.750490510912268208e-03,7.703214358108004256e-02,-8.681761770782715770e-02,-6.029828915007793416e-02
