# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.348390800000005640e+01,-2.249164999999999637e+00,1.000000000009313226e+03,1.001618133673069764e+02,-1.776356839400250465e-14,5.551115123125782702e-17,4.007375876424982830e-01,-1.197721607162110027e-02,-9.798441683337019370e+00,1.679132927965777071e+02,2.338123926954412735e+00,-4.973757488582360766e-17,-2.294401574214835135e-03,-1.811347700687656812e-03,-3.396168513172288274e-03
1.900000000000000022e-01,5.348374096286845969e+01,-2.249105032100456647e+00,1.000776387314312160e+03,1.001617557091961714e+02,1.923914699864882720e-03,6.724694256435626016e-03,4.002582871666351960e-01,-1.192533352569150398e-02,-9.798718934759437005e+00,1.679122632557735528e+02,2.341945796516398115e+00,7.395151192225534300e-04,-1.090566694056188841e-02,3.098670955856851900e-02,9.044404928714733227e-02
3.900000000000000133e-01,5.348356513445872196e+01,-2.249041908681101098e+00,1.001593619927763939e+03,1.001616195153727773e+02,-4.768552213411297110e-04,7.129293814226222992e-03,4.003614227672044890e-01,-1.213213083986025391e-02,-9.798776287048360345e+00,1.679136822903407165e+02,2.342124039108719913e+00,-3.174245673224826599e-03,6.204640667868789594e-02,-4.862840745746601495e-02,4.710855710916903721e-02
5.919999999999999707e-01,5.348338754804490236e+01,-2.248978154444613242e+00,1.002419003019109368e+03,1.001614366873398865e+02,5.951282788625399914e-05,8.347399305629110700e-03,3.999003772299277726e-01,-1.205482652233577298e-02,-9.799123190886882995e+00,1.679133753156181115e+02,2.342759136470808468e+00,-2.868892568797341315e-03,-4.327726145126012391e-02,-1.497850802778285910e-02,-4.282868264209450937e-02
7.900000000000000355e-01,5.348321347851233298e+01,-2.248915663027590384e+00,1.003228018884547055e+03,1.001612537018384614e+02,4.163133412504846538e-04,1.132772704643603134e-02,4.002704063847260518e-01,-1.209374441835468078e-02,-9.798985032375874482e+00,1.679131508969885545e+02,2.344402169772114242e+00,-4.908643693294462498e-03,1.918913989844875032e-02,-4.273294518585097485e-02,-1.613200723507783249e-02
9.899999999999999911e-01,5.348303763351228923e+01,-2.248852534312514528e+00,1.004045181668363512e+03,1.001610764571058496e+02,1.312182123253199375e-03,8.917233931182266815e-03,4.000689093607715519e-01,-1.203762952833318384e-02,-9.798981177774269469e+00,1.679126011044947120e+02,2.342959261993232900e+00,-5.665575798035303590e-03,-2.759717421547852600e-02,-1.389289660062282931e-02,3.583589889536453049e-02
1.191999999999999948e+00,5.348286003073493333e+01,-2.248788774598943441e+00,1.004870493639260530e+03,1.001609129648810779e+02,-7.248594439171372143e-04,7.679979553775417855e-03,4.000873410579453004e-01,-1.207927579285084096e-02,-9.798750213375095441e+00,1.679137200588674830e+02,2.342190365706477539e+00,-5.925618358396314914e-03,9.748391018961215812e-05,-2.442371545442344888e-02,5.495062618170672153e-02
1.389999999999999902e+00,5.348268596251257634e+01,-2.248726283798495373e+00,1.005679441538639367e+03,1.001607439162445132e+02,-1.623564270232552131e-03,1.062818533951492839e-02,4.002073122720474219e-01,-1.205414077753113114e-02,-9.798803586721870573e+00,1.679141842257620283e+02,2.343816778517836319e+00,-4.514642881433029997e-03,2.285954741365207703e-03,-2.058720480326579894e-02,7.845596687162954830e-02
1.590000000000000080e+00,5.348251013638804352e+01,-2.248663161932298316e+00,1.006496533942408860e+03,1.001605275389428300e+02,-4.967623100427278476e-03,1.083051040840032897e-02,4.004209023923314126e-01,-1.203250172952782804e-02,-9.798894002875162101e+00,1.679160540683940894e+02,2.343857777056062908e+00,-4.248654720848455725e-03,6.816186697407938810e-02,-5.669546310430052458e-03,2.367800715653461605e-02
1.790000000000000036e+00,5.348233431063690091e+01,-2.248600040235028352e+00,1.007313599376939237e+03,1.001603272147631571e+02,-4.182421474479820420e-03,1.134010800028928401e-02,4.003273887921708352e-01,-1.188879770323161313e-02,-9.798831146705520467e+00,1.679155593528531938e+02,2.344079253186532430e+00,-5.254136837957178001e-03,4.598318787322206586e-02,6.180815628535739348e-02,5.963908662571522357e-02
1.989999999999999991e+00,5.348215848524283444e+01,-2.248536918674014728e+00,1.008130638597533107e+03,1.001601442255987564e+02,-5.032212546734395053e-03,1.060249259466417016e-02,4.002552242102870306e-01,-1.186928065466267418e-02,-9.798612084641227682e+00,1.679159881464283046e+02,2.343586458921637750e+00,-4.811827100181853556e-03,1.613089879942560673e-02,6.283241134089295743e-02,1.175602602898460497e-01
2.189999999999999947e+00,5.348198266019366542e+01,-2.248473797194642465e+00,1.008947650550864637e+03,1.001599476002672020e+02,-9.422769764625513189e-03,9.473204410371138806e-03,4.002970262697173043e-01,-1.192647536659293545e-02,-9.798834271017440756e+00,1.679184273097725395e+02,2.342865449302214742e+00,-5.307515999240204098e-03,2.600325277793324313e-02,3.794285138647082029e-02,6.805927158010745270e-02
2.389999999999999680e+00,5.348180683548317660e+01,-2.248410675695147631e+00,1.009764637347310781e+03,1.001597870524721685e+02,-7.915523857923809081e-03,9.553804238370489088e-03,4.005420269516247189e-01,-1.197378467033274364e-02,-9.798757922901097928e+00,1.679174957743309449e+02,2.342848242978547546e+00,-2.817526212359036924e-03,1.595007838031256842e-01,4.241137794524067750e-02,6.089737666146527451e-02
2.589999999999999858e+00,5.348163101102083772e+01,-2.248347554284241046e+00,1.010581602957099676e+03,1.001596764631640184e+02,-9.306251854877217386e-03,4.877356161406609658e-03,4.001455956281956827e-01,-1.193672492731790574e-02,-9.799009110280060497e+00,1.679182322579128765e+02,2.340119591558407652e+00,-3.547204650734944210e-03,-2.589964916049988450e-02,2.929141703039284811e-02,-9.644896634206806887e-03
2.789999999999999591e+00,5.348145518669031162e+01,-2.248284432907674546e+00,1.011398555070161819e+03,1.001596361898100156e+02,-1.058420159950226869e-02,4.051102649062165995e-03,4.003552168801754463e-01,-1.194652603942314949e-02,-9.798963020902039744e+00,1.679189154793173770e+02,2.339615005839891460e+00,-1.489498836272309555e-03,4.630922573593085345e-02,3.089034657254333821e-02,-1.375717486480304216e-02
2.989999999999999769e+00,5.348127936241096592e+01,-2.248221311740535189e+00,1.012215497116558254e+03,1.001596040582755762e+02,-1.079088577643378712e-02,3.521167620035292600e-03,4.002496748995581499e-01,-1.184170169802749827e-02,-9.798817274816530087e+00,1.679190377310832787e+02,2.339282640880132380e+00,1.280273293815018063e-03,2.079888265535354691e-02,8.160134412536396153e-02,5.682366770910374926e-02
3.189999999999999947e+00,5.348110353811809148e+01,-2.248158191028529540e+00,1.013032428988255560e+03,1.001595857702634333e+02,-1.193225261307136707e-02,3.764883726881329551e-03,4.001821506366413650e-01,-1.191802781603470453e-02,-9.798727008860957710e+00,1.679197345922860620e+02,2.339397451527790661e+00,3.297136198459255530e-03,-3.538272803153891255e-02,2.765470845108243189e-02,3.633070605018274418e-02
3.389999999999999680e+00,5.348092771379779720e+01,-2.248095070891684255e+00,1.013849351439625025e+03,1.001595674089628147e+02,-1.228627387227654300e-02,1.289379140759550069e-03,4.003656088647945532e-01,-1.188511906146596554e-02,-9.798794423760684325e+00,1.679199867137374724e+02,2.337952969409658799e+00,3.506004121612718225e-03,5.046427088969435842e-02,5.818773540536568978e-02,2.186967006770643152e-02
3.589999999999999858e+00,5.348075188941698599e+01,-2.248031951375955906e+00,1.014666266748681664e+03,1.001595396688871062e+02,-1.248584337959070430e-02,5.722080934883244652e-03,4.005373463243072085e-01,-1.211468394773013157e-02,-9.798655180799551445e+00,1.679201704906450345e+02,2.340467592601555236e+00,2.373565917818547082e-03,1.434858450685528863e-01,-3.034413090702527474e-02,9.415019122104020810e-02
3.789999999999999591e+00,5.348057606507099138e+01,-2.247968832516111792e+00,1.015483169966377318e+03,1.001594624568325571e+02,-7.602470321037982717e-03,6.553230245632590822e-03,4.000643097607405330e-01,-1.190249073853578109e-02,-9.799142845614548847e+00,1.679174316315666999e+02,2.340907480692145270e+00,3.107409141918761244e-03,-4.464222060684631260e-02,4.567100265058742642e-02,-9.754771463844887081e-02
3.989999999999999769e+00,5.348040024080702892e+01,-2.247905714475552763e+00,1.016300056383013725e+03,1.001593263619507326e+02,-7.111482743067555970e-03,9.921962649195315009e-03,4.003235490333088564e-01,-1.222596081195503198e-02,-9.799047411291157417e+00,1.679172512851248484e+02,2.342780779068505126e+00,3.750490511090379207e-03,7.703214358120966110e-02,-8.681761770743112727e-02,-6.029828914977295590e-02
