# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.348390800000005640e+01,-2.249164999999999637e+00,1.000000000009313226e+03,1.001618133673069764e+02,-1.776356839400250465e-14,5.551115123125782702e-17,4.007375876424982830e-01,-1.197721607162110027e-02,-9.798441683337019370e+00,1.679132927965777071e+02,2.338123926954412735e+00,-4.973757488582360766e-17,-2.294401574214835135e-03,-1.811347700687656812e-03,-3.396168513172288274e-03
1.900000000000000022e-01,5.348374096283573209e+01,-2.249105032035941587e+00,1.000776391508057714e+03,1.001618231672188699e+02,-1.339711663306058588e-09,3.399479808763317124e-09,4.003340927040733854e-01,-1.207048389206248455e-02,-9.799072914573722315e+00,1.679133409484079777e+02,2.338123171007117751e+00,-8.335755464691784780e-08,-1.097940268747092276e-05,-2.925909327612736719e-05,2.581564140095066358e-04
3.900000000000000133e-01,5.348356513420933567e+01,-2.249041908373462295e+00,1.001593645705841482e+03,1.001618329004994479e+02,-5.679384425157595743e-09,6.942300956325198058e-09,4.003099885881670206e-01,-1.207334367628558856e-02,-9.799034926392849343e+00,1.679133915561643846e+02,2.338122909013480299e+00,-1.711026971991333493e-07,-1.091197278962475727e-05,-4.946703443579406599e-05,2.565048746258671831e-04
5.919999999999999707e-01,5.348338754726297140e+01,-2.248978154005504049e+00,1.002419072450138628e+03,1.001618424249072774e+02,-1.310988974369924619e-08,1.054627940533237052e-08,4.000757717263110913e-01,-1.212290675593629199e-02,-9.799170043926867635e+00,1.679134426301778262e+02,2.338122953075205679e+00,-2.597257237323076882e-07,-9.753720522143667805e-06,2.937076466329059107e-05,2.281374114262222752e-04
7.900000000000000355e-01,5.348321347685694604e+01,-2.248915662618296452e+00,1.003228154106065631e+03,1.001618523295876173e+02,-2.336684498415490897e-08,1.407193472857670713e-08,4.003173568467214283e-01,-1.207225283400630705e-02,-9.799089027183995881e+00,1.679134927590978066e+02,2.338122634730383176e+00,-3.465941018588122463e-07,-1.093618140640174783e-05,-1.546242369586211908e-05,2.570975859938687941e-04
9.899999999999999911e-01,5.348303764813100258e+01,-2.248852540525573485e+00,1.004045408313162625e+03,1.001618621079848168e+02,-3.671553434798867624e-08,1.763725610004485134e-08,4.002155421764101439e-01,-1.209400709088412525e-02,-9.799198492273685446e+00,1.679135433652439815e+02,2.338122329984340553e+00,-4.343402112996509097e-07,-1.042746191852163998e-05,4.868180839721146622e-05,2.446377878885248988e-04
1.191999999999999948e+00,5.348286006108413204e+01,-2.248788787743018602e+00,1.004870829896070063e+03,1.001618717916983456e+02,-5.325019732775584898e-08,3.049155061773944908e-07,4.001711202048307547e-01,-1.210108099004379711e-02,-9.799017667613505012e+00,1.679135944603865767e+02,2.338122177883218633e+00,-5.229641029436985935e-07,-1.026157276972140943e-05,-5.321365228048528784e-05,2.405755103461137913e-04
1.389999999999999902e+00,5.348268599057969652e+01,-2.248726297909781735e+00,1.005679911501705647e+03,1.001618816844036388e+02,-7.243139727470834178e-08,3.084489668125911521e-07,4.002866402543978630e-01,-1.208122667461949788e-02,-9.799129089045599983e+00,1.679136445878355062e+02,2.338121933528403140e+00,-6.098335497365760509e-07,-1.072466367841186866e-05,1.203429778256910950e-05,2.519173214476283290e-04
1.590000000000000080e+00,5.348251016175424155e+01,-2.248663177386676537e+00,1.006497165640816092e+03,1.001618917787788803e+02,-9.479449205027281462e-08,3.120190532612809875e-07,4.003408606658913071e-01,-1.207017430046966079e-02,-9.799094647334417374e+00,1.679136952334555417e+02,2.338121593813357713e+00,-6.975807023993502885e-07,-1.098216744085208138e-05,-6.141252169531262873e-06,2.582239863379651038e-04
1.790000000000000036e+00,5.348233433289566108e+01,-2.248600057386746620e+00,1.007314419795759022e+03,1.001619011354269446e+02,-1.201611763100276803e-07,3.155855230474458040e-07,4.002731285389592442e-01,-1.208306988293588596e-02,-9.799115577633459750e+00,1.679137457886646132e+02,2.338121684168285253e+00,-7.853281095064989427e-07,-1.068034865832851426e-05,7.358577541932597569e-06,2.508316635380926601e-04
