# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.348390799999999956e+01,-2.249165000000000081e+00,1.000000000000000000e+03,1.001618133673069764e+02,-1.776356839400250465e-14,5.551115123125782702e-17,4.007375876424982830e-01,-1.197721607162110027e-02,-9.798441683337019370e+00,1.679132927965777071e+02,2.338123926954412735e+00,-4.973757488582360766e-17,-2.294401574214835135e-03,-1.811347700687656812e-03,-3.396168513172288274e-03
1.900000000000000022e-01,5.348374096282672241e+01,-2.249105032034780738e+00,1.000776390425395221e+03,1.001618244374136850e+02,-1.776356839400251254e-15,-4.163336342344341957e-17,4.003341027116263384e-01,-1.207048402347521941e-02,-9.799072914094875131e+00,1.679133411089699166e+02,2.338122070792966856e+00,-1.874156583036188136e-11,-2.292233074628423958e-03,-1.448819701737638979e-03,-3.449526204478514050e-03
3.900000000000000133e-01,5.348356513419076208e+01,-2.249041908371050891e+00,1.001593643492262345e+03,1.001618343708821897e+02,7.194245199571014066e-15,-3.258263224443394366e-16,4.003100055102741806e-01,-1.207334381954145580e-02,-9.799034925630525805e+00,1.679133917325986545e+02,2.338121803637343898e+00,1.181688927697412971e-09,-2.292176605043845690e-03,-1.469027646826028205e-03,-3.451167866901841321e-03
5.919999999999999707e-01,5.348338754723469890e+01,-2.248978154001820773e+00,1.002419069088995457e+03,1.001618447213006107e+02,-2.131628207280300558e-14,-1.387778780781445676e-16,4.000757616732485977e-01,-1.212290693783660972e-02,-9.799170044258474377e+00,1.679134429021227390e+02,2.338121580912510211e+00,0.000000000000000000e+00,-2.291029415693862561e-03,-1.390189852043546836e-03,-3.479525358779422210e-03
7.900000000000000355e-01,5.348321347681910964e+01,-2.248915662613368838e+00,1.003228149625472724e+03,1.001618540037174370e+02,3.944304526105059027e-31,-2.835033795024953097e-16,4.003173621335123777e-01,-1.207225296581186311e-02,-9.799089026897174648e+00,1.679134929516312695e+02,2.338121360459754161e+00,-1.586004429392216677e-10,-2.292222727593905274e-03,-1.435023043342103458e-03,-3.450555405736175675e-03
9.899999999999999911e-01,5.348303764808338201e+01,-2.248852540519400200e+00,1.004045402689778712e+03,1.001618640181962974e+02,-1.065814103640150279e-14,5.879135562219578415e-16,4.002155255150960933e-01,-1.209400723121100731e-02,-9.799198492879826361e+00,1.679135435829597611e+02,2.338121038191804058e+00,9.802883062973784093e-11,-2.291724982298723456e-03,-1.370878816195707011e-03,-3.463005318688869901e-03
1.191999999999999948e+00,5.348286006102653545e+01,-2.248788787735603645e+00,1.004870828287675977e+03,1.001618739446069668e+02,3.552713678800500929e-15,1.387778780781445676e-16,4.001711384093768475e-01,-1.210108117019185851e-02,-9.799017666794435755e+00,1.679135946948729554e+02,2.338121053491362122e+00,0.000000000000000000e+00,-2.291570145140356483e-03,-1.472774280309814467e-03,-3.467057631580087226e-03
1.389999999999999902e+00,5.348268599051216654e+01,-2.248726297901167293e+00,1.005679908824618906e+03,1.001618834930533950e+02,-1.776356839400245732e-15,1.665334536937734811e-16,4.002866361327599987e-01,-1.208122680663705796e-02,-9.799129089142486038e+00,1.679136447847904492e+02,2.338120705654936682e+00,-1.424782566908580222e-12,-2.292044096852769754e-03,-1.407526333934820640e-03,-3.455706036218351464e-03
1.590000000000000080e+00,5.348251016167666450e+01,-2.248663177376889255e+00,1.006497161889972631e+03,1.001618933857879199e+02,-2.442490654175344783e-15,-4.718447854656915297e-16,4.003408627632267791e-01,-1.207017442341897472e-02,-9.799094647179153128e+00,1.679136953943860817e+02,2.338120419657365279e+00,-2.237918799733971365e-09,-2.292312566456211273e-03,-1.425701888636549466e-03,-3.449389491373732256e-03
1.790000000000000036e+00,5.348233433280792326e+01,-2.248600057375828243e+00,1.007314414956606925e+03,1.001619032255237585e+02,-1.776356839400250465e-14,6.719770938520684012e-16,4.002731260172688876e-01,-1.208307001969193169e-02,-9.799115577664441190e+00,1.679137460034598632e+02,2.338120281659522348e+00,-1.507530969600675140e-11,-2.292021689219759378e-03,-1.412202061658060157e-03,-3.456771948812630436e-03
