# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597127603985e+01,-1.539051725807333737e+00,9.999999985117465258e+02,1.003155099339576992e+02,1.928090942001012493e-03,6.737779267439674737e-03,-8.950660694808005875e-05,-1.164753610825461881e-02,-9.815874504285513780e+00,-1.274155287615643175e+02,3.832302086246169165e-03,7.840157128009545397e-04,-1.089349361864684444e-02,3.100629645778816071e-02,8.921193194629600809e-02
3.900000000000000133e-01,5.380073646704014578e+01,-1.539293540975448460e+00,9.999999908329918981e+02,1.003153606600484977e+02,-4.752113094292394072e-04,7.148471067525492134e-03,7.875303758436778389e-05,-1.190886903072358241e-02,-9.815898238756510352e+00,-1.274143619585255749e+02,4.047446922406586559e-03,-3.185037232156827554e-03,6.205845548239742604e-02,-4.862870752102196187e-02,4.584549767228793954e-02
5.919999999999999707e-01,5.380062586736068653e+01,-1.539537772478097644e+00,9.999999764775857329e+02,1.003151633026871821e+02,6.222823266891627987e-05,8.376163035831558912e-03,-1.023036019326805518e-04,-1.183433262473052375e-02,-9.816065729793484351e+00,-1.274149129527045403e+02,4.731363773834532625e-03,-2.864919814252592928e-03,-4.326635370054544849e-02,-1.508317289217821731e-02,-4.409256460549533518e-02
7.900000000000000355e-01,5.380051745737055313e+01,-1.539777165829054439e+00,9.999999566003680229e+02,1.003149635397089696e+02,4.201030467838188565e-04,1.136857052215974051e-02,-7.433662408486748502e-05,-1.179762328787026422e-02,-9.816178745341266776e+00,-1.274153778620686666e+02,6.424967611074046576e-03,-4.893260030277369992e-03,1.920128332757112602e-02,-4.269527201058249261e-02,-1.735303361321854226e-02
9.899999999999999911e-01,5.380040795186333469e+01,-1.540018975281949754e+00,9.999999310811981559e+02,1.003147678893764834e+02,1.318673756743393016e-03,8.961760176723513466e-03,-1.736293109429234418e-04,-1.171863011608572855e-02,-9.816033655734852204e+00,-1.274161760159858119e+02,5.034375452960719935e-03,-5.625254761007927352e-03,-2.758554636240267283e-02,-1.393768334679805487e-02,3.462753779891084016e-02
1.191999999999999948e+00,5.380029735060461604e+01,-1.540263201509133983e+00,9.999999089464545250e+02,1.003146635771433068e+02,-6.860886018719051333e-04,7.715202336941216245e-03,-2.222709075952655419e-04,-1.160387371784907598e-02,-9.816023360711994883e+00,-1.274153059284135736e+02,4.312496659899840365e-03,-5.928548093008931784e-03,1.088845083494096688e-04,-2.434369070099749732e-02,5.383146616286646480e-02
1.389999999999999902e+00,5.380018893906641608e+01,-1.540502589133084133e+00,9.999998746328055859e+02,1.003144731228075557e+02,-1.585713057287954642e-03,1.067515546815361871e-02,-7.520202551061327782e-05,-1.179108864747892803e-02,-9.815886798329579221e+00,-1.274150805141935052e+02,5.985623746671296652e-03,-4.534357713920814971e-03,2.297835024537203241e-03,-2.061727313583357896e-02,7.721537133886409443e-02
1.590000000000000080e+00,5.380007943200143217e+01,-1.540744392745711400e+00,9.999998330753296614e+02,1.003142329172718519e+02,-4.937126727316607996e-03,1.088687339766042893e-02,5.156323814125033864e-05,-1.173490740466904929e-02,-9.816009474987676953e+00,-1.274134424245416426e+02,6.087133559630875275e-03,-4.342917656912315301e-03,6.817391908240826026e-02,-5.682726211125985541e-03,2.245760859917962302e-02
1.790000000000000036e+00,5.379996992451103210e+01,-1.540986194298037626e+00,9.999997853850945830e+02,1.003140072118316795e+02,-4.153227000411839620e-03,1.140559660021131690e-02,3.019779102833965514e-05,-1.158509359922057190e-02,-9.815967212310269474e+00,-1.274141573096778046e+02,6.366562297316882141e-03,-5.326881596086410590e-03,4.599496381643119330e-02,6.180472070355277903e-02,5.842186847711047792e-02
