# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000000027e+01,-1.538821999999999912e+00,1.000000000000000000e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597122505841e+01,-1.539051725842929708e+00,9.999999999813735485e+02,1.003155789881878377e+02,-1.577721810442023611e-30,0.000000000000000000e+00,-1.313840684849001928e-05,-1.179698590200221539e-02,-9.816230484418541735e+00,-1.274144468129875207e+02,-1.920243172528593624e-06,5.992634230677659464e-17,-1.499221419305495941e-03,1.050435727964215121e-03,-3.369828645335516855e-03
3.900000000000000133e-01,5.380073646677710286e+01,-1.539293541288305311e+00,9.999999999538995326e+02,1.003155770843895738e+02,0.000000000000000000e+00,3.176373552203626272e-22,2.794365731769870803e-05,-1.185373145031294768e-02,-9.816159989668713948e+00,-1.274146414439401127e+02,-1.746436734009417919e-06,7.153431979096808301e-15,-1.499231981967253996e-03,1.010226181023963100e-03,-3.402243990422753033e-03
5.919999999999999707e-01,5.380062586679096626e+01,-1.539537773606168392e+00,9.999999999236315489e+02,1.003155751927255039e+02,-1.421085471520200372e-14,2.117582368135750848e-22,7.370304141623464089e-05,-1.190486502892437737e-02,-9.816115224973776421e+00,-1.274148380571456016e+02,-1.715916843245795579e-06,9.478791598866934614e-23,-1.499242660927016047e-03,9.847133571371513572e-04,-3.431454110139393280e-03
7.900000000000000355e-01,5.380051745642206384e+01,-1.539777168390188189e+00,9.999999998917337507e+02,1.003155735387197467e+02,-1.278976924368180208e-14,4.701977403289150032e-38,-2.678907240128909661e-05,-1.177892408763884027e-02,-9.816285770423663237e+00,-1.274150309103686993e+02,-1.728432097270712481e-06,7.106775471088865408e-15,-1.499253130627990717e-03,1.082174828928677635e-03,-3.359527042633648087e-03
9.899999999999999911e-01,5.380040795051494484e+01,-1.540018980046705455e+00,9.999999998640269041e+02,1.003155716562596069e+02,-2.368475785867000409e-14,0.000000000000000000e+00,-2.641279672139379498e-05,-1.177855166023387273e-02,-9.816253598687287862e+00,-1.274152255522579367e+02,-1.907560153037337995e-06,-7.678180441283814502e-16,-1.499263715809414374e-03,1.063853837487818265e-03,-3.359319157497789050e-03
1.191999999999999948e+00,5.380029734905505023e+01,-1.540263208537839157e+00,9.999999998370185494e+02,1.003155700804823454e+02,-7.105427357601001859e-15,0.000000000000000000e+00,-1.379099017756813331e-04,-1.162947612605387190e-02,-9.816293588498497868e+00,-1.274154223947589202e+02,-1.953426759294790321e-06,-9.478791598866935789e-23,-1.499274403391934966e-03,1.086748836645747701e-03,-3.274178739755964802e-03
1.389999999999999902e+00,5.380018893724157181e+01,-1.540502599570923392e+00,9.999999998076818883e+02,1.003155679442153456e+02,-7.105427357601001859e-15,4.235164736271501695e-22,4.721890087663979588e-06,-1.182229717817135164e-02,-9.816215021962657161e+00,-1.274156148707494367e+02,-1.801179357913203356e-06,1.200765831499100133e-15,-1.499284857401866336e-03,1.041928671461778231e-03,-3.384314346231087449e-03
1.590000000000000080e+00,5.380007942987536040e+01,-1.540744407438638497e+00,9.999999997750855982e+02,1.003155662188784873e+02,7.105427357601001859e-15,2.117582368135750848e-22,-2.789057678961634587e-05,-1.177589873289500676e-02,-9.816212631813019840e+00,-1.274158096500036095e+02,-1.789243378483602633e-06,1.196844739778396816e-15,-1.499295433627920778e-03,1.040617591274859994e-03,-3.357818444378527726e-03
1.790000000000000036e+00,5.379996992202271144e+01,-1.540986214043427394e+00,9.999999997462145984e+02,1.003155642076234955e+02,-2.131628207280300558e-14,0.000000000000000000e+00,-2.352321783368435703e-05,-1.178319997244048692e-02,-9.816253212625687397e+00,-1.274160041741676253e+02,-1.807397802094984917e-06,-1.006024626827875009e-15,-1.499306004225366964e-03,1.063849613829640070e-03,-3.361993420526441980e-03
