# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597123242673e+01,-1.539051725839852836e+00,1.000000001116655767e+03,1.003155777597100951e+02,3.121694318057145074e-09,1.738950417385825011e-10,-1.314164250686849287e-05,-1.179698624832778084e-02,-9.816230484238701592e+00,-1.274144459355098178e+02,-5.013522593275914894e-07,1.937048383208609718e-07,1.019492708063649823e-06,-9.616792213270418236e-06,-9.739422433856220881e-04
3.900000000000000133e-01,5.380073646679221611e+01,-1.539293541281889333e+00,1.000000002279877663e+03,1.003155759927738160e+02,1.321674742634509607e-08,3.507135432645575951e-10,2.792665527840222162e-05,-1.185373179611343662e-02,-9.816159989487312387e+00,-1.274146407176166349e+02,-4.892909089756706440e-07,3.976061787283696441e-07,1.019508942064224978e-06,-4.982635369376424563e-05,-1.006355837199875841e-03
5.919999999999999707e-01,5.380062586681403047e+01,-1.539537773596284076e+00,1.000000003447756171e+03,1.003155741701273911e+02,3.050240817172419910e-08,5.248683719885318999e-10,7.367730590685044837e-05,-1.190486537757499790e-02,-9.816115224791991167e+00,-1.274148373940467422e+02,-5.062716614200672858e-07,6.035478322418184816e-07,1.019515525997415844e-06,-7.533919386665202547e-05,-1.035564189935843414e-03
7.900000000000000355e-01,5.380051745645290850e+01,-1.539777168376821770e+00,1.000000004591420293e+03,1.003155720976884737e+02,5.436015791770845536e-08,6.898659294294882399e-10,-2.678143965213751769e-05,-1.177892443748354036e-02,-9.816285770244299158e+00,-1.274150299790585450e+02,-2.614838325824709082e-08,8.054128034311920882e-07,1.019509356832636982e-06,2.212226215083757674e-05,-9.636353839334097079e-04
9.899999999999999911e-01,5.380040795055381864e+01,-1.540018980029756346e+00,1.000000005749985576e+03,1.003155702222439487e+02,8.540858063882530626e-08,8.517227411721035917e-10,-2.641143835976826566e-05,-1.177855200680271754e-02,-9.816253598507994838e+00,-1.274152246641207853e+02,-4.886272162691802030e-07,1.009318240393130552e-06,1.019523557026275120e-06,3.801255193319256372e-06,-9.634257615380532793e-04
1.191999999999999948e+00,5.380029734910205264e+01,-1.540263208517214766e+00,1.000000006919726729e+03,1.003155682756258216e+02,1.238568521729940794e-07,1.009437375424381055e-09,-1.379007121481355105e-04,-1.162947645771433662e-02,-9.816293588323192765e+00,-1.274154212598338916e+02,-4.376638654973428138e-07,1.215264066794321369e-06,1.019527689946499926e-06,2.669624375424046884e-05,-8.782835777924565598e-04
1.389999999999999902e+00,5.380018893729688045e+01,-1.540502599546659468e+00,1.000000008081085980e+03,1.003155665202642126e+02,1.684581519461087803e-07,1.159546312779183854e-09,4.715742799253520715e-06,-1.182229752593574879e-02,-9.816215021782062067e+00,-1.274156140746267738e+02,-3.599658152950586061e-07,1.417133210871436955e-06,1.019537442996091709e-06,-1.812394214138029461e-05,-9.884174492509705239e-04
1.590000000000000080e+00,5.380007942993896819e+01,-1.540744407410665762e+00,1.000000009234063327e+03,1.003155646599907129e+02,2.204595440832373887e-07,1.306109637232862268e-09,-2.789717622621168397e-05,-1.177589907495274826e-02,-9.816212631633829844e+00,-1.274158087734823823e+02,-3.604717270449109201e-07,1.621042668054492811e-06,1.019544874986518820e-06,-1.943503527523934314e-05,-9.619197991517444441e-04
1.790000000000000036e+00,5.379996992209485285e+01,-1.540986214011732747e+00,1.000000010401941836e+03,1.003155625247250669e+02,2.794457364237753695e-07,1.447509419834811618e-09,-2.352186059869151987e-05,-1.178320031950124379e-02,-9.816253212446218512e+00,-1.274160032563748217e+02,-3.910826829656258382e-07,1.824953601014920730e-06,1.019551721966771050e-06,3.796963969780688541e-06,-9.660930294424333086e-04
