# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597127603985e+01,-1.539051725807333737e+00,9.999999985117465258e+02,1.003155099339576992e+02,1.928090942001012493e-03,6.737779267439674737e-03,-8.950660694808005875e-05,-1.164753610825461881e-02,-9.815874504285513780e+00,-1.274155287615643175e+02,3.832302086246169165e-03,7.840157128009545397e-04,-1.089349361864684444e-02,3.100629645778816071e-02,8.921193194629600809e-02
3.900000000000000133e-01,5.380073646704014578e+01,-1.539293540975448460e+00,9.999999908329918981e+02,1.003153606600484977e+02,-4.752113094292394072e-04,7.148471067525492134e-03,7.875303758436778389e-05,-1.190886903072358241e-02,-9.815898238756510352e+00,-1.274143619585255749e+02,4.047446922406586559e-03,-3.185037232156827554e-03,6.205845548239742604e-02,-4.862870752102196187e-02,4.584549767228793954e-02
5.919999999999999707e-01,5.380062586736068653e+01,-1.539537772478097644e+00,9.999999764775857329e+02,1.003151633026871821e+02,6.222823266891627987e-05,8.376163035831558912e-03,-1.023036019326805518e-04,-1.183433262473052375e-02,-9.816065729793484351e+00,-1.274149129527045403e+02,4.731363773834532625e-03,-2.864919814252592928e-03,-4.326635370054544849e-02,-1.508317289217821731e-02,-4.409256460549533518e-02
7.900000000000000355e-01,5.380051745737055313e+01,-1.539777165829054439e+00,9.999999566003680229e+02,1.003149635397089696e+02,4.201030467838188565e-04,1.136857052215974051e-02,-7.433662408486748502e-05,-1.179762328787026422e-02,-9.816178745341266776e+00,-1.274153778620686666e+02,6.424967611074046576e-03,-4.893260030277369992e-03,1.920128332757112602e-02,-4.269527201058249261e-02,-1.735303361321854226e-02
9.899999999999999911e-01,5.380040795186333469e+01,-1.540018975281949754e+00,9.999999310811981559e+02,1.003147678893764834e+02,1.318673756743393016e-03,8.961760176723513466e-03,-1.736293109429234418e-04,-1.171863011608572855e-02,-9.816033655734852204e+00,-1.274161760159858119e+02,5.034375452960719935e-03,-5.625254761007927352e-03,-2.758554636240267283e-02,-1.393768334679805487e-02,3.462753779891084016e-02
1.191999999999999948e+00,5.380029735077389574e+01,-1.540263200787551856e+00,9.999998993808403611e+02,1.003145843483079886e+02,-7.205705413596366106e-04,7.729436505579664191e-03,-2.222709078417892635e-04,-1.160387371795470850e-02,-9.816023360711993107e+00,-1.274153059282163127e+02,4.312496523543099362e-03,-5.928548033672503652e-03,1.088848169372180649e-04,-2.434369141141331724e-02,5.383146718991206614e-02
1.389999999999999902e+00,5.380018893927255874e+01,-1.540502588159488040e+00,9.999998622545972466e+02,1.003143938939662689e+02,-1.620196062198048757e-03,1.068938698441607681e-02,-7.520202575272776600e-05,-1.179108864758900317e-02,-9.815886798329584551e+00,-1.274150805137928870e+02,5.985623469555927806e-03,-4.534357593263291936e-03,2.297835333106024776e-03,-2.061727384622119574e-02,7.721537236593399578e-02
1.590000000000000080e+00,5.380007943224488542e+01,-1.540744391517559597e+00,9.999998178388923407e+02,1.003141536879754483e+02,-4.971609158337663391e-03,1.090110370113406627e-02,5.156323789474830110e-05,-1.173490740477470956e-02,-9.816009474987675176e+00,-1.274134424239356633e+02,6.087133140484657541e-03,-4.342917474424810159e-03,6.817391939096731357e-02,-5.682726921517599131e-03,2.245760962624865353e-02
1.790000000000000036e+00,5.379996992479183149e+01,-1.540986192815328781e+00,9.999997672950848937e+02,1.003139279834570630e+02,-4.187712401287967817e-03,1.141982473902118135e-02,3.019779078625921091e-05,-1.158509359933072511e-02,-9.815967212310269474e+00,-1.274141573088662227e+02,6.366561736114369728e-03,-5.326881351768922475e-03,4.599496412501058451e-02,6.180471999315294285e-02,5.842186950416658475e-02
