# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597127603985e+01,-1.539051725807333737e+00,9.999999985117465258e+02,1.003155099339576992e+02,1.928090942001012493e-03,6.737779267439674737e-03,-8.950660694808005875e-05,-1.164753610825461881e-02,-9.815874504285513780e+00,-1.274155287615643175e+02,3.832302086246169165e-03,7.840157128009545397e-04,-1.089349361864684444e-02,3.100629645778816071e-02,8.921193194629600809e-02
3.900000000000000133e-01,5.380073646704014578e+01,-1.539293540975448460e+00,9.999999908329918981e+02,1.003153606600484977e+02,-4.752113094292394072e-04,7.148471067525492134e-03,7.875303758436778389e-05,-1.190886903072358241e-02,-9.815898238756510352e+00,-1.274143619585255749e+02,4.047446922406586559e-03,-3.185037232156827554e-03,6.205845548239742604e-02,-4.862870752102196187e-02,4.584549767228793954e-02
5.919999999999999707e-01,5.380062586736068653e+01,-1.539537772478097644e+00,9.999999764775857329e+02,1.003151633026871821e+02,6.222823266891627987e-05,8.376163035831558912e-03,-1.023036019326805518e-04,-1.183433262473052375e-02,-9.816065729793484351e+00,-1.274149129527045403e+02,4.731363773834532625e-03,-2.864919814252592928e-03,-4.326635370054544849e-02,-1.508317289217821731e-02,-4.409256460549533518e-02
7.900000000000000355e-01,5.380051745737055313e+01,-1.539777165829054439e+00,9.999999566003680229e+02,1.003149635397089696e+02,4.201030467838188565e-04,1.136857052215974051e-02,-7.433662408486748502e-05,-1.179762328787026422e-02,-9.816178745341266776e+00,-1.274153778620686666e+02,6.424967611074046576e-03,-4.893260030277369992e-03,1.920128332757112602e-02,-4.269527201058249261e-02,-1.735303361321854226e-02
9.899999999999999911e-01,5.380040795186333469e+01,-1.540018975281949754e+00,9.999999310811981559e+02,1.003147678893764834e+02,1.318673756743393016e-03,8.961760176723513466e-03,-1.736293109429234418e-04,-1.171863011608572855e-02,-9.816033655734852204e+00,-1.274161760159858119e+02,5.034375452960719935e-03,-5.625254761007927352e-03,-2.758554636240267283e-02,-1.393768334679805487e-02,3.462753779891084016e-02
1.191999999999999948e+00,5.380029735064309193e+01,-1.540263206055418221e+00,1.000000002012588084e+03,1.003152280731562485e+02,-9.194658064556209855e-04,-7.103443805219356987e-04,-2.222706415013718235e-04,-1.160387394478310484e-02,-9.816023360896027228e+00,-1.274148735733684390e+02,-4.229871867088430418e-04,-4.323726482168284532e-04,1.090698643529137827e-04,-2.434346714396536451e-02,5.383143452412617047e-02
1.389999999999999902e+00,5.380018893927856283e+01,-1.540502596342036234e+00,9.999999943785369396e+02,1.003151985076693080e+02,-1.632831480855799792e-03,2.249543901167138423e-03,-7.520175891188816682e-05,-1.179108887383947986e-02,-9.815886798513608014e+00,-1.274146480052120864e+02,1.250162676269131598e-03,9.618356350278126380e-04,2.298018708986071437e-03,-2.061704813902099503e-02,7.721533675224800941e-02
1.590000000000000080e+00,5.380007943248027402e+01,-1.540744403378952576e+00,9.999999798042699695e+02,1.003151205821691576e+02,-4.795944637950255024e-03,2.461178678998661613e-03,5.156350524389481139e-05,-1.173490763044876539e-02,-9.816009475171700416e+00,-1.274130099130559017e+02,1.351560498234377281e-03,1.153176870599358994e-03,6.817410108372862210e-02,-5.682499764238891499e-03,2.245757103506110589e-02
1.790000000000000036e+00,5.379996992534820066e+01,-1.540986209093968329e+00,9.999999591493979096e+02,1.003150571748487749e+02,-3.823533230942141765e-03,2.979831736039259115e-03,3.019805863973369165e-05,-1.158509382441048376e-02,-9.815967212494300043e+00,-1.274137247791926768e+02,1.631103246083495661e-03,1.693082465932910468e-04,4.599514412462803875e-02,6.180494860923008149e-02,5.842182793972994226e-02
