# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597127603985e+01,-1.539051725807333737e+00,9.999999985117465258e+02,1.003155099339576992e+02,1.928090942001012493e-03,6.737779267439674737e-03,-8.950660694808005875e-05,-1.164753610825461881e-02,-9.815874504285513780e+00,-1.274155287615643175e+02,3.832302086246169165e-03,7.840157128009545397e-04,-1.089349361864684444e-02,3.100629645778816071e-02,8.921193194629600809e-02
3.900000000000000133e-01,5.380073646704014578e+01,-1.539293540975448460e+00,9.999999908329918981e+02,1.003153606600484977e+02,-4.752113094292394072e-04,7.148471067525492134e-03,7.875303758436778389e-05,-1.190886903072358241e-02,-9.815898238756510352e+00,-1.274143619585255749e+02,4.047446922406586559e-03,-3.185037232156827554e-03,6.205845548239742604e-02,-4.862870752102196187e-02,4.584549767228793954e-02
5.919999999999999707e-01,5.380062586736068653e+01,-1.539537772478097644e+00,9.999999764775857329e+02,1.003151633026871821e+02,6.222823266891627987e-05,8.376163035831558912e-03,-1.023036019326805518e-04,-1.183433262473052375e-02,-9.816065729793484351e+00,-1.274149129527045403e+02,4.731363773834532625e-03,-2.864919814252592928e-03,-4.326635370054544849e-02,-1.508317289217821731e-02,-4.409256460549533518e-02
7.900000000000000355e-01,5.380051745737055313e+01,-1.539777165829054439e+00,9.999999566003680229e+02,1.003149635397089696e+02,4.201030467838188565e-04,1.136857052215974051e-02,-7.433662408486748502e-05,-1.179762328787026422e-02,-9.816178745341266776e+00,-1.274153778620686666e+02,6.424967611074046576e-03,-4.893260030277369992e-03,1.920128332757112602e-02,-4.269527201058249261e-02,-1.735303361321854226e-02
9.899999999999999911e-01,5.380040795186333469e+01,-1.540018975281949754e+00,9.999999310811981559e+02,1.003147678893764834e+02,1.318673756743393016e-03,8.961760176723513466e-03,-1.736293109429234418e-04,-1.171863011608572855e-02,-9.816033655734852204e+00,-1.274161760159858119e+02,5.034375452960719935e-03,-5.625254761007927352e-03,-2.758554636240267283e-02,-1.393768334679805487e-02,3.462753779891084016e-02
1.191999999999999948e+00,5.380029735062411334e+01,-1.540263206101297078e+00,9.999999996656551957e+02,1.003152333737015738e+02,-9.191938150817943829e-04,-7.069959400678877673e-04,-2.222706414838344468e-04,-1.160387394478303198e-02,-9.816023360896027228e+00,-1.274148735734054014e+02,-4.229871540381853587e-04,-4.323726498198280331e-04,1.090698619654722470e-04,-2.434346709642210699e-02,5.383143447055088043e-02
1.389999999999999902e+00,5.380018893925426937e+01,-1.540502596401064794e+00,9.999999913619831204e+02,1.003152038080763617e+02,-1.632559357774112643e-03,2.252892549684090175e-03,-7.520175889435585874e-05,-1.179108887383940006e-02,-9.815886798513602685e+00,-1.274146480052598207e+02,1.250162718430564363e-03,9.618356326105910502e-04,2.298018706599859115e-03,-2.061704809147930570e-02,7.721533669867182426e-02
1.590000000000000080e+00,5.380007943245067281e+01,-1.540744403451258293e+00,9.999999761302024126e+02,1.003151258825357246e+02,-4.795672583593008076e-03,2.464527396781282520e-03,5.156350526143690439e-05,-1.173490763044869774e-02,-9.816009475171700416e+00,-1.274130099131144078e+02,1.351560549912029889e-03,1.153176867724137449e-03,6.817410108134343283e-02,-5.682499716697458035e-03,2.245757098148519135e-02
1.790000000000000036e+00,5.379996992531310696e+01,-1.540986209179550759e+00,9.999999548001214862e+02,1.003150624751526863e+02,-3.823261096324467173e-03,2.983180545690250138e-03,3.019805865291477114e-05,-1.158509382441039702e-02,-9.815967212494300043e+00,-1.274137247792619263e+02,1.631103307353701150e-03,1.693082433364030421e-04,4.599514412224186416e-02,6.180494865677206573e-02,5.842182788615515182e-02
