# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597123242673e+01,-1.539051725839852836e+00,1.000000001116655767e+03,1.003155777597100951e+02,3.121694318057145074e-09,1.738950417385825011e-10,-1.314164250686849287e-05,-1.179698624832778084e-02,-9.816230484238701592e+00,-1.274144459355098178e+02,-5.013522593275914894e-07,1.937048383208609718e-07,1.019492708063649823e-06,-9.616792213270418236e-06,-9.739422433856220881e-04
3.900000000000000133e-01,5.380073646679221611e+01,-1.539293541281889333e+00,1.000000002279877663e+03,1.003155759927738160e+02,1.321674742634509607e-08,3.507135432645575951e-10,2.792665527840222162e-05,-1.185373179611343662e-02,-9.816159989487312387e+00,-1.274146407176166349e+02,-4.892909089756706440e-07,3.976061787283696441e-07,1.019508942064224978e-06,-4.982635369376424563e-05,-1.006355837199875841e-03
5.919999999999999707e-01,5.380062586681403047e+01,-1.539537773596284076e+00,1.000000003447756171e+03,1.003155741701273911e+02,3.050240817172419910e-08,5.248683719885318999e-10,7.367730590685044837e-05,-1.190486537757499790e-02,-9.816115224791991167e+00,-1.274148373940467422e+02,-5.062716614200672858e-07,6.035478322418184816e-07,1.019515525997415844e-06,-7.533919386665202547e-05,-1.035564189935843414e-03
7.900000000000000355e-01,5.380051745645290850e+01,-1.539777168376821770e+00,1.000000004591420293e+03,1.003155720976884737e+02,5.436015791770845536e-08,6.898659294294882399e-10,-2.678143965213751769e-05,-1.177892443748354036e-02,-9.816285770244299158e+00,-1.274150299790585450e+02,-2.614838325824709082e-08,8.054128034311920882e-07,1.019509356832636982e-06,2.212226215083757674e-05,-9.636353839334097079e-04
9.899999999999999911e-01,5.380040795055381864e+01,-1.540018980029756346e+00,1.000000005749985576e+03,1.003155702222439487e+02,8.540858063882530626e-08,8.517227411721035917e-10,-2.641143835976826566e-05,-1.177855200680271754e-02,-9.816253598507994838e+00,-1.274152246641207853e+02,-4.886272162691802030e-07,1.009318240393130552e-06,1.019523557026275120e-06,3.801255193319256372e-06,-9.634257615380532793e-04
1.191999999999999948e+00,5.380029734908193717e+01,-1.540263208562908659e+00,1.000000004538334906e+03,1.003155737112981143e+02,3.869378336848312962e-07,3.231568306146797713e-06,-1.379007121302056255e-04,-1.162947645772305534e-02,-9.816293588323196317e+00,-1.274154213671385776e+02,-5.888796229396577685e-07,1.228462936166958227e-06,1.019535379510855155e-06,2.669629587169119800e-05,-8.782836349341352098e-04
1.389999999999999902e+00,5.380018893727089591e+01,-1.540502599605464873e+00,1.000000004998408258e+03,1.003155719610233092e+02,4.320787532126205872e-07,3.231778168282011702e-06,4.715742817174733799e-06,-1.182229752594436516e-02,-9.816215021782065620e+00,-1.274156141819428143e+02,-5.111712931846430405e-07,1.430334115799069993e-06,1.019545127943014750e-06,-1.812388997807631098e-05,-9.884175064455151972e-04
1.590000000000000080e+00,5.380007942990720693e+01,-1.540744407482733003e+00,1.000000005461275578e+03,1.003155701058876446e+02,4.846253430212319532e-07,3.231985590429789773e-06,-2.789717620828822625e-05,-1.177589907496138892e-02,-9.816212631633833396e+00,-1.274158088808098341e+02,-5.116667981595776789e-07,1.634245608537122030e-06,1.019552555260341186e-06,-1.943498306562338251e-05,-9.619198563996826049e-04
1.790000000000000036e+00,5.379996992205710171e+01,-1.540986214097072704e+00,1.000000005919486284e+03,1.003155679757594640e+02,5.441568538380714342e-07,3.232188769156245783e-06,-2.352186058076769285e-05,-1.178320031950987924e-02,-9.816253212446222065e+00,-1.274160033637137133e+02,-5.422670928610002400e-07,1.838158551608108592e-06,1.019559397563255246e-06,3.797016225699109774e-06,-9.660930867437605117e-04
