# time, position (1), position (2), position (3), velocity (1), velocity (2), velocity (3), acceleration (1), acceleration (2), acceleration (3), attitude (1), attitude (2), attitude (3), angle_rates (1), angle_rates (2), angle_rates (3)
0.000000000000000000e+00,5.380095000000006422e+01,-1.538821999999999912e+00,1.000000000009313226e+03,1.003155796345735240e+02,-2.842170943040400743e-14,5.293955920339377119e-23,3.079841087522015505e-04,-1.221559198147288694e-02,-9.815534602302694367e+00,-1.274142610492163783e+02,-3.252140506803671040e-07,0.000000000000000000e+00,-1.499211252630587316e-03,6.529276024474197282e-04,-3.608913185379031188e-03
1.900000000000000022e-01,5.380084597122969825e+01,-1.539051725918598512e+00,1.000000000072643161e+03,1.003156219117620083e+02,1.239032602464434614e-03,1.294598577143674534e-03,3.749164713276351103e-04,-1.136186286422987378e-02,-9.816196914907164839e+00,-1.274151376710861143e+02,7.406417247932686959e-04,-1.039378271827474736e-04,5.725797800532803072e-02,1.029799348731749165e-01,1.770275618748885782e-02
3.900000000000000133e-01,5.380073646679471722e+01,-1.539293541564202172e+00,1.000000000060535967e+03,1.003156336595252185e+02,2.054114186255940038e-03,2.423834459022433489e-03,3.468538166341261471e-04,-1.149762929723264528e-02,-9.816354247598795268e+00,-1.274157841419712724e+02,1.386736430500528196e-03,-1.875477315061358690e-03,3.310260028651416941e-02,5.881072622584587045e-02,-8.598263532567120004e-02
5.900000000000003020e-01,5.380062696185724747e+01,-1.539535355959271490e+00,9.999999999230494723e+02,1.003156462340892290e+02,-1.067114470420076891e-03,-8.339195115034996270e-04,2.754419453170904152e-04,-1.160790949899927899e-02,-9.815890986887476188e+00,-1.274142154759965280e+02,-4.753466296430011750e-04,-3.100571687318633748e-03,1.385293255598779756e-02,-1.474548273445340377e-03,1.136983391425084727e-01
7.900000000000000355e-01,5.380051745628220061e+01,-1.539777169137926505e+00,1.000000000009313226e+03,1.003157625842651157e+02,5.733467086897523586e-04,-6.960919271632127689e-03,2.645150131338692067e-04,-1.193030671473131916e-02,-9.816337563033870950e+00,-1.274153893798475821e+02,-3.972649120047134531e-03,-3.643040321624801178e-03,5.783465442013721591e-02,-1.647002276627193562e-01,-2.178068797669475629e-02
9.899999999999999911e-01,5.380040794994658881e+01,-1.540018981270829368e+00,9.999999999701976776e+02,1.003159269589393006e+02,-7.970074732791780766e-04,-6.078042362852214067e-03,4.215203525840222976e-04,-1.142754084012134394e-02,-9.816390114302825154e+00,-1.274148502373348322e+02,-3.469327692525272719e-03,-3.999641965228969628e-03,9.263475345355783042e-02,6.801290488117001098e-02,-5.890908500089246658e-02
1.190000000000000835e+00,5.380029844283526330e+01,-1.540260792422589953e+00,9.999999998370185494e+02,1.003160930846861731e+02,4.176067203889655480e-04,-4.688132553366415427e-03,2.147630442124935602e-04,-1.151299749573572381e-02,-9.816115633509573613e+00,-1.274157642059968225e+02,-2.674293644902640734e-03,-2.189925804664660542e-03,1.589754067730665688e-02,5.992198144784060404e-03,5.004548775652336440e-02
1.389999999999999902e+00,5.380018893503790167e+01,-1.540502602606297788e+00,9.999999999124556780e+02,1.003162223567840954e+02,-1.577046205383650325e-03,-4.513625207012837703e-03,4.573853601219636479e-04,-1.153677528103637037e-02,-9.816143188059660574e+00,-1.274148317805196768e+02,-2.575656526589799062e-03,-1.851600749418428693e-03,1.002912660410593959e-01,3.531656708015550733e-02,3.100280190885913723e-02
1.590000000000000080e+00,5.380007942657629627e+01,-1.540744411847567052e+00,9.999999998817220330e+02,1.003163761207618450e+02,-8.794437573899211141e-04,-6.023254250086940327e-03,-2.182540029122589497e-05,-1.180441061433266936e-02,-9.816480495389868111e+00,-1.274154310340862963e+02,-3.437530310067282453e-03,-2.501503434903053647e-03,-7.427720871323649499e-02,-1.279700930555653371e-01,-1.209350924625932494e-01
1.790000000000000036e+00,5.379996991740036094e+01,-1.540986220154550779e+00,9.999999998426064849e+02,1.003165346398694737e+02,-5.167495797633819919e-04,-4.504949828585247569e-03,3.971096426976273588e-04,-1.145036109393929302e-02,-9.816270625225786972e+00,-1.274158643076831936e+02,-2.571221483129321108e-03,-2.685224379386059405e-03,8.087886485752063259e-02,5.686624428653477836e-02,-1.487848293422665107e-02
